"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NH4.N.mg.L","NO3.N.mg.L","Cl.mg.L","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","BGA.PE.RFU","BGA.PE.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"39","8/1/2017","9:37:37",28.417,744.8,84.3,6.55,402.4,7.63,NA,NA,NA,-858.35,0,0.296,0.3,NA,NA,2.669,10.01,NA,NA,0.011
"40","8/1/2017","9:37:38",28.417,744.8,84.3,6.54,402.4,7.63,NA,NA,NA,-858.33,0,0.31,0.31,NA,NA,2.699,10.12,NA,NA,0.012
"41","8/1/2017","9:37:39",28.416,744.8,84.2,6.54,402.5,7.63,NA,NA,NA,-858.34,0,0.333,0.33,NA,NA,2.746,10.3,NA,NA,0.014
"42","8/1/2017","9:37:40",28.415,744.8,84.2,6.53,402.5,7.62,NA,NA,NA,-858.37,0,0.337,0.34,NA,NA,2.786,10.45,NA,NA,0.018
"43","8/1/2017","9:37:41",28.412,744.8,84.1,6.53,402.5,7.62,NA,NA,NA,-858.36,0,0.345,0.34,NA,NA,2.833,10.62,NA,NA,0.022
"44","8/1/2017","9:37:42",28.41,744.8,84.1,6.53,402.5,7.62,NA,NA,NA,-858.34,0,0.342,0.34,NA,NA,2.872,10.77,NA,NA,0.026
"45","8/1/2017","9:37:43",28.407,744.8,84.1,6.53,402.5,7.62,NA,NA,NA,-858.35,0,0.342,0.34,NA,NA,2.916,10.94,NA,NA,0.031
"46","8/1/2017","9:37:44",28.406,744.8,84.1,6.53,402.4,7.62,NA,NA,NA,-858.37,0,0.34,0.34,NA,NA,2.963,11.11,NA,NA,0.035
"47","8/1/2017","9:37:45",28.405,744.8,84,6.53,402.4,7.62,NA,NA,NA,-858.37,0,0.355,0.35,NA,NA,3.002,11.25,NA,NA,0.039
"48","8/1/2017","9:37:46",28.404,744.8,84,6.52,402.4,7.62,NA,NA,NA,-858.36,0,0.361,0.36,NA,NA,3.067,11.5,NA,NA,0.044
"49","8/1/2017","9:37:47",28.403,744.8,84,6.52,402.4,7.62,NA,NA,NA,-858.33,0,0.387,0.39,NA,NA,3.128,11.73,NA,NA,0.048
"50","8/1/2017","9:37:48",28.403,744.7,84,6.52,402.4,7.62,NA,NA,NA,-858.35,0,0.402,0.4,NA,NA,3.161,11.85,NA,NA,0.055
"51","8/1/2017","9:37:49",28.403,744.8,84,6.52,402.4,7.62,NA,NA,NA,-858.33,0,0.41,0.41,NA,NA,3.209,12.03,NA,NA,0.059
"52","8/1/2017","9:37:50",28.402,744.8,84,6.52,402.4,7.62,NA,NA,NA,-858.34,0,0.422,0.42,NA,NA,3.23,12.11,NA,NA,0.064
"53","8/1/2017","9:37:51",28.4,744.8,84,6.52,402.4,7.62,NA,NA,NA,-858.32,0,0.417,0.42,NA,NA,3.269,12.25,NA,NA,0.067
"54","8/1/2017","9:37:52",28.4,744.8,84,6.52,402.4,7.62,NA,NA,NA,-858.32,0,0.431,0.43,NA,NA,3.279,12.29,NA,NA,0.074
"55","8/1/2017","9:37:53",28.402,744.8,84,6.52,402.4,7.62,NA,NA,NA,-858.33,0,0.44,0.44,NA,NA,3.29,12.33,NA,NA,0.078
"56","8/1/2017","9:37:54",28.404,744.8,84,6.53,402.3,7.62,NA,NA,NA,-858.32,0,0.449,0.45,NA,NA,3.309,12.4,NA,NA,0.083
"57","8/1/2017","9:37:55",28.407,744.8,84,6.53,402.3,7.62,NA,NA,NA,-858.31,0,0.471,0.47,NA,NA,3.32,12.45,NA,NA,0.092
"58","8/1/2017","9:37:56",28.41,744.8,84.1,6.53,402.3,7.62,NA,NA,NA,-858.3,0,0.49,0.49,NA,NA,3.337,12.51,NA,NA,0.098
"59","8/1/2017","9:37:57",28.413,744.8,84.1,6.53,402.3,7.62,NA,NA,NA,-858.32,0,0.49,0.49,NA,NA,3.334,12.5,NA,NA,0.107
"60","8/1/2017","9:37:58",28.414,744.9,84.1,6.53,402.4,7.62,NA,NA,NA,-858.32,0,0.482,0.48,NA,NA,3.32,12.45,NA,NA,0.116
"61","8/1/2017","9:37:59",28.415,744.8,84.1,6.53,402.4,7.62,NA,NA,NA,-858.31,0,0.486,0.49,NA,NA,3.333,12.49,NA,NA,0.123
"62","8/1/2017","9:38:00",28.417,744.8,84.1,6.53,402.4,7.62,NA,NA,NA,-858.32,0,0.488,0.49,NA,NA,3.331,12.49,NA,NA,0.135
"63","8/1/2017","9:38:01",28.418,744.8,84.1,6.53,402.4,7.62,NA,NA,NA,-858.33,0,0.496,0.5,NA,NA,3.346,12.54,NA,NA,0.145
"64","8/1/2017","9:38:02",28.419,744.8,84.1,6.53,402.4,7.62,NA,NA,NA,-858.35,0,0.502,0.5,NA,NA,3.348,12.55,NA,NA,0.155
"65","8/1/2017","9:38:03",28.42,744.9,84.1,6.53,402.4,7.62,NA,NA,NA,-858.33,0,0.505,0.5,NA,NA,3.364,12.61,NA,NA,0.163
