"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"8","8/7/2017","15:45:47",25.775,739.7,97.3,7.91,363.1,7.8,-856.08,0,1.069,1.07,1.133,4.27,NA,NA,0
"9","8/7/2017","15:45:48",25.701,739.7,96.9,7.89,363.7,7.8,-856.13,0,1.08,1.08,1.226,4.61,NA,NA,0.001
"10","8/7/2017","15:45:49",25.62,739.7,96.7,7.88,364.1,7.8,-856.19,0,1.125,1.12,1.315,4.95,NA,NA,0.013
"11","8/7/2017","15:45:50",25.553,739.7,96.4,7.87,364.7,7.81,-856.24,0,1.149,1.15,1.353,5.09,NA,NA,0.025
"12","8/7/2017","15:45:51",25.483,739.7,96.1,7.86,365.1,7.81,-856.25,0,1.175,1.17,1.361,5.12,NA,NA,0.039
"13","8/7/2017","15:45:52",25.432,739.7,95.9,7.85,365.5,7.82,-856.25,0,1.184,1.18,1.372,5.16,NA,NA,0.05
"14","8/7/2017","15:45:53",25.422,739.7,95.8,7.85,365.6,7.82,-856.26,0,1.191,1.19,1.371,5.15,NA,NA,0.062
"15","8/7/2017","15:45:54",25.42,739.7,95.7,7.84,365.6,7.83,-856.24,0,1.208,1.21,1.373,5.16,NA,NA,0.074
"16","8/7/2017","15:45:55",25.417,739.7,95.6,7.84,365.6,7.83,-856.24,0,1.244,1.24,1.379,5.19,NA,NA,0.086
"17","8/7/2017","15:45:56",25.414,739.7,95.6,7.83,365.6,7.84,-856.26,0,1.259,1.26,1.384,5.2,NA,NA,0.1
"18","8/7/2017","15:45:57",25.41,739.7,95.5,7.83,365.6,7.84,-856.35,0,1.286,1.29,1.368,5.15,NA,NA,0.114
"19","8/7/2017","15:45:58",25.407,739.6,95.5,7.82,365.7,7.84,-856.4,0,1.297,1.3,1.359,5.11,NA,NA,0.131
"20","8/7/2017","15:45:59",25.403,739.7,95.4,7.82,365.7,7.85,-856.42,0,1.299,1.3,1.359,5.11,NA,NA,0.15
"21","8/7/2017","15:46:00",25.4,739.7,95.3,7.81,365.7,7.85,-856.42,0,1.311,1.31,1.348,5.07,NA,NA,0.176
"22","8/7/2017","15:46:01",25.394,739.7,95.2,7.8,365.8,7.85,-856.41,0,1.32,1.32,1.345,5.06,NA,NA,0.199
"23","8/7/2017","15:46:02",25.387,739.7,95,7.79,365.8,7.85,-856.39,0,1.331,1.33,1.346,5.06,NA,NA,0.223
"24","8/7/2017","15:46:03",25.381,739.7,94.8,7.77,365.8,7.86,-856.38,0,1.341,1.34,1.339,5.04,NA,NA,0.247
"25","8/7/2017","15:46:04",25.372,739.7,94.6,7.76,365.9,7.86,-856.36,0,1.338,1.34,1.346,5.06,NA,NA,0.277
"26","8/7/2017","15:46:05",25.362,739.7,94.4,7.74,366,7.86,-856.36,0,1.338,1.34,1.336,5.02,NA,NA,0.301
"27","8/7/2017","15:46:06",25.356,739.8,94.1,7.72,366,7.87,-856.33,0,1.336,1.34,1.324,4.98,NA,NA,0.325
"28","8/7/2017","15:46:07",25.348,739.7,93.9,7.7,366.1,7.88,-856.34,0,1.334,1.33,1.308,4.92,NA,NA,0.349
"29","8/7/2017","15:46:08",25.338,739.7,93.6,7.68,366.2,7.88,-856.35,0,1.338,1.34,1.314,4.94,NA,NA,0.379
"30","8/7/2017","15:46:09",25.32,739.7,93.3,7.66,366.3,7.89,-856.35,0,1.334,1.33,1.309,4.92,NA,NA,0.406
"31","8/7/2017","15:46:10",25.301,739.7,89.9,7.38,366.4,7.89,-856.38,0,1.319,1.32,1.3,4.89,NA,NA,0.435
"32","8/7/2017","15:46:11",25.288,739.7,88.5,7.27,366.4,7.9,-856.39,0,1.306,1.31,1.3,4.89,NA,NA,0.464
"33","8/7/2017","15:46:12",25.273,739.6,87.6,7.19,366.5,7.9,-856.38,0,1.301,1.3,1.297,4.88,NA,NA,0.493
"34","8/7/2017","15:46:13",25.259,739.6,87.2,7.16,366.6,7.91,-856.38,0,1.286,1.29,1.29,4.85,NA,NA,0.528
"35","8/7/2017","15:46:14",25.244,739.7,86.8,7.13,366.6,7.91,-856.4,0,1.279,1.28,1.289,4.85,NA,NA,0.557
"36","8/7/2017","15:46:15",25.232,739.7,86.4,7.11,366.7,7.91,-856.41,0,1.269,1.27,1.283,4.83,NA,NA,0.586
"37","8/7/2017","15:46:16",25.216,739.7,86.2,7.08,366.8,7.92,-856.41,0,1.261,1.26,1.283,4.83,NA,NA,0.615
"38","8/7/2017","15:46:17",25.202,739.7,85.9,7.07,366.8,7.92,-856.41,0,1.257,1.26,1.29,4.85,NA,NA,0.65
"39","8/7/2017","15:46:18",25.188,739.7,85.7,7.05,366.9,7.92,-856.41,0,1.256,1.26,1.292,4.86,NA,NA,0.677
"40","8/7/2017","15:46:19",25.173,739.7,85.6,7.04,366.9,7.92,-856.41,0,1.254,1.25,1.294,4.87,NA,NA,0.704
"41","8/7/2017","15:46:20",25.155,739.7,85.4,7.03,367,7.93,-856.41,0,1.241,1.24,1.302,4.9,NA,NA,0.731
