"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"35","6/7/2017","16:23:03",27.037,740.5,139.3,11.09,126.7,8.71,140.2,5.31,0,0.45,NA,8.36,NA,0,0
"36","6/7/2017","16:23:04",27.04,740.5,139.4,11.1,126.7,8.71,140.2,5.31,0,0.45,NA,8.38,NA,0.003,0.1
"37","6/7/2017","16:23:05",27.043,740.6,139.5,11.1,126.7,8.72,140.1,5.3,0,0.46,NA,8.37,NA,0.006,0.2
"38","6/7/2017","16:23:06",27.046,740.5,139.5,11.11,126.7,8.72,140.1,5.31,0,0.46,NA,8.37,NA,0.012,0.2
"39","6/7/2017","16:23:07",27.048,740.4,139.6,11.11,126.7,8.72,140,5.31,0,0.46,NA,8.37,NA,0.018,0.3
"40","6/7/2017","16:23:08",27.051,740.6,139.7,11.12,126.7,8.72,139.9,5.32,0,0.46,NA,8.41,NA,0.027,0.3
"41","6/7/2017","16:23:09",27.054,740.5,139.8,11.12,126.7,8.72,139.9,5.35,0,0.46,NA,8.47,NA,0.036,0.3
"42","6/7/2017","16:23:10",27.057,740.4,139.8,11.13,126.7,8.73,139.8,5.36,0,0.46,NA,8.49,NA,0.046,0.4
"43","6/7/2017","16:23:11",27.059,740.5,139.9,11.13,126.7,8.73,139.7,5.35,0,0.46,NA,8.51,NA,0.056,0.4
"44","6/7/2017","16:23:12",27.061,740.5,139.9,11.14,126.7,8.73,139.6,5.36,0,0.46,NA,8.51,NA,0.07,0.4
"45","6/7/2017","16:23:13",27.062,740.5,140,11.14,126.7,8.73,139.5,5.38,0,0.46,NA,8.54,NA,0.081,0.5
"46","6/7/2017","16:23:14",27.063,740.6,140,11.14,126.7,8.73,139.4,5.41,0,0.46,NA,8.74,NA,0.093,0.5
"47","6/7/2017","16:23:15",27.063,740.5,140.1,11.14,126.7,8.74,139.3,5.41,0,0.48,NA,8.89,NA,0.105,0.5
"48","6/7/2017","16:23:16",27.063,740.6,140.1,11.15,126.7,8.74,139.2,5.42,0,0.48,NA,9.07,NA,0.12,0.5
"49","6/7/2017","16:23:17",27.063,740.6,140.1,11.15,126.7,8.74,139.1,5.43,0,0.48,NA,9.15,NA,0.133,0.5
"50","6/7/2017","16:23:18",27.063,740.6,140.1,11.15,126.7,8.74,139,5.41,0,0.48,NA,9.21,NA,0.146,0.5
"51","6/7/2017","16:23:19",27.063,740.5,140.2,11.15,126.7,8.74,138.9,5.4,0,0.49,NA,9.26,NA,0.16,0.5
"52","6/7/2017","16:23:20",27.063,740.6,140.2,11.15,126.7,8.75,138.8,5.42,0,0.49,NA,9.34,NA,0.174,0.6
"53","6/7/2017","16:23:21",27.062,740.6,140.2,11.16,126.7,8.75,138.6,5.43,0,0.47,NA,9.51,NA,0.191,0.6
"54","6/7/2017","16:23:22",27.061,740.5,140.2,11.16,126.7,8.75,138.5,5.44,0,0.48,NA,9.64,NA,0.207,0.6
"55","6/7/2017","16:23:23",27.06,740.6,140.2,11.16,126.7,8.76,138.4,5.45,0,0.49,NA,9.74,NA,0.223,0.6
"56","6/7/2017","16:23:24",27.059,740.6,140.3,11.16,126.7,8.76,138.3,5.45,0,0.5,NA,9.83,NA,0.239,0.6
"57","6/7/2017","16:23:25",27.058,740.5,140.3,11.17,126.7,8.76,138.2,5.46,0,0.51,NA,9.84,NA,0.259,0.7
"58","6/7/2017","16:23:26",27.058,740.5,140.3,11.17,126.7,8.76,138,5.43,0,0.52,NA,9.87,NA,0.276,0.7
"59","6/7/2017","16:23:27",27.057,740.5,140.4,11.17,126.7,8.77,137.9,5.46,0,0.52,NA,9.95,NA,0.294,0.7
"60","6/7/2017","16:23:28",27.056,740.5,140.4,11.17,126.7,8.77,137.8,5.45,0,0.53,NA,10.03,NA,0.312,0.7
"61","6/7/2017","16:23:29",27.056,740.5,140.4,11.18,126.7,8.77,137.6,5.46,0,0.56,NA,10.17,NA,0.334,0.7
"62","6/7/2017","16:23:30",27.055,740.4,140.4,11.18,126.7,8.77,137.5,5.46,0,0.56,NA,10.32,NA,0.353,0.8
"63","6/7/2017","16:23:31",27.054,740.6,140.4,11.18,126.7,8.78,137.3,5.44,0,0.58,NA,10.43,NA,0.373,0.8
"64","6/7/2017","16:23:32",27.052,740.5,140.4,11.18,126.7,8.78,137.1,5.44,0,0.58,NA,10.43,NA,0.393,0.8
"65","6/7/2017","16:23:33",27.05,740.5,140.4,11.18,126.7,8.78,137,5.46,0,0.58,NA,10.44,NA,0.417,0.8
"66","6/7/2017","16:23:34",27.049,740.5,140.4,11.18,126.7,8.78,136.8,5.46,0,0.58,NA,10.54,NA,0.438,0.8
"67","6/7/2017","16:23:35",27.047,740.6,140.4,11.18,126.7,8.78,136.7,5.44,0,0.58,NA,10.57,NA,0.455,0.9
