pH,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
7.33,35.26,8.5,2014-11-14,2014-11-14T17:23:32Z,048,NA,981.8666666666667,15.814,56.5,5.6,181.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.144,8.144
7.33,34.26,8.6,2014-11-14,2014-11-14T17:23:35Z,048,NA,982,15.781,56.1,5.56,181.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.192,8.192
7.33,34.74,8.7,2014-11-14,2014-11-14T17:23:37Z,048,NA,981.8666666666667,15.733,55.7,5.52,181.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.243,8.243
7.32,35.38,8.7,2014-11-14,2014-11-14T17:23:40Z,048,NA,981.8666666666667,15.685,55.1,5.47,181.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.304,8.304
7.32,41.98,8.8,2014-11-14,2014-11-14T17:23:42Z,048,NA,982,15.627,54.4,5.41,182.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.357,8.357
7.32,36.74,8.9,2014-11-14,2014-11-14T17:23:45Z,048,NA,981.8666666666667,15.553,49.7,4.95,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413,8.413
7.32,37.33,8.9,2014-11-14,2014-11-14T17:23:47Z,048,NA,982,15.474,48.6,4.85,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47,8.47
7.31,37.56,8.9,2014-11-14,2014-11-14T17:23:50Z,048,NA,982.1333333333333,15.442,47.9,4.78,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52,8.52
7.31,38.17,8.9,2014-11-14,2014-11-14T17:23:52Z,048,NA,982,15.393,47.5,4.74,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.561,8.561
7.3,38.17,9.1,2014-11-14,2014-11-14T17:23:55Z,048,NA,981.8666666666667,15.296,46.7,4.67,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.623,8.623
7.3,37.9,9.1,2014-11-14,2014-11-14T17:23:57Z,048,NA,981.8666666666667,15.209,42.7,4.28,182.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.687,8.687
7.29,37.82,9.2,2014-11-14,2014-11-14T17:24:00Z,048,NA,982,15.122,41.7,4.19,182.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.743,8.743
7.29,37.97,9.2,2014-11-14,2014-11-14T17:24:02Z,048,NA,982.1333333333333,15.029,41.3,4.16,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.801,8.801
7.28,37.77,9.2,2014-11-14,2014-11-14T17:24:05Z,048,NA,981.8666666666667,14.957,41,4.13,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.854,8.854
7.28,37.53,9.2,2014-11-14,2014-11-14T17:24:07Z,048,NA,981.8666666666667,14.946,40.7,4.11,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.898,8.898
7.27,44.09,9.3,2014-11-14,2014-11-14T17:24:10Z,048,NA,981.8666666666667,14.941,40.5,4.09,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.943,8.943
7.27,43.76,9.3,2014-11-14,2014-11-14T17:24:12Z,048,NA,981.8666666666667,14.9,40.2,4.06,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.994,8.994
7.26,326.29,9.4,2014-11-14,2014-11-14T17:24:15Z,048,NA,981.8666666666667,14.879,39.7,4.01,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.045,9.045
7.26,121.36,9.4,2014-11-14,2014-11-14T17:24:17Z,048,NA,981.8666666666667,14.845,39.1,3.95,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.092,9.092
7.25,246.44,9.4,2014-11-14,2014-11-14T17:24:20Z,048,NA,981.8666666666667,14.796,38.5,3.9,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.132,9.132
7.25,247.47,9.4,2014-11-14,2014-11-14T17:24:22Z,048,NA,981.8666666666667,14.759,37.9,3.84,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.167,9.167
7.24,314.74,9.4,2014-11-14,2014-11-14T17:24:25Z,048,NA,981.8666666666667,14.757,37.5,3.8,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.201,9.201
7.24,310.09,9.4,2014-11-14,2014-11-14T17:24:27Z,048,NA,981.8666666666667,14.746,37.1,3.76,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.233,9.233
7.23,314.04,9.4,2014-11-14,2014-11-14T17:24:30Z,048,NA,981.8666666666667,14.73,36.7,3.72,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.268,9.268
7.23,315.61,9.4,2014-11-14,2014-11-14T17:24:32Z,048,NA,981.8666666666667,14.712,36.4,3.69,183.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.296,9.296
7.23,198.35,9.5,2014-11-14,2014-11-14T17:24:35Z,048,NA,981.8666666666667,14.703,36.2,3.67,183.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32,9.32
7.22,190.78,9.5,2014-11-14,2014-11-14T17:24:37Z,048,NA,981.8666666666667,14.695,36,3.66,183.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.341,9.341
7.22,184.27,9.5,2014-11-14,2014-11-14T17:24:42Z,048,NA,981.8666666666667,14.68,35.7,3.63,183.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.38,9.38
