dateTime_Round,pH,orp_mV,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
2018-08-06T08:56:03Z,8.46,122.71666666666667,0,2018-08-06,2018-08-06T08:56:02Z,005,NA,997.2555555555555,28.083416666666665,106.8,8.34,223.3,0.75,0,NA,NA,NA,NA,NA,0.9489166666666666,0.9489166666666666,0.05883333333333329,0.05883333333333329
2018-08-06T08:56:06Z,8.46,122.825,0,2018-08-06,2018-08-06T08:56:05Z,005,NA,997.1999999999999,28.081583333333334,106.8,8.34,223.3,0.7491666666666666,0,NA,NA,NA,NA,NA,1.00775,1.00775,0.06075000000000008,0.06075000000000008
2018-08-06T08:56:09Z,8.46,122.93333333333334,0,2018-08-06,2018-08-06T08:56:08Z,005,NA,997.2333333333333,28.079,106.71666666666667,8.34,223.3,0.7424999999999999,0,NA,NA,NA,NA,NA,1.0685,1.0685,0.06033333333333335,0.06033333333333335
2018-08-06T08:56:12Z,8.46,123.05,0,2018-08-06,2018-08-06T08:56:11Z,005,NA,997.2555555555555,28.075666666666667,106.65,8.33,223.3,0.7316666666666667,0,NA,NA,NA,NA,NA,1.1288333333333334,1.1288333333333334,0.060666666666666647,0.060666666666666647
2018-08-06T08:56:15Z,8.46,123.15833333333333,0,2018-08-06,2018-08-06T08:56:14Z,005,NA,997.2777777777778,28.072083333333335,106.49166666666667,8.3225,223.3,0.7283333333333333,0,NA,NA,NA,NA,NA,1.1895,1.1895,0.06408333333333327,0.06408333333333327
2018-08-06T08:56:18Z,8.46,123.275,0,2018-08-06,2018-08-06T08:56:17Z,005,NA,997.1888888888889,28.068666666666665,106.325,8.306666666666667,223.3,0.7083333333333333,0,NA,NA,NA,NA,NA,1.2535833333333333,1.2535833333333333,0.06833333333333336,0.06833333333333336
2018-08-06T08:56:21Z,8.46,123.375,0,2018-08-06,2018-08-06T08:56:20Z,005,NA,997.1666666666666,28.06425,106.15,8.296666666666667,223.3,0.7183333333333333,0,NA,NA,NA,NA,NA,1.3219166666666666,1.3219166666666666,0.06675000000000009,0.06675000000000009
2018-08-06T08:56:24Z,8.46,123.475,0,2018-08-06,2018-08-06T08:56:23Z,005,NA,997.2888888888889,28.06,106.05833333333334,8.29,223.3,0.7224999999999999,0,NA,NA,NA,NA,NA,1.3886666666666667,1.3886666666666667,0.07016666666666671,0.07016666666666671
2018-08-06T08:56:27Z,8.46,123.57499999999999,0,2018-08-06,2018-08-06T08:56:26Z,005,NA,997.1555555555555,28.04875,106,8.29,223.3,0.7416666666666667,0,NA,NA,NA,NA,NA,1.4588333333333334,1.4588333333333334,0.06933333333333325,0.06933333333333325
2018-08-06T08:56:30Z,8.46,123.68333333333334,0,2018-08-06,2018-08-06T08:56:29Z,005,NA,997.1555555555555,28.028583333333334,106,8.29,223.3,0.765,0,NA,NA,NA,NA,NA,1.5281666666666667,1.5281666666666667,0.066166666666666707,0.066166666666666707
2018-08-06T08:56:33Z,8.46,123.775,0,2018-08-06,2018-08-06T08:56:32Z,005,NA,997.2888888888889,27.983083333333333,106,8.2925,223.20833333333331,0.7775000000000001,0,NA,NA,NA,NA,NA,1.5943333333333334,1.5943333333333334,0.06566666666666654,0.06566666666666654
2018-08-06T08:56:36Z,8.46,123.875,0,2018-08-06,2018-08-06T08:56:35Z,005,NA,997.1999999999999,27.90341666666667,106.01666666666667,8.307500000000001,223.1,0.805,0,NA,NA,NA,NA,NA,1.66,1.66,0.06300000000000017,0.06300000000000017
2018-08-06T08:56:39Z,8.46,123.99166666666667,0,2018-08-06,2018-08-06T08:56:38Z,005,NA,997.2333333333333,27.826916666666666,106.14166666666667,8.329166666666667,222.95,0.8491666666666666,0,NA,NA,NA,NA,NA,1.723,1.723,0.05991666666666662,0.05991666666666662
2018-08-06T08:56:42Z,8.46,124.13333333333333,0,2018-08-06,2018-08-06T08:56:41Z,005,NA,997.2222222222222,27.755083333333335,106.375,8.356666666666666,222.775,0.9225,0,NA,NA,NA,NA,NA,1.7829166666666667,1.7829166666666667,0.0538333333333334,0.0538333333333334
2018-08-06T08:56:45Z,8.46,124.25,0,2018-08-06,2018-08-06T08:56:44Z,005,NA,997.2222222222222,27.705833333333334,106.74166666666667,8.393333333333334,222.625,0.955,0,NA,NA,NA,NA,NA,1.83675,1.83675,0.04791666666666661,0.04791666666666661
2018-08-06T08:56:48Z,8.46,124.39166666666667,0,2018-08-06,2018-08-06T08:56:47Z,005,NA,997.1222222222221,27.66775,107.125,8.430833333333332,222.40833333333333,0.9916666666666667,0,NA,NA,NA,NA,NA,1.8846666666666667,1.8846666666666667,0.050249999999999906,0.050249999999999906
2018-08-06T08:56:51Z,8.46,124.54166666666666,0,2018-08-06,2018-08-06T08:56:50Z,005,NA,997.2555555555555,27.620583333333332,107.54166666666667,8.469166666666666,222.11666666666667,0.9966666666666667,0,NA,NA,NA,NA,NA,1.9349166666666666,1.9349166666666666,0.053916666666666835,0.053916666666666835
2018-08-06T08:56:54Z,8.46,124.69166666666666,0,2018-08-06,2018-08-06T08:56:53Z,005,NA,997.2222222222222,27.563083333333335,107.94166666666666,8.510833333333332,221.83333333333334,0.9775,0,NA,NA,NA,NA,NA,1.9888333333333335,1.9888333333333335,0.05008333333333326,0.05008333333333326
2018-08-06T08:56:57Z,8.46,124.86666666666667,0,2018-08-06,2018-08-06T08:56:56Z,005,NA,997.1777777777777,27.503083333333333,108.26666666666667,8.544166666666667,221.59166666666667,0.9524999999999999,0,NA,NA,NA,NA,NA,2.0389166666666667,2.0389166666666667,0.050416666666666554,0.050416666666666554
2018-08-06T08:57:00Z,8.46,125.05,0,2018-08-06,2018-08-06T08:56:59Z,005,NA,997.1888888888889,27.437333333333335,108.44166666666666,8.5675,221.34166666666667,0.9558333333333333,0,NA,NA,NA,NA,NA,2.0893333333333333,2.0893333333333333,0.051583333333333314,0.051583333333333314
2018-08-06T08:57:03Z,8.4575,125.25,0,2018-08-06,2018-08-06T08:57:02Z,005,NA,997.1888888888889,27.35475,108.56666666666666,8.589166666666667,221.075,0.975,0,NA,NA,NA,NA,NA,2.1409166666666666,2.1409166666666666,0.0491666666666668,0.0491666666666668
2018-08-06T08:57:06Z,8.45,125.43333333333334,0,2018-08-06,2018-08-06T08:57:05Z,005,NA,997.0777777777777,27.252583333333334,108.51666666666667,8.6,220.78333333333333,1.01,0,NA,NA,NA,NA,NA,2.1900833333333334,2.1900833333333334,0.051416666666666444,0.051416666666666444
2018-08-06T08:57:09Z,8.45,125.625,0,2018-08-06,2018-08-06T08:57:08Z,005,NA,997.1999999999999,27.131916666666665,108.5,8.615,220.425,1.0583333333333333,0,NA,NA,NA,NA,NA,2.2415,2.2415,0.05500000000000016,0.05500000000000016
2018-08-06T08:57:12Z,8.45,125.83333333333333,0,2018-08-06,2018-08-06T08:57:11Z,005,NA,997.211111111111,26.971333333333334,108.56666666666666,8.6475,219.85,1.0791666666666668,0,NA,NA,NA,NA,NA,2.2965,2.2965,0.053916666666666835,0.053916666666666835
2018-08-06T08:57:15Z,8.45,126.025,0,2018-08-06,2018-08-06T08:57:14Z,005,NA,997.2333333333333,26.839916666666667,108.73333333333333,8.681666666666667,219.325,1.0933333333333335,0,NA,NA,NA,NA,NA,2.350416666666667,2.350416666666667,0.055916666666666615,0.055916666666666615
2018-08-06T08:57:18Z,8.45,126.23333333333333,0,2018-08-06,2018-08-06T08:57:17Z,005,NA,997.2333333333333,26.702416666666668,108.84166666666667,8.7125,218.8,1.1191666666666666,0,NA,NA,NA,NA,NA,2.4063333333333334,2.4063333333333334,0.060249999999999915,0.060249999999999915
2018-08-06T08:57:21Z,8.45,126.45833333333334,0,2018-08-06,2018-08-06T08:57:20Z,005,NA,997.2111111111111,26.547583333333332,108.9,8.74,218.2,1.15,0,NA,NA,NA,NA,NA,2.4665833333333333,2.4665833333333333,0.06550000000000011,0.06550000000000011
2018-08-06T08:57:24Z,8.45,126.7,0,2018-08-06,2018-08-06T08:57:23Z,005,NA,997.1444444444444,26.430083333333332,108.71666666666667,8.7475,217.73333333333332,1.1275,0,NA,NA,NA,NA,NA,2.5320833333333335,2.5320833333333335,0.066749999999999865,0.066749999999999865
2018-08-06T08:57:27Z,8.440833333333332,126.95,0,2018-08-06,2018-08-06T08:57:26Z,005,NA,997.2222222222222,26.330416666666668,108.29166666666667,8.727500000000001,217.375,1.1483333333333332,0,NA,NA,NA,NA,NA,2.5988333333333333,2.5988333333333333,0.06691666666666674,0.06691666666666674
2018-08-06T08:57:30Z,8.436666666666666,127.25,0,2018-08-06,2018-08-06T08:57:29Z,005,NA,997.2333333333333,26.23,107.7,8.694166666666666,217.1,1.1716666666666666,0,NA,NA,NA,NA,NA,2.66575,2.66575,0.06808333333333305,0.06808333333333305
