dateTime_Round,pH,orp_mV,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
2018-08-15T14:36:27Z,8.075,73.99166666666667,0,2018-08-15,2018-08-15T14:36:26Z,236,NA,981.8666666666667,27.856,112.7,8.841666666666667,135.19166666666666,8.630833333333333,0,NA,NA,NA,NA,NA,0.04058333333333333,0.04058333333333333,0.020583333333333335,0.020583333333333335
2018-08-15T14:36:30Z,8.085833333333333,73.78333333333333,0,2018-08-15,2018-08-15T14:36:29Z,236,NA,981.8666666666667,27.813333333333333,112.59166666666667,8.838333333333333,135.14166666666665,8.659166666666668,0,NA,NA,NA,NA,NA,0.06116666666666667,0.06116666666666667,0.03308333333333333,0.03308333333333333
2018-08-15T14:36:33Z,8.090833333333332,73.7,0,2018-08-15,2018-08-15T14:36:32Z,236,NA,981.9,27.744166666666665,112.125,8.8125,135.075,8.588333333333333,0,NA,NA,NA,NA,NA,0.09425,0.09425,0.03716666666666668,0.03716666666666668
2018-08-15T14:36:36Z,8.1,73.7,0,2018-08-15,2018-08-15T14:36:35Z,236,NA,981.9222222222222,27.656166666666667,111.34166666666667,8.764166666666666,134.95,8.458333333333334,0,NA,NA,NA,NA,NA,0.13141666666666668,0.13141666666666668,0.04383333333333331,0.04383333333333331
2018-08-15T14:36:39Z,8.1,73.8,0,2018-08-15,2018-08-15T14:36:38Z,236,NA,981.9,27.54975,109.99166666666667,8.674166666666666,134.78333333333333,8.368333333333334,0,NA,NA,NA,NA,NA,0.17525,0.17525,0.050916666666666666,0.050916666666666666
2018-08-15T14:36:42Z,8.1,74.00833333333333,0,2018-08-15,2018-08-15T14:36:41Z,236,NA,981.9555555555555,27.45325,105.93333333333334,8.368333333333332,134.63333333333333,8.289166666666667,0,NA,NA,NA,NA,NA,0.22616666666666665,0.22616666666666665,0.05224999999999999,0.05224999999999999
2018-08-15T14:36:45Z,8.105,74.3,0,2018-08-15,2018-08-15T14:36:44Z,236,NA,981.9222222222222,27.376916666666666,104.575,8.2716666666666665,134.51666666666665,8.254999999999999,0,NA,NA,NA,NA,NA,0.27841666666666665,0.27841666666666665,0.052166666666666694,0.052166666666666694
2018-08-15T14:36:48Z,8.106666666666666,74.575,0,2018-08-15,2018-08-15T14:36:47Z,236,NA,981.9,27.307916666666667,103.75,8.216666666666667,134.375,8.2825,0,NA,NA,NA,NA,NA,0.33058333333333334,0.33058333333333334,0.056999999999999995,0.056999999999999995
2018-08-15T14:36:51Z,8.1,74.91666666666667,0,2018-08-15,2018-08-15T14:36:50Z,236,NA,981.9666666666667,27.238333333333333,102.96666666666667,8.166666666666666,134.24166666666667,8.42,0,NA,NA,NA,NA,NA,0.38758333333333334,0.38758333333333334,0.06258333333333332,0.06258333333333332
2018-08-15T14:36:54Z,8.0925,75.26666666666667,0,2018-08-15,2018-08-15T14:36:53Z,236,NA,981.9,27.192083333333333,100.53333333333333,7.98,134.10833333333332,8.486666666666666,0,NA,NA,NA,NA,NA,0.45016666666666666,0.45016666666666666,0.06650000000000006,0.06650000000000006
2018-08-15T14:36:57Z,8.079166666666667,75.65,0,2018-08-15,2018-08-15T14:36:56Z,236,NA,981.9222222222222,27.1485,96.96666666666667,7.704166666666667,133.95833333333334,8.4925,0,NA,NA,NA,NA,NA,0.5166666666666667,0.5166666666666667,0.07066666666666654,0.07066666666666654
2018-08-15T14:37:00Z,8.065000000000001,76.025,0,2018-08-15,2018-08-15T14:36:59Z,236,NA,981.9888888888889,27.09325,95.075,7.559166666666666,133.80833333333334,8.413333333333334,0,NA,NA,NA,NA,NA,0.5873333333333333,0.5873333333333333,0.07408333333333339,0.07408333333333339
2018-08-15T14:37:03Z,8.0475,76.35833333333333,0,2018-08-15,2018-08-15T14:37:02Z,236,NA,981.9111111111112,27.037416666666665,91.3,7.2675,133.69166666666666,8.3975,0,NA,NA,NA,NA,NA,0.6614166666666667,0.6614166666666667,0.06799999999999995,0.06799999999999995
2018-08-15T14:37:06Z,8.015833333333333,76.71666666666667,0,2018-08-15,2018-08-15T14:37:05Z,236,NA,981.9555555555555,26.985583333333334,87.05833333333334,6.9366666666666665,133.6,8.300833333333333,0,NA,NA,NA,NA,NA,0.7294166666666666,0.7294166666666666,0.05916666666666681,0.05916666666666681
2018-08-15T14:37:09Z,7.922499999999999,77.11666666666666,0,2018-08-15,2018-08-15T14:37:08Z,236,NA,981.9666666666667,26.93725,85.19166666666666,6.7925,133.50833333333333,8.194166666666668,0,NA,NA,NA,NA,NA,0.7885833333333334,0.7885833333333334,0.05383333333333318,0.05383333333333318
