pH,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
7.43,5.92,7.6,2014-11-14,2014-11-14T15:31:50Z,087,NA,982.4,13.577,48.4,5.03,204.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.205,7.205,0.04699999999999971,0.04699999999999971
7.43,6.07,7.6,2014-11-14,2014-11-14T15:31:52Z,087,NA,982.4,13.545,47.7,4.96,204.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.252,7.252,0.05400000000000027,0.05400000000000027
7.42,6.19,7.7,2014-11-14,2014-11-14T15:31:55Z,087,NA,982.5333333333333,13.518,43.7,4.55,204.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.306,7.306,0.0519999999999996,0.0519999999999996
7.42,6.3,7.7,2014-11-14,2014-11-14T15:31:57Z,087,NA,982.2666666666668,13.496,42.5,4.43,204.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.358,7.358,0.05200000000000049,0.05200000000000049
7.41,6.41,7.8,2014-11-14,2014-11-14T15:32:00Z,087,NA,982.4,13.475,42,4.38,205.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41,7.41,0.05900000000000016,0.05900000000000016
7.41,6.45,7.9,2014-11-14,2014-11-14T15:32:02Z,087,NA,982.4,13.456,41.6,4.33,205.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.469,7.469,0.052999999999999936,0.052999999999999936
7.4,6.45,7.9,2014-11-14,2014-11-14T15:32:05Z,087,NA,982.4,13.441,41.1,4.28,205.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.522,7.522,0.04999999999999982,0.04999999999999982
7.39,6.46,7.9,2014-11-14,2014-11-14T15:32:07Z,087,NA,982.4,13.43,40.7,4.24,205.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.572,7.572,0.04999999999999982,0.04999999999999982
7.39,6.52,8.1,2014-11-14,2014-11-14T15:32:10Z,087,NA,982.4,13.419,40.2,4.2,205.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.622,7.622,0.052999999999999936,0.052999999999999936
7.38,6.59,8.1,2014-11-14,2014-11-14T15:32:12Z,087,NA,982.4,13.41,39.6,4.13,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.675,7.675,0.052999999999999936,0.052999999999999936
7.38,6.65,8.1,2014-11-14,2014-11-14T15:32:15Z,087,NA,982.2666666666668,13.403,38.8,4.05,206.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.728,7.728,0.05400000000000027,0.05400000000000027
7.37,6.88,8.2,2014-11-14,2014-11-14T15:32:17Z,087,NA,982.2666666666668,13.394,38.1,3.98,206.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.782,7.782,0.06099999999999994,0.06099999999999994
7.37,7,8.2,2014-11-14,2014-11-14T15:32:20Z,087,NA,982.4,13.389,37.4,3.91,206.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.843,7.843,0.05400000000000027,0.05400000000000027
7.36,7.19,8.4,2014-11-14,2014-11-14T15:32:22Z,087,NA,982.2666666666668,13.379,36.8,3.84,206.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.897,7.897,0.05999999999999961,0.05999999999999961
7.36,7.31,8.4,2014-11-14,2014-11-14T15:32:25Z,087,NA,982.5333333333333,13.369,36,3.76,206.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.957,7.957,0.06299999999999972,0.06299999999999972
7.35,7.69,8.4,2014-11-14,2014-11-14T15:32:27Z,087,NA,982.2666666666668,13.36,35.2,3.68,206.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,8.02,0.049000000000001265,0.049000000000001265
7.35,109.69,8.5,2014-11-14,2014-11-14T15:32:30Z,087,NA,982.4,13.35,34.4,3.6,207.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.069,8.069,0.058999999999999275,0.058999999999999275
7.34,56.38,8.5,2014-11-14,2014-11-14T15:32:32Z,087,NA,982.6666666666666,13.339,33.5,3.5,207.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.128,8.128,0.05400000000000027,0.05400000000000027
7.34,212.01,8.5,2014-11-14,2014-11-14T15:32:35Z,087,NA,982.4,13.333,32.7,3.41,207.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.182,8.182,0.04800000000000004,0.04800000000000004
7.23,164.37,8.6,2014-11-14,2014-11-14T15:32:37Z,087,NA,982.4,13.328,31.9,3.33,207.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23,8.23,0.04699999999999882,0.04699999999999882
7.23,196.39,8.6,2014-11-14,2014-11-14T15:32:40Z,087,NA,982.5333333333333,13.324,31.2,3.27,207.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.277,8.277,0.04600000000000115,0.04600000000000115
7.25,1795.4,8.6,2014-11-14,2014-11-14T15:32:42Z,087,NA,982.4,13.322,30.7,3.21,207.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.323,8.323,0.04499999999999993,0.04499999999999993
7.26,9168.2,8.6,2014-11-14,2014-11-14T15:32:45Z,087,NA,982.4,13.321,30.2,3.16,207.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.368,8.368,0.04100000000000037,0.04100000000000037
7.28,4917.5,8.6,2014-11-14,2014-11-14T15:32:47Z,087,NA,982.4,13.32,29.9,3.13,207.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.409,8.409,0.03399999999999892,0.03399999999999892
7.29,13420.3,8.6,2014-11-14,2014-11-14T15:32:50Z,087,NA,982.4,13.32,29.7,3.1,207.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.443,8.443,0.034000000000000696,0.034000000000000696
7.29,13064.8,8.6,2014-11-14,2014-11-14T15:32:52Z,087,NA,982.4,13.321,29.5,3.08,207.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.477,8.477,0.02999999999999936,0.02999999999999936
7.29,8418.5,8.6,2014-11-14,2014-11-14T15:32:55Z,087,NA,982.4,13.322,29.3,3.06,207.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.507,8.507,0.027000000000001023,0.027000000000001023
