dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,ODO...CB,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,TAL.PC.RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,phycocyaninBGA_RFU
2018-08-08T11:15:42Z,0,0.18325,52.25,54.275,4.157500000000001,-112,0.13,278.25,0,181,10.075,7.75,27.10225,0.0905,40.39861,-94.08649,289.175,2018-08-08,2018-08-08T11:15:43Z,185,0.017691888949373978,981.8666666666667,NA
2018-08-08T11:15:48Z,0,0.18325,81.45833333333333,84.65,6.474166666666666,-118.68333333333334,0.13,275.875,0,179.16666666666666,9.295,8.006666666666666,27.121583333333334,0.22441666666666665,40.39861,-94.08649,289.7166666666667,2018-08-08,2018-08-08T11:15:48Z,185,0.01769188894937398,981.8666666666667,NA
2018-08-08T11:15:51Z,0,0.21708333333333332,90.20833333333333,93.71666666666667,7.17,-117.74166666666667,0.13,275.55,0,179,9.075,8.05,27.116833333333332,0.34241666666666665,40.39861,-94.08649,289.85833333333335,2018-08-08,2018-08-08T11:15:51Z,185,0.020918390491743787,981.8111111111111,NA
2018-08-08T11:15:57Z,0,0.2891666666666667,98.86666666666667,102.71666666666667,7.863333333333333,-112.55833333333334,0.13,276.1,0,179,8.4325,8.121666666666666,27.078333333333333,0.4658333333333333,40.39861,-94.08649083333333,289.53333333333336,2018-08-08,2018-08-08T11:15:57Z,185,0.0278987479586282,981.8222222222222,NA
2018-08-08T11:16:12Z,0,0.454,100.41666666666667,104.29166666666667,8.046666666666667,-90.15833333333333,0.13,277.18333333333334,0,180,9.140833333333333,8.193333333333333,26.647916666666667,0.7434166666666666,40.39861,-94.0865,289.34999999999997,2018-08-08,2018-08-08T11:16:12Z,185,0.043787425149700604,981.8555555555556,NA
2018-08-08T11:16:15Z,0,0.4815833333333333,99.61666666666667,103.48333333333333,7.988333333333333,-87.19166666666666,0.13,277.275,0,180,9.234166666666667,8.213333333333335,26.602833333333333,0.8045,40.39861,-94.0865,289.0833333333333,2018-08-08,2018-08-08T11:16:15Z,185,0.04645821992378879,981.8333333333333,NA
2018-08-08T11:16:18Z,0,0.51275,97.85833333333333,101.64166666666667,7.855,-85.34166666666667,0.13,277.375,0,180,9.2875,8.22,26.554333333333332,0.8719166666666667,40.39861,-94.0865,289,2018-08-08,2018-08-08T11:16:18Z,185,0.04945790237706405,981.8666666666667,NA
2018-08-08T11:16:21Z,0,0.56925,93.88333333333333,97.54166666666667,7.541666666666667,-83.8,0.13,277.5,0,180,9.398333333333333,8.22,26.513,0.94625,40.39861,-94.0865,288.8833333333333,2018-08-08,2018-08-08T11:16:21Z,185,0.054924242424242424,981.7777777777777,NA
2018-08-08T11:16:24Z,0,0.6349166666666667,92.24166666666666,95.825,7.413333333333333,-81.425,0.13,277.65833333333336,0,180.25,9.495,8.22,26.47325,1.0326666666666666,40.39861,-94.08650416666667,288.8,2018-08-08,2018-08-08T11:16:24Z,185,0.06122414262384322,981.8666666666667,NA
2018-08-08T11:16:27Z,0,0.7031666666666666,90.91666666666667,94.425,7.3133333333333335,-75.13333333333333,0.13,277.89166666666665,0,181,9.573333333333332,8.22,26.425833333333333,1.13375,40.39861,-94.08651,288.7916666666667,2018-08-08,2018-08-08T11:16:27Z,185,0.06781890763926691,981.8666666666667,NA
2018-08-08T11:16:30Z,0,0.7711666666666667,87.51666666666667,90.9,7.046666666666667,-73.45833333333333,0.13,278.15,0,181,9.6525,8.211666666666668,26.387583333333332,1.2468333333333332,40.39861,-94.08651,288.7,2018-08-08,2018-08-08T11:16:30Z,185,0.07439099074578116,981.8666666666667,NA
2018-08-08T11:16:36Z,0,0.9119166666666667,84.59166666666667,87.89166666666667,6.8175,-71.15,0.13,278.5083333333333,0,181,9.6775,8.192499999999999,26.335583333333332,1.3765,40.39861,-94.08651,288.48333333333335,2018-08-08,2018-08-08T11:16:36Z,185,0.08796611322808928,981.8222222222222,NA
2018-08-08T11:16:39Z,0,0.9796666666666667,84.01666666666667,87.28333333333333,6.7716666666666665,-70.13333333333334,0.13,278.6,0,181,9.685,8.18,26.322833333333335,1.4372500000000001,40.39861,-94.08651083333334,288.35833333333335,2018-08-08,2018-08-08T11:16:39Z,185,0.09452118490292143,981.8666666666667,NA
2018-08-08T11:16:42Z,0,1.04875,83.45,86.675,6.7275,-69.15833333333333,0.13,278.625,0,181,9.698333333333332,8.1675,26.313916666666668,1.5024166666666667,40.39861,-94.08652,288.3,2018-08-08,2018-08-08T11:16:42Z,185,0.10117832516784613,981.8666666666667,NA
2018-08-08T11:16:45Z,0,1.1190833333333332,82.89166666666667,86.09166666666667,6.683333333333334,-65.56666666666666,0.13,278.7,0,181,9.725833333333334,8.156666666666666,26.305166666666665,1.5943333333333334,40.39861,-94.08652,288.34166666666664,2018-08-08,2018-08-08T11:16:45Z,185,0.10796021593177282,981.8666666666667,NA
2018-08-08T11:16:48Z,0,1.19375,82.01666666666667,85.19166666666666,6.615833333333334,-61.63333333333333,0.13,278.725,0,181,9.694166666666668,8.1466666666666665,26.294833333333333,1.68525,40.39861,-94.08652,288.44166666666666,2018-08-08,2018-08-08T11:16:48Z,185,0.11517306296497914,981.8333333333333,NA
