pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
8.76,0.231,2018-05-29,2018-05-29T16:38:38Z,145,NA,986.2666666666668,28.914,135.6,10.44,195.8,14.8,2.259,NA,NA,NA,NA,NA,NA,0.088,0.088
8.7,0.179,2018-05-29,2018-05-29T16:39:44Z,145,NA,986.2666666666668,28.549,128.9,9.98,196.2,16.07,2.28,NA,NA,NA,NA,NA,NA,0.717,0.717
8.63,0.155,2018-05-29,2018-05-29T16:39:48Z,145,NA,986.2666666666668,28.196,122.9,9.57,196.5,16.69,2.275,NA,NA,NA,NA,NA,NA,0.835,0.835
7.56,-0.391,2018-05-29,2018-05-29T16:41:06Z,145,NA,986.4,20.778,61,5.45,197.1,26.82,0.837,NA,NA,NA,NA,NA,NA,2.54,2.54
7.55,-0.394,2018-05-29,2018-05-29T16:41:08Z,145,NA,986.2666666666668,20.576,60.6,5.44,197.2,26.65,0.789,NA,NA,NA,NA,NA,NA,3.326,3.326
7.54,-0.385,2018-05-29,2018-05-29T16:41:10Z,145,NA,986.2666666666668,20.385,60,5.4,197.1,26.58,0.738,NA,NA,NA,NA,NA,NA,3.422,3.422
7.53,-0.403,2018-05-29,2018-05-29T16:41:12Z,145,NA,986.4,19.149,59.4,5.49,201.3,26.49,0.689,NA,NA,NA,NA,NA,NA,3.486,3.486
7.52,-0.414,2018-05-29,2018-05-29T16:41:14Z,145,NA,986.2666666666668,18.949,59.1,5.48,200.7,26.25,0.662,NA,NA,NA,NA,NA,NA,3.562,3.562
7.51,-0.412,2018-05-29,2018-05-29T16:41:16Z,145,NA,986.2666666666668,18.903,59,5.48,199.2,26.15,0.641,NA,NA,NA,NA,NA,NA,3.625,3.625
7.41,-0.421,2018-05-29,2018-05-29T16:41:50Z,145,NA,986.2666666666668,15.987,65.2,6.42,190.2,23.84,0.487,NA,NA,NA,NA,NA,NA,4.243,4.243
7.41,-0.429,2018-05-29,2018-05-29T16:41:52Z,145,NA,986.2666666666668,15.833,65.4,6.47,190.2,23.82,0.472,NA,NA,NA,NA,NA,NA,4.313,4.313
7.41,-0.416,2018-05-29,2018-05-29T16:41:54Z,145,NA,986.2666666666668,15.662,65.6,6.52,190.2,23.95,0.46,NA,NA,NA,NA,NA,NA,4.374,4.374
7.4,-0.415,2018-05-29,2018-05-29T16:41:56Z,145,NA,986.2666666666668,15.487,65.9,6.56,190.1,23.94,0.47,NA,NA,NA,NA,NA,NA,4.437,4.437
7.4,-0.418,2018-05-29,2018-05-29T16:41:58Z,145,NA,986.2666666666668,15.325,66.1,6.61,190,23.98,0.453,NA,NA,NA,NA,NA,NA,4.507,4.507
7.39,-0.423,2018-05-29,2018-05-29T16:42:00Z,145,NA,986.2666666666668,15.199,66.5,6.67,189.9,24.18,0.448,NA,NA,NA,NA,NA,NA,4.57,4.57
7.39,-0.427,2018-05-29,2018-05-29T16:42:02Z,145,NA,986.2666666666668,15.068,66.8,6.72,189.8,24.49,0.451,NA,NA,NA,NA,NA,NA,4.64,4.64
7.38,-0.428,2018-05-29,2018-05-29T16:42:04Z,145,NA,986.2666666666668,14.951,67.2,6.77,189.6,24.86,0.468,NA,NA,NA,NA,NA,NA,4.704,4.704
7.37,-0.428,2018-05-29,2018-05-29T16:42:06Z,145,NA,986.2666666666668,14.828,67.5,6.82,189.3,25.11,0.467,NA,NA,NA,NA,NA,NA,4.776,4.776
7.37,-0.426,2018-05-29,2018-05-29T16:42:08Z,145,NA,986.2666666666668,14.724,67.8,6.87,189,25.28,0.456,NA,NA,NA,NA,NA,NA,4.84,4.84
7.36,-0.412,2018-05-29,2018-05-29T16:42:10Z,145,NA,986.2666666666668,14.632,68.1,6.91,188.7,25.37,0.465,NA,NA,NA,NA,NA,NA,4.91,4.91
7.35,-0.413,2018-05-29,2018-05-29T16:42:12Z,145,NA,986.4,14.494,68.3,6.95,188.5,25.68,0.464,NA,NA,NA,NA,NA,NA,4.974,4.974
7.35,-0.403,2018-05-29,2018-05-29T16:42:14Z,145,NA,986.2666666666668,14.354,68.6,7,188.3,25.97,0.461,NA,NA,NA,NA,NA,NA,5.045,5.045
7.34,-0.413,2018-05-29,2018-05-29T16:42:16Z,145,NA,986.2666666666668,14.225,68.8,7.05,188.1,26.11,0.458,NA,NA,NA,NA,NA,NA,5.107,5.107
7.33,-0.414,2018-05-29,2018-05-29T16:42:18Z,145,NA,986.2666666666668,14.114,69.1,7.09,188.1,26.12,0.461,NA,NA,NA,NA,NA,NA,5.174,5.174
7.33,-0.427,2018-05-29,2018-05-29T16:42:20Z,145,NA,986.2666666666668,14.008,69.3,7.13,188,26.15,0.469,NA,NA,NA,NA,NA,NA,5.235,5.235
7.02,-0.354,2018-05-29,2018-05-29T16:43:32Z,145,NA,986.4,11.929,70.3,7.58,186.1,33.36,0.532,NA,NA,NA,NA,NA,NA,7.747,7.747
6.94,-0.372,2018-05-29,2018-05-29T16:44:14Z,145,NA,986.2666666666668,10.665,70,7.77,186.7,28.1,0.468,NA,NA,NA,NA,NA,NA,8.553,8.553
6.94,-0.374,2018-05-29,2018-05-29T16:44:16Z,145,NA,986.2666666666668,10.611,70,7.79,186.8,28.57,0.468,NA,NA,NA,NA,NA,NA,8.62,8.62
6.93,-0.372,2018-05-29,2018-05-29T16:44:18Z,145,NA,986.2666666666668,10.56,70.1,7.8,186.8,28.82,0.471,NA,NA,NA,NA,NA,NA,8.696,8.696
6.93,-0.354,2018-05-29,2018-05-29T16:44:20Z,145,NA,986.2666666666668,10.505,70.1,7.81,186.8,28.68,0.482,NA,NA,NA,NA,NA,NA,8.768,8.768
6.93,-0.355,2018-05-29,2018-05-29T16:44:22Z,145,NA,986.2666666666668,10.448,70.1,7.82,186.8,28.9,0.493,NA,NA,NA,NA,NA,NA,8.843,8.843
6.92,-0.357,2018-05-29,2018-05-29T16:44:24Z,145,NA,986.2666666666668,10.394,70.1,7.83,186.9,25.19,0.474,NA,NA,NA,NA,NA,NA,8.909,8.909
6.92,-0.338,2018-05-29,2018-05-29T16:44:26Z,145,NA,986.2666666666668,10.351,70.1,7.84,187,28,0.477,NA,NA,NA,NA,NA,NA,8.976,8.976
6.92,-0.341,2018-05-29,2018-05-29T16:44:28Z,145,NA,986.4,10.311,70.1,7.85,187,29.88,0.49,NA,NA,NA,NA,NA,NA,9.048,9.048
6.91,-0.345,2018-05-29,2018-05-29T16:44:30Z,145,NA,986.2666666666668,10.272,70.1,7.86,187,30.6,0.512,NA,NA,NA,NA,NA,NA,9.805,9.805
6.91,-0.331,2018-05-29,2018-05-29T16:44:36Z,145,NA,986.2666666666668,10.191,69.9,7.85,186.7,31.97,0.534,NA,NA,NA,NA,NA,NA,9.967,9.967
6.85,-0.329,2018-05-29,2018-05-29T16:45:08Z,145,NA,986.2666666666668,9.4,67.8,7.75,187.5,28.03,0.502,NA,NA,NA,NA,NA,NA,11.377,11.377
6.81,-0.336,2018-05-29,2018-05-29T16:45:46Z,145,NA,986.2666666666668,8.676,65.9,7.67,187.2,28.25,0.534,NA,NA,NA,NA,NA,NA,12.914,12.914
6.8,-0.329,2018-05-29,2018-05-29T16:45:48Z,145,NA,986.2666666666668,8.652,65.8,7.67,187.2,27.65,0.527,NA,NA,NA,NA,NA,NA,12.992,12.992
6.8,-0.328,2018-05-29,2018-05-29T16:45:50Z,145,NA,986.2666666666668,8.631,65.8,7.67,187.3,27.65,0.529,NA,NA,NA,NA,NA,NA,13.066,13.066
6.76,-0.347,2018-05-29,2018-05-29T16:46:28Z,145,NA,986.2666666666668,8.16,63.6,7.5,187.6,26.35,0.527,NA,NA,NA,NA,NA,NA,14.632,14.632
6.76,-0.339,2018-05-29,2018-05-29T16:46:30Z,145,NA,986.2666666666668,8.143,63.6,7.5,187.7,26.2,0.513,NA,NA,NA,NA,NA,NA,14.733,14.733
6.76,-0.34,2018-05-29,2018-05-29T16:46:32Z,145,NA,986.4,8.13,63.5,7.49,187.7,26.17,0.505,NA,NA,NA,NA,NA,NA,14.821,14.821
6.76,-0.329,2018-05-29,2018-05-29T16:46:34Z,145,NA,986.2666666666668,8.112,63.4,7.49,187.7,25.99,0.496,NA,NA,NA,NA,NA,NA,14.934,14.934
6.76,-0.32,2018-05-29,2018-05-29T16:46:36Z,145,NA,986.2666666666668,8.096,63.4,7.48,187.8,25.8,0.487,NA,NA,NA,NA,NA,NA,14.996,14.996
6.73,-0.34,2018-05-29,2018-05-29T16:47:06Z,145,NA,986.2666666666668,7.878,61.7,7.32,188.1,26.01,0.505,NA,NA,NA,NA,NA,NA,16.319,16.319
6.73,-0.332,2018-05-29,2018-05-29T16:47:08Z,145,NA,986.2666666666668,7.857,61.5,7.31,188.1,26.08,0.524,NA,NA,NA,NA,NA,NA,16.392,16.392
6.69,-0.312,2018-05-29,2018-05-29T16:47:44Z,145,NA,986.2666666666668,7.72,58.1,6.92,188.3,27.99,0.529,NA,NA,NA,NA,NA,NA,17.87,17.87
6.69,-0.322,2018-05-29,2018-05-29T16:47:50Z,145,NA,986.4,7.704,57.2,6.82,188.5,28.32,0.528,NA,NA,NA,NA,NA,NA,18.034,18.034
6.64,-0.272,2018-05-29,2018-05-29T16:48:26Z,145,NA,986.2666666666668,7.674,49.7,5.93,189.7,32.67,0.527,NA,NA,NA,NA,NA,NA,18.839,18.839
6.64,-0.278,2018-05-29,2018-05-29T16:48:28Z,145,NA,986.2666666666668,7.672,49.4,5.89,189.8,32.82,0.523,NA,NA,NA,NA,NA,NA,19.628,19.628
6.63,-0.272,2018-05-29,2018-05-29T16:48:32Z,145,NA,986.2666666666668,7.665,48.7,5.81,190,32.94,0.529,NA,NA,NA,NA,NA,NA,19.736,19.736
6.63,-0.275,2018-05-29,2018-05-29T16:48:34Z,145,NA,986.2666666666668,7.66,48.3,5.77,190.1,32.67,0.537,NA,NA,NA,NA,NA,NA,19.803,19.803
6.63,-0.268,2018-05-29,2018-05-29T16:48:36Z,145,NA,986.2666666666668,7.655,47.9,5.71,190.3,32.33,0.544,NA,NA,NA,NA,NA,NA,19.869,19.869
6.62,-0.266,2018-05-29,2018-05-29T16:48:38Z,145,NA,986.2666666666668,7.65,47.4,5.66,190.4,31.82,0.542,NA,NA,NA,NA,NA,NA,19.933,19.933
6.62,-0.267,2018-05-29,2018-05-29T16:48:40Z,145,NA,986.4,7.644,46.9,5.6,190.6,31.36,0.561,NA,NA,NA,NA,NA,NA,20,20
6.6,-0.265,2018-05-29,2018-05-29T16:49:02Z,145,NA,986.2666666666668,7.6,40.9,4.89,193,32.97,0.541,NA,NA,NA,NA,NA,NA,21.249,21.249
6.59,-0.266,2018-05-29,2018-05-29T16:49:04Z,145,NA,986.2666666666668,7.601,40.3,4.82,193.1,29.77,0.552,NA,NA,NA,NA,NA,NA,21.318,21.318
6.58,-0.308,2018-05-29,2018-05-29T16:49:40Z,145,NA,986.2666666666668,7.593,32.6,3.9,195,33.67,0.564,NA,NA,NA,NA,NA,NA,22.539,22.539
6.58,-0.308,2018-05-29,2018-05-29T16:49:44Z,145,NA,986.2666666666668,7.591,31.9,3.82,195.4,34.11,0.582,NA,NA,NA,NA,NA,NA,22.636,22.636
