KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/7/2020 14:42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,5.24,21.42,172.4,0.937,204.1,79,7.53,202.4,0.092,0.1,201.6,2.23,2.09,131,117,NA,-89.9,17.415,0.943,37.48211,-94.24339,286.6,0.02,12.1,988.2
,,,STANDARD DEVIATION:,2.4,9.8,5.6,0.857,1,18.5,1.63,1.4,0.084,0,1,1.07,1,1,281.13,0.1,5.9,1.382,0.859,0.00001,0.00001,0.8,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,18F102214,18F102214,17F102078,17F104892,17F102078,18E105016,18E105016,18E106369,17F104892,17F102078,17F102078,18F102214,18F102214,17F102078,18E100543,18E106369,18E106369,17F102078,17F104892,18E100114,18E100114,18E100114,18E100114,18E100114,18E100114
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO mg/L,ORP mV,Pressure bar a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mbars
10/5/2020,14:06:10,0,LLUPLAKE,8.16,33.34,175.7,0.243,206.2,98,9.32,203.2,0.024,0.1,203.7,2.77,2.59,132,10.93,7.65,-100.1,17.807,0.24,37.48211,-94.24341,285.6,0.02,12.1,988.2
10/5/2020,14:06:11,0,LLUPLAKE,8.31,33.95,175.5,0.236,205.7,98.2,9.32,203.2,0.023,0.1,203.2,2.75,2.58,132,11.31,7.65,-100.2,17.843,0.237,37.48211,-94.24341,285.7,0.02,12.1,988.1
10/5/2020,14:06:12,0,LLUPLAKE,8.53,34.85,175,0.226,205.5,98.1,9.32,203.3,0.022,0.1,203.1,2.74,2.56,132,11.39,7.65,-100.3,17.767,0.211,37.48211,-94.2434,286.1,0.02,12.1,988.2
10/5/2020,14:06:13,0,LLUPLAKE,6.94,28.35,174.7,0.141,205.2,98.6,9.38,203.3,0.014,0.1,202.8,2.25,2.11,132,10.68,7.65,-100.3,17.797,0.039,37.48211,-94.2434,286.1,0.02,12.1,988.1
10/5/2020,14:06:14,0,LLUPLAKE,3.86,15.77,175.5,-0.05,202.6,101.1,9.54,203,-0.005,0.09,200.4,1.53,1.43,130,9.02,7.64,-100,18.486,-0.037,37.48211,-94.2434,286.5,0.02,12.1,988.1
