MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,notes
143,Bethany (South),40.2864,-94.0244,old
144,Pinewoods ,36.918,-90.7722,
145,Mark Twain,39.5223,-91.6467,
146,Crane ,37.4236,-90.6272,
148,Blue Springs,39.0141,-94.3371,
149,Lake of the Ozarks,38.2039,-92.6236,
150,Blind Pony,39.0317,-93.3681,
152,Lafayette,37.8925,-90.5942,
155,Weatherby,39.2283,-94.7031,
157,Holden City,38.7611,-94.0344,
158,Amarugia Highlands W.A.,38.5394,-94.4347,
159,Harmony Mission C.A.,38.0735,-94.4288,
160,Four Rivers,38.015,-94.3367,
161,Bushwacker,37.6717,-94.4056,
162,Maple Leaf,38.9889,-93.7806,
163,King,40.02,-94.4372,
164,Elmwood,40.2244,-93.1156,
165,Jackrabbit,38.8886,-94.3228,
166,Catclaw,38.8892,-94.3167,
167,Cottontail,38.8831,-94.3161,
168,Nell,38.8797,-94.3228,
169,Gopher,38.8733,-94.3147,
170,Coot,38.8694,-94.3398,
178,Daniel Boone,39.7896,-92.2631,
179,Nodaway County,40.4264,-94.8578,
180,Bilby Ranch,40.3481,-95.1333,
181,Mozingo,40.3495,-94.7776,
182,Fox Valley,40.4977,-91.7668,
183,Hazel Hill,38.8458,-93.7779,
184,Manito,38.5911,-92.8072,
185,Harrison County,40.3988,-94.0871,
186,Carl DiSalvo,37.7297,-90.6347,
187,Belcher Branch,39.5839,-94.7331,
188,Big Oak,36.6403,-89.2919,
189,Butler City,38.2756,-94.4286,
190,Charity,40.4756,-95.5842,
191,Indian Creek,39.8975,-93.6957,
192,Jo Shelby,39.7168,-93.3222,
193,Busch 37,38.7133,-90.7913,
194,Lawson City,39.4547,-94.2022,
195,Limpp,40.0625,-94.5381,
196,Lone Jack,38.8917,-94.1942,
197,Prairie,38.7083,-90.6903,
198,Ray County,39.3092,-93.9939,
199,Rothwell,39.4183,-92.4617,
200,Savannah City,39.9492,-94.863,
201,Upper Big,36.9544,-89.3648,
202,Whiteside,39.1722,-91.0111,
203,Willow Brook,39.8722,-94.3811,
204,Worth County,40.3994,-94.5247,
211,Cameron (Sunrise),39.7627,-94.2583,
212,Grindstone,39.773,-94.2942,
213,Cameron (Eagle),39.7739,-94.2722,
214,Bennitt,39.2448,-92.4586,
215,White,39.3264,-91.8642,
216,Big Whetstone,38.9657,-91.7347,
217,Windy Whetstone,38.9594,-91.7338,
218,Bucklin City,39.7672,-92.8814,
219,Dairy 1,38.9938,-92.489,
220,Dairy 3,38.9896,-92.4727,
221,Edina (Section 7),40.1844,-92.164,
222,Ewing,40.0211,-91.7171,
223,Greenly Farms,40.0171,-92.1924,
224,Happy Holler,40.0256,-94.7336,
225,Higbee Railroad,39.3052,-92.5193,
226,Higbee City,39.3109,-92.4961,
227,Horseshoe,38.9447,-91.7184,
228,Jamesport Community,39.9987,-93.8423,
229,King City (West),40.0641,-94.5127,
230,King City (East),40.0619,-94.5085,
231,LaPlata (West),40.0186,-92.4653,
232,Lick Creek,39.1508,-92.3846,
233,Linneus,39.8872,-93.1994,
234,Malta Bend,39.1759,-93.3852,
235,Redman,39.8743,-94.3656,
236,McCredie,38.9477,-91.9105,
237,Milan (North),40.2002,-93.1048,
238,Monroe (Route J),39.6063,-91.6661,
239,LaBelle City (West),40.0918,-91.9123,
240,North Whetstone,38.9823,-91.7309,
241,Phillips,38.8957,-92.2934,
242,Pike,39.9516,-93.6746,
243,Pin Oak,37.4357,-94.5657,
244,Pine Ridge,39.3987,-92.8011,
245,Poosey 17,39.9221,-93.7168,
246,Poosey 18,39.9281,-93.7087,
247,Poosey 20,39.9282,-93.7014,
248,Johnson,38.7789,-92.6015,
249,Reform 1,38.7605,-91.7957,
250,Santa Fe,40.0362,-92.4763,
251,Sears Community,40.2613,-93.0764,
252,South Farm,38.9039,-92.2781,
253,Tobacco Hill,39.4229,-94.8044,
254,Walter,39.0675,-91.6299,
255,Watershed,40.3,-91.9341,
256,Wellsville City,39.0356,-91.5769,
257,Whitesell,39.0728,-91.6323,
258,Winegar,38.4777,-92.3971,
260,Busch 16,38.7051,-90.7578,
261,Adrian City,38.3907,-94.3364,
263,Brays,37.892,-91.7784,
264,Drexel City,38.4744,-94.6061,
265,Drexel Reservoir,38.4638,-94.6069,
266,Garden City,38.5218,-94.1695,
267,Niangua,37.9356,-92.8504,
268,Nims,37.6384,-90.3307,
269,Shepherd Mountain,37.5919,-90.6579,
270,Vandalia,39.3769,-91.4084,
271,Palmer,37.8227,-90.9217,
272,Perry,39.4239,-91.6747,
273,Odessa (Upper),38.9701,-93.9782,
317,Buffalo Bill,39.8155,-94.3832,
400,Woodrail,38.9214,-92.3581,
274,Alpine,38.7496,-91.0812,
275,Ascencio,39.343,-94.8554,
276,Ashland,38.7553,-92.2058,
277,Aspen,38.7576,-91.04,
278,Aspenetter,38.763,-91.0326,
279,Autumn,38.2075,-92.7141,
280,Sherwood (Big Lake),38.6648,-90.9875,
281,Buteo,38.7489,-93.5814,
282,Cardinal,38.761,-91.0089,
283,Castlenovo,38.7669,-91.0509,
284,Charrette,38.7659,-91.023,
285,Clearfork,38.7517,-93.5972,
286,Crystal,39.3567,-94.1914,
287,Doniphan (Lower),38.3239,-94.1965,
288,Doniphan (Upper),39.3274,-94.1953,
289,Eleanor,38.6726,-90.9734,
