chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
0.01,0.351,98.4,7.64,68.6,0.11,241.9,-0.08,157,0.24,8.22,28.386,0.384,NA,NA,NA,2019-07-18,2019-07-18T10:01:48Z,112,0.033886771910724006,984.4
0.02,0.54,98.5,7.66,68.4,0.11,241.8,-0.13,157,0.1,8.23,28.386,0.591,NA,NA,NA,2019-07-18,2019-07-18T10:01:52Z,112,0.052054980947196516,984.2666666666668
0.04,0.666,98.5,7.66,68.6,0.11,241.9,-0.1,157,0.11,8.23,28.377,0.704,NA,NA,NA,2019-07-18,2019-07-18T10:01:53Z,112,0.06423516603157321,984.2666666666668
0.05,0.768,98.6,7.66,68.8,0.11,242,-0.1,157,0.12,8.22,28.373,0.797,NA,NA,NA,2019-07-18,2019-07-18T10:01:54Z,112,0.07403375068045727,984.4
0.03,0.848,98.5,7.66,68.9,0.11,241.9,-0.11,157,0.1,8.22,28.376,0.864,NA,NA,NA,2019-07-18,2019-07-18T10:01:55Z,112,0.08179096352749048,984.4
0.03,0.951,98.4,7.65,69.4,0.11,242.1,-0.08,157,0.11,8.22,28.351,1.042,NA,NA,NA,2019-07-18,2019-07-18T10:01:58Z,112,0.09172563962983125,984.2666666666668
0.05,1.141,98.5,7.67,69.8,0.11,241.9,-0.1,157,0.07,8.22,28.294,1.138,NA,NA,NA,2019-07-18,2019-07-18T10:01:59Z,112,0.11002994011976049,984.2666666666668
0.06,1.197,98.7,7.68,69.9,0.11,241.8,-0.14,157,0.19,8.22,28.29,1.231,NA,NA,NA,2019-07-18,2019-07-18T10:02:01Z,112,0.11540555253130104,984.2666666666668
0.09,1.286,98.7,7.69,69.9,0.11,241.9,-0.15,157,0.25,8.22,28.258,1.321,NA,NA,NA,2019-07-18,2019-07-18T10:02:02Z,112,0.12397931409907459,984.2666666666668
0.08,1.384,98.7,7.69,69.9,0.11,241.9,-0.11,157,0.17,8.22,28.24,1.418,NA,NA,NA,2019-07-18,2019-07-18T10:02:03Z,112,0.13350571584104517,984.4
0.08,1.493,98.7,7.69,70.1,0.11,241.9,-0.03,157,0.03,8.22,28.227,1.544,NA,NA,NA,2019-07-18,2019-07-18T10:02:04Z,112,0.14398475775721287,984.4
0.1,1.601,98.8,7.7,70.2,0.11,242,-0.07,157,0.07,8.22,28.222,1.61,NA,NA,NA,2019-07-18,2019-07-18T10:02:05Z,112,0.15439575394665217,984.2666666666668
0.09,1.643,98.8,7.7,70.2,0.11,241.9,-0.13,157,0.14,8.22,28.224,1.671,NA,NA,NA,2019-07-18,2019-07-18T10:02:06Z,112,0.15847849755035384,984.4
0.09,1.74,98.7,7.69,70.3,0.11,241.8,-0.11,157,0.15,8.22,28.226,1.76,NA,NA,NA,2019-07-18,2019-07-18T10:02:07Z,112,0.16780076211213937,984.4
0.13,1.831,98.7,7.7,70.3,0.11,241.8,-0.14,157,0.16,8.22,28.217,1.864,NA,NA,NA,2019-07-18,2019-07-18T10:02:09Z,112,0.176578660860098,984.4
0.14,1.909,98.7,7.69,70.4,0.11,241.8,-0.11,157,0.1,8.22,28.207,1.935,NA,NA,NA,2019-07-18,2019-07-18T10:02:10Z,112,0.18406369080021776,984.2666666666668
0.14,1.993,98.8,7.7,70.4,0.11,241.7,-0.1,157,0.07,8.22,28.2,2.029,NA,NA,NA,2019-07-18,2019-07-18T10:02:11Z,112,0.19216113228089277,984.4
0.14,2.077,98.7,7.7,70.5,0.11,241.7,-0.1,157,0.06,8.22,28.199,2.09,NA,NA,NA,2019-07-18,2019-07-18T10:02:12Z,112,0.20025857376156778,984.4
0.15,2.226,98.6,7.69,70.6,0.11,241.9,-0.12,157,0.16,8.22,28.193,2.261,NA,NA,NA,2019-07-18,2019-07-18T10:02:15Z,112,0.21461622210125203,984.4
0.17,2.308,98.6,7.68,70.6,0.11,242,-0.08,157,0.25,8.22,28.186,2.333,NA,NA,NA,2019-07-18,2019-07-18T10:02:16Z,112,0.22257757212847032,984.2666666666668
0.18,2.374,98.5,7.68,70.7,0.11,241.9,-0.07,157,0.14,8.22,28.184,2.398,NA,NA,NA,2019-07-18,2019-07-18T10:02:17Z,112,0.22890582471420795,984.4
0.18,2.73,98.3,7.67,70.8,0.11,241.8,-0.08,157,0.09,8.22,28.174,2.764,NA,NA,NA,2019-07-18,2019-07-18T10:02:24Z,112,0.2632008709853021,984.4
0.13,2.856,98.4,7.67,70.9,0.11,241.8,-0.08,157,0.02,8.22,28.166,2.897,NA,NA,NA,2019-07-18,2019-07-18T10:02:26Z,112,0.27531301034295047,984.4
0.14,2.97,98.3,7.67,71,0.11,241.8,-0.12,157,0.01,8.22,28.165,3.019,NA,NA,NA,2019-07-18,2019-07-18T10:02:27Z,112,0.286336418072945,984.2666666666668
0.15,3.098,98.2,7.66,71,0.11,241.8,-0.11,157,0.14,8.22,28.161,3.119,NA,NA,NA,2019-07-18,2019-07-18T10:02:28Z,112,0.2987207403375068,984.4
0.16,3.167,98.2,7.66,71,0.11,241.8,-0.08,157,0.18,8.22,28.159,3.208,NA,NA,NA,2019-07-18,2019-07-18T10:02:29Z,112,0.3053211758301579,984.2666666666668
0.14,3.341,98,7.65,71.1,0.11,241.5,-0.06,157,0.11,8.22,28.158,3.362,NA,NA,NA,2019-07-18,2019-07-18T10:02:32Z,112,0.32212847033206315,984.4
0.16,3.686,97.7,7.62,71.3,0.11,242,-0.1,157,0.18,8.22,28.115,3.697,NA,NA,NA,2019-07-18,2019-07-18T10:02:40Z,112,0.3554028307022319,984.4
0.18,3.842,97,7.59,71.6,0.11,243.5,-0.08,158,0.25,8.21,27.908,3.874,NA,NA,NA,2019-07-18,2019-07-18T10:02:44Z,112,0.3704409363091998,984.4
0.18,3.926,97,7.61,71.7,0.11,243.9,-0.07,159,0.19,8.21,27.823,3.934,NA,NA,NA,2019-07-18,2019-07-18T10:02:45Z,112,0.37853837778987476,984.4
0.2,4.061,97.3,7.65,71.7,0.11,244.4,-0.1,159,0.25,8.2,27.659,4.076,NA,NA,NA,2019-07-18,2019-07-18T10:02:48Z,112,0.3915351115949918,984.4
0.23,4.187,97.2,7.66,71.8,0.11,244.3,-0.12,159,0.28,8.2,27.535,4.222,NA,NA,NA,2019-07-18,2019-07-18T10:02:51Z,112,0.4037833424060969,984.4
0.24,4.452,100.6,8,72.1,0.11,243.4,-0.08,158,0.15,8.21,26.974,4.483,NA,NA,NA,2019-07-18,2019-07-18T10:02:56Z,112,0.4294365813826892,984.4
0.22,4.528,101.9,8.13,72.1,0.11,243.4,-0.12,158,0.19,8.22,26.786,4.552,NA,NA,NA,2019-07-18,2019-07-18T10:02:57Z,112,0.43671747414262385,984.1333333333333
0.24,4.652,105.7,8.51,72.2,0.11,244.1,-0.07,159,0.05,8.23,26.313,4.688,NA,NA,NA,2019-07-18,2019-07-18T10:03:00Z,112,0.4487615677735438,984.4
