dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
2019-06-04T15:39:03Z,1.6366666666666667,4.569,80.16666666666667,6.8566666666666665,159.26666666666668,0.12,247.86666666666667,0.23333333333333334,161,1.8966666666666667,8.023333333333333,23.070333333333334,4.593666666666667,NA,NA,NA,2019-06-04,2019-06-04T15:39:03Z,092,0.44114044637996735,981.7333333333332,0.18266666666666698,0.17799999999999994
2019-06-04T15:39:06Z,1.67,4.751666666666667,78.5,6.723333333333334,159.76666666666668,0.12,247.9,0.25,161,1.9,7.996666666666667,23.045666666666666,4.7716666666666665,NA,NA,NA,2019-06-04,2019-06-04T15:39:06Z,092,0.458764289602613,981.6888888888889,0.21666666666666679,0.2276666666666669
2019-06-04T15:39:09Z,1.5733333333333335,4.968333333333334,76.6,6.573333333333333,160.3,0.12,247.83333333333334,0.2,161,1.7333333333333334,7.973333333333334,22.930333333333333,4.999333333333333,NA,NA,NA,2019-06-04,2019-06-04T15:39:09Z,092,0.4796996915260388,981.6444444444444,0.14266666666666605,0.1120000000000001
2019-06-04T15:39:12Z,1.47,5.111,74.06666666666666,6.366666666666666,160.9,0.12,248.06666666666666,0.16,161,1.7633333333333334,7.933333333333334,22.832333333333334,5.1113333333333335,NA,NA,NA,2019-06-04,2019-06-04T15:39:12Z,092,0.4935129740518962,981.6,0.024666666666666615,0.0303333333333331
2019-06-04T15:39:15Z,1.4166666666666667,5.135666666666666,72.13333333333333,6.213333333333333,161.46666666666667,0.12,248.4,0.18333333333333332,161,1.78,7.883333333333334,22.731666666666666,5.141666666666667,NA,NA,NA,2019-06-04,2019-06-04T15:39:15Z,092,0.4958945744873889,981.6888888888889,0.03733333333333366,0.03533333333333388
2019-06-04T15:39:18Z,1.5266666666666666,5.173,70.33333333333333,6.0633333333333335,161.9,0.12,248.43333333333334,0.14,161.33333333333334,1.5333333333333334,7.8566666666666665,22.695,5.1770000000000005,NA,NA,NA,2019-06-04,2019-06-04T15:39:18Z,092,0.499500998003992,981.8222222222222,0.03833333333333311,0.039333333333332554
2019-06-04T15:39:21Z,1.5966666666666667,5.211333333333333,68,5.863333333333333,162.33333333333334,0.12,248.36666666666667,0.14666666666666667,161,1.6733333333333333,7.833333333333333,22.667,5.216333333333333,NA,NA,NA,2019-06-04,2019-06-04T15:39:21Z,092,0.5032435129740519,981.6888888888889,0.04600000000000026,0.046666666666666856
2019-06-04T15:39:24Z,1.2966666666666666,5.257333333333333,65.6,5.673333333333334,162.76666666666668,0.12,248.96666666666667,0.13333333333333333,162,1.5233333333333332,7.8,22.503666666666668,5.263,NA,NA,NA,2019-06-04,2019-06-04T15:39:24Z,092,0.5076438033024859,981.6444444444444,0.08133333333333326,0.09499999999999975
2019-06-04T15:39:27Z,1.28,5.338666666666667,63.53333333333333,5.516666666666667,163.3,0.12,249.3,0.09333333333333334,162,1.5166666666666666,7.766666666666667,22.288333333333334,5.358,NA,NA,NA,2019-06-04,2019-06-04T15:39:27Z,092,0.5155371076029759,981.6444444444444,0.1459999999999999,0.14200000000000035
2019-06-04T15:39:30Z,1.1966666666666665,5.484666666666667,60,5.226666666666667,163.8,0.12,248.83333333333334,0.11333333333333333,162,1.3566666666666667,7.716666666666667,22.162333333333333,5.5,NA,NA,NA,2019-06-04,2019-06-04T15:39:30Z,092,0.5296679368535656,981.7333333333332,0.10200000000000031,0.09333333333333371
