chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
1,0.031,112.5,8.36,70.4,0.05,115.7,0.61,75,7.78,8.33,30.941,0.047,NA,NA,NA,2019-07-10,2019-07-10T12:54:07Z,114,0.002994011976047904,991.3333333333334
0.97,0.059,112.5,8.37,70.3,0.05,115.6,0.69,75,7.92,8.33,30.942,0.077,NA,NA,NA,2019-07-10,2019-07-10T12:54:08Z,114,0.005715841045182363,991.3333333333334
1,0.111,112.5,8.36,70.3,0.05,115.7,0.73,75,8.01,8.33,30.94,0.129,NA,NA,NA,2019-07-10,2019-07-10T12:54:09Z,114,0.01068317909635275,991.3333333333334
1.04,0.179,112.5,8.36,70.3,0.05,115.7,0.68,75,7.93,8.34,30.938,0.208,NA,NA,NA,2019-07-10,2019-07-10T12:54:10Z,114,0.01728361458900381,991.3333333333334
1.05,0.246,112.5,8.37,70.2,0.05,115.6,0.67,75,7.78,8.34,30.936,0.272,NA,NA,NA,2019-07-10,2019-07-10T12:54:11Z,114,0.023679912901469785,991.3333333333334
1.04,0.318,112.4,8.36,70.2,0.05,115.7,0.7,75,7.77,8.34,30.93,0.356,NA,NA,NA,2019-07-10,2019-07-10T12:54:12Z,114,0.030620577027762656,991.1999999999999
1.03,0.424,112.1,8.34,70.2,0.05,115.7,0.77,75,7.81,8.34,30.915,0.47,NA,NA,NA,2019-07-10,2019-07-10T12:54:13Z,114,0.04082743603701688,991.1999999999999
1.08,0.541,111.9,8.34,70.2,0.05,115.9,0.86,75,7.67,8.34,30.775,0.555,NA,NA,NA,2019-07-10,2019-07-10T12:54:14Z,114,0.05219107240065324,991.1999999999999
1.1,0.586,111.8,8.36,70.2,0.05,116.2,0.88,75,7.71,8.34,30.601,0.599,NA,NA,NA,2019-07-10,2019-07-10T12:54:15Z,114,0.05647795318454001,991.1999999999999
1.15,0.649,111.4,8.35,70.1,0.05,115.7,0.84,75,7.89,8.35,30.487,0.668,NA,NA,NA,2019-07-10,2019-07-10T12:54:19Z,114,0.06253402286336418,991.3333333333334
1.16,0.692,111.2,8.33,70.1,0.05,115.7,0.84,75,7.98,8.35,30.47,0.715,NA,NA,NA,2019-07-10,2019-07-10T12:54:20Z,114,0.06668481219379423,991.3333333333334
1.11,0.749,111,8.32,70.1,0.05,115.7,0.86,75,7.91,8.35,30.423,0.767,NA,NA,NA,2019-07-10,2019-07-10T12:54:21Z,114,0.0721965160587915,991.1999999999999
1.14,0.791,110.8,8.32,70.1,0.05,115.7,0.85,75,7.9,8.35,30.391,0.793,NA,NA,NA,2019-07-10,2019-07-10T12:54:22Z,114,0.07614316820903648,991.3333333333334
1.16,0.825,110.5,8.29,70.1,0.05,115.6,0.86,75,7.76,8.34,30.4,0.844,NA,NA,NA,2019-07-10,2019-07-10T12:54:24Z,114,0.07954545454545454,991.3333333333334
1.2,0.869,110.3,8.28,70.4,0.05,115.6,0.89,75,7.92,8.34,30.379,0.885,NA,NA,NA,2019-07-10,2019-07-10T12:54:25Z,114,0.08376428960261297,991.3333333333334
1.26,0.904,110.1,8.27,70.4,0.05,115.6,0.92,75,7.83,8.33,30.371,0.909,NA,NA,NA,2019-07-10,2019-07-10T12:54:26Z,114,0.08716657593903103,991.3333333333334
1.3,0.928,110,8.26,70.4,0.05,115.6,1.03,75,7.96,8.33,30.364,0.941,NA,NA,NA,2019-07-10,2019-07-10T12:54:27Z,114,0.08941208492106696,991.3333333333334
1.32,0.962,109.7,8.24,70.4,0.05,115.7,1.06,75,7.92,8.33,30.344,0.981,NA,NA,NA,2019-07-10,2019-07-10T12:54:28Z,114,0.09274632553075667,991.1999999999999
1.36,1.005,109.5,8.23,70.3,0.05,115.7,1.05,75,7.86,8.33,30.324,1.021,NA,NA,NA,2019-07-10,2019-07-10T12:54:29Z,114,0.09689711486118671,991.1999999999999
1.35,1.041,109.2,8.21,70.3,0.05,115.7,1.08,75,7.79,8.33,30.301,1.048,NA,NA,NA,2019-07-10,2019-07-10T12:54:30Z,114,0.10029940119760479,991.3333333333334
1.35,1.066,109.1,8.21,70.3,0.05,115.7,1.08,75,7.85,8.32,30.284,1.08,NA,NA,NA,2019-07-10,2019-07-10T12:54:31Z,114,0.10268100163309743,991.3333333333334
1.34,1.113,108.9,8.19,70.4,0.05,115.7,1.09,75,7.88,8.32,30.278,1.134,NA,NA,NA,2019-07-10,2019-07-10T12:54:32Z,114,0.10724006532389767,991.3333333333334
1.38,1.155,108.7,8.17,70.4,0.05,115.6,1.09,75,7.73,8.32,30.279,1.159,NA,NA,NA,2019-07-10,2019-07-10T12:54:33Z,114,0.11132280892759934,991.3333333333334
1.38,1.183,108.4,8.16,70.4,0.05,115.6,1.09,75,7.68,8.31,30.261,1.197,NA,NA,NA,2019-07-10,2019-07-10T12:54:34Z,114,0.1140446379967338,991.3333333333334
1.31,1.22,108.3,8.15,70.5,0.05,115.5,1.1,75,7.72,8.31,30.251,1.224,NA,NA,NA,2019-07-10,2019-07-10T12:54:35Z,114,0.1175830157866086,991.3333333333334
1.29,1.239,108,8.13,70.7,0.05,115.5,1.04,75,8.11,8.3,30.227,1.256,NA,NA,NA,2019-07-10,2019-07-10T12:54:36Z,114,0.11942025040827435,991.1999999999999
