chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
0.89,0.342,80.9,6.24,184.6,0.15,313.7,0.48,204,8.3,7.76,28.797,0.372,NA,NA,NA,2019-07-22,2019-07-22T12:16:14Z,121,0.03293413173652695,994.4
0.93,0.43,80.9,6.24,184.5,0.15,313.7,0.57,204,8.52,7.76,28.801,0.466,NA,NA,NA,2019-07-22,2019-07-22T12:16:15Z,121,0.04143984757757213,994.2666666666668
0.91,0.524,81,6.24,184.4,0.15,313.7,0.54,204,8.71,7.77,28.805,0.583,NA,NA,NA,2019-07-22,2019-07-22T12:16:16Z,121,0.050557974959172566,994.2666666666668
0.91,0.779,81,6.25,184.4,0.15,313.6,0.5,204,8.69,7.77,28.808,0.876,NA,NA,NA,2019-07-22,2019-07-22T12:16:17Z,121,0.07512248230811105,994.2666666666668
0.92,0.967,81,6.25,184.4,0.15,313.7,0.51,204,8.58,7.76,28.808,0.964,NA,NA,NA,2019-07-22,2019-07-22T12:16:18Z,121,0.0932226456178552,994.2666666666668
0.84,1.076,80.9,6.24,184.2,0.15,313.6,0.56,204,8.39,7.77,28.806,1.11,NA,NA,NA,2019-07-22,2019-07-22T12:16:20Z,121,0.10376973326075122,994.4
0.82,1.162,80.9,6.24,184.1,0.15,313.6,0.48,204,8.84,7.77,28.805,1.202,NA,NA,NA,2019-07-22,2019-07-22T12:16:21Z,121,0.11200326619488296,994.2666666666668
0.81,1.272,80.9,6.24,184,0.15,313.7,0.47,204,9.1,7.77,28.805,1.305,NA,NA,NA,2019-07-22,2019-07-22T12:16:22Z,121,0.12261839956450736,994.2666666666668
0.83,1.361,80.9,6.24,184,0.15,313.7,0.52,204,8.7,7.76,28.804,1.408,NA,NA,NA,2019-07-22,2019-07-22T12:16:23Z,121,0.13126020685900927,994.2666666666668
0.81,1.512,80.8,6.23,183.9,0.15,313.7,0.49,204,8.38,7.77,28.803,1.587,NA,NA,NA,2019-07-22,2019-07-22T12:16:24Z,121,0.14575394665215025,994.4
0.79,1.655,80.7,6.22,183.7,0.15,313.7,0.47,204,8.42,7.77,28.803,1.661,NA,NA,NA,2019-07-22,2019-07-22T12:16:25Z,121,0.15956722917800764,994.2666666666668
0.88,1.718,80.5,6.21,183.5,0.15,313.8,0.46,204,8.4,7.77,28.802,1.751,NA,NA,NA,2019-07-22,2019-07-22T12:16:27Z,121,0.1656232988568318,994.2666666666668
0.84,1.811,80.5,6.21,183.5,0.15,313.8,0.46,204,8.73,7.77,28.802,1.863,NA,NA,NA,2019-07-22,2019-07-22T12:16:28Z,121,0.17453728905824714,994.2666666666668
0.81,1.97,80.4,6.2,183.4,0.15,313.8,0.41,204,8.77,7.77,28.802,2.038,NA,NA,NA,2019-07-22,2019-07-22T12:16:29Z,121,0.1899836690255852,994.2666666666668
0.84,2.141,80.4,6.2,183.4,0.15,313.9,0.43,204,8.76,7.77,28.801,2.195,NA,NA,NA,2019-07-22,2019-07-22T12:16:30Z,121,0.20645073489384866,994.4
0.85,2.279,80.3,6.19,183.2,0.15,313.9,0.53,204,8.73,7.77,28.8,2.334,NA,NA,NA,2019-07-22,2019-07-22T12:16:32Z,121,0.2196516058791508,994.2666666666668
0.87,2.431,80.3,6.19,183.1,0.15,313.7,0.5,204,8.94,7.77,28.797,2.471,NA,NA,NA,2019-07-22,2019-07-22T12:16:33Z,121,0.23434948285247686,994.2666666666668
0.88,2.543,80.3,6.2,183,0.15,313.8,0.49,204,8.86,7.77,28.785,2.588,NA,NA,NA,2019-07-22,2019-07-22T12:16:34Z,121,0.24516875340228636,994.2666666666668
0.84,2.653,80.3,6.19,182.9,0.15,313.7,0.49,204,8.54,7.77,28.776,2.667,NA,NA,NA,2019-07-22,2019-07-22T12:16:35Z,121,0.2557838867719107,994.2666666666668
0.92,2.796,80.1,6.18,182.7,0.15,313.7,0.41,204,8.83,7.77,28.773,2.829,NA,NA,NA,2019-07-22,2019-07-22T12:16:37Z,121,0.2695971692977681,994.4
