chlorophyll_RFU,depth_m,doSaturation_percent,ODO...local,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,TSS.mg.L,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
5.12,0.221,88.5,90.3,7.41,98.7,0.05,110.7,2.42,72,7.15,0,7.54,24.331,0.224,39.19042,-92.20855,245.6,2019-09-03,2019-09-03T11:18:20Z,042,0.0213663581927055,989.0666666666666,0.016999999999999987,0.03900000000000001
5.19,0.238,88.6,90.3,7.41,98.7,0.05,110.7,2.48,72,7.04,0,7.54,24.303,0.263,39.19042,-92.20855,245.7,2019-09-03,2019-09-03T11:18:21Z,042,0.022931409907457814,989.0666666666666,0.04799999999999999,0.035999999999999976
5.51,0.286,88.6,90.4,7.42,98.7,0.05,110.7,2.55,72,7.03,0,7.54,24.282,0.299,39.19042,-92.20855,245.8,2019-09-03,2019-09-03T11:18:22Z,042,0.027626565051714756,989.0666666666666,0.038000000000000034,0.041000000000000036
5.98,0.324,88.6,90.3,7.42,98.7,0.05,110.8,2.64,72,7.14,0,7.54,24.218,0.34,39.19042,-92.20855,245.8,2019-09-03,2019-09-03T11:18:23Z,042,0.03123298856831791,989.0666666666666,0.043999999999999984,0.04299999999999998
6.16,0.368,88.4,90.1,7.41,98.8,0.05,110.9,2.85,72,7.42,0,7.54,24.161,0.383,39.19042,-92.20855,246,2019-09-03,2019-09-03T11:18:24Z,042,0.035519869352204685,989.0666666666666,0.04999999999999999,0.05499999999999999
6.64,0.455,88.1,89.8,7.41,99.1,0.05,111.2,3.25,72,7.9,0,7.53,23.946,0.462,39.19043,-92.20855,246,2019-09-03,2019-09-03T11:18:26Z,042,0.043889493739793145,988.9333333333334,0.03199999999999997,0.035999999999999976
4.17,0.862,72.3,73.7,6.14,100.5,0.05,110.9,2.51,72,7.19,0,7.29,23.534,0.865,39.19042,-92.20854,247.9,2019-09-03,2019-09-03T11:19:14Z,042,0.08321992378878607,989.0666666666666,0.018000000000000016,0.03200000000000003
3.91,0.93,69,70.3,5.86,100.9,0.05,111,2.66,72,6.94,0,7.25,23.487,0.931,39.19042,-92.20853,247.9,2019-09-03,2019-09-03T11:19:18Z,042,0.08975231355470877,989.0666666666666,0.016999999999999904,0.030999999999999917
3.27,1.415,52.3,53.3,4.46,102.2,0.05,111.3,2.18,72,7.08,0,7.08,23.274,1.427,39.19044,-92.20857,248,2019-09-03,2019-09-03T11:19:51Z,042,0.13663581927054982,989.0666666666666,0.038999999999999924,0.03400000000000003
3.25,1.494,51.2,52.2,4.37,102.2,0.05,111.4,2.14,72,6.83,0,7.07,23.251,1.507,39.19044,-92.20857,248,2019-09-03,2019-09-03T11:19:54Z,042,0.1442569406641263,989.0666666666666,0.03499999999999992,0.03200000000000003
3.17,1.586,49.9,50.9,4.26,102.4,0.05,111.5,2.06,72,6.91,0,7.05,23.209,1.596,39.19044,-92.20857,248.3,2019-09-03,2019-09-03T11:19:57Z,042,0.1531028851388133,989.0666666666666,0.03400000000000003,0.03499999999999992
2.91,1.647,48.8,49.8,4.17,102.4,0.05,111.5,1.85,72,7.37,0,7.05,23.185,1.65,39.19044,-92.20857,248.4,2019-09-03,2019-09-03T11:19:59Z,042,0.15902286336418076,988.9333333333334,0.026000000000000023,0.03500000000000014
2.41,2.385,31.9,32.5,2.73,103.9,0.05,112.4,1.55,73,7.42,0,6.92,23.006,2.399,39.19041,-92.20853,247.9,2019-09-03,2019-09-03T11:20:54Z,042,0.23019869352204683,989.0666666666666,0.040000000000000036,0.03500000000000014
2.51,2.425,31.7,32.3,2.72,103.9,0.05,112.4,1.57,73,7.22,0,6.91,22.999,2.434,39.19041,-92.20853,247.8,2019-09-03,2019-09-03T11:20:55Z,042,0.23414534567229178,989.0666666666666,0.026000000000000245,0.03200000000000003
2.87,2.451,31.5,32.1,2.7,103.9,0.05,112.4,1.55,73,7.01,0,6.91,22.998,2.466,39.19041,-92.20853,247.8,2019-09-03,2019-09-03T11:20:56Z,042,0.23666303756124119,989.0666666666666,0.03699999999999992,0.03200000000000003
2.88,2.488,31.3,32,2.69,103.9,0.05,112.4,1.5,73,7.04,0,6.91,23,2.498,39.19041,-92.20853,247.8,2019-09-03,2019-09-03T11:20:57Z,042,0.24020141535111594,989.0666666666666,0.027000000000000135,0.030999999999999694
2.61,2.515,31.2,31.8,2.67,103.9,0.05,112.4,1.49,73,7.27,0,6.91,22.999,2.529,39.19041,-92.20853,247.8,2019-09-03,2019-09-03T11:20:58Z,042,0.2427871529667937,989.0666666666666,0.04599999999999982,0.051000000000000156
2.54,2.561,30.9,31.5,2.65,103.9,0.05,112.5,1.54,73,7.32,0,6.91,22.993,2.58,39.19041,-92.20853,247.8,2019-09-03,2019-09-03T11:20:59Z,042,0.24727817093086554,989.0666666666666,0.04300000000000015,0.03200000000000003
2.41,2.946,28,28.5,2.4,104.3,0.05,113.2,1.34,74,9.27,0,6.89,22.881,2.961,39.19041,-92.20853,247.3,2019-09-03,2019-09-03T11:21:14Z,042,0.28443113772455086,989.0666666666666,0.03299999999999992,0.038000000000000256
2.32,3.014,27.6,28.2,2.38,104.4,0.05,113.6,1.35,74,9.62,0,6.88,22.838,3.016,39.19041,-92.20853,247.2,2019-09-03,2019-09-03T11:21:16Z,042,0.2909635274904736,989.0666666666666,0.03200000000000003,0.051000000000000156
2.6,3.183,21.8,22.3,1.88,104.7,0.05,114.1,1.41,74,15.44,0,6.84,22.825,3.191,39.19042,-92.20853,247,2019-09-03,2019-09-03T11:21:23Z,042,0.30729450190528035,989.0666666666666,0.03300000000000036,0.037000000000000366
2.86,3.258,19.1,19.5,1.65,105.4,0.05,114.5,1.43,74,14.29,0,6.82,22.732,3.27,39.19042,-92.20853,246.8,2019-09-03,2019-09-03T11:21:26Z,042,0.31457539466521506,989.0666666666666,0.03299999999999992,0.03699999999999992
3.11,3.291,17.9,18.3,1.55,105.4,0.05,115.2,1.4,75,15.74,0,6.81,22.688,3.307,39.19042,-92.20853,246.8,2019-09-03,2019-09-03T11:21:27Z,042,0.317773543821448,989.0666666666666,0.04200000000000026,0.03500000000000014
3.3,3.354,15.6,15.9,1.35,105.9,0.05,116.7,1.49,76,18.21,0,6.79,22.577,3.365,39.19042,-92.20853,246.7,2019-09-03,2019-09-03T11:21:29Z,042,0.32382961350027223,989.0666666666666,0.0349999999999997,0.041999999999999815
2.98,3.347,12.4,12.7,1.08,104.9,0.06,123.9,1.38,81,20.98,0,6.77,22.44,3.33,39.19042,-92.20853,246.8,2019-09-03,2019-09-03T11:21:32Z,042,0.3232172019597169,989.0666666666666,0.04499999999999993,0.137
2.91,3.392,11.4,11.6,0.99,104.7,0.06,126.3,1.32,82,20.89,0,6.77,22.435,3.467,39.19042,-92.20853,246.6,2019-09-03,2019-09-03T11:21:33Z,042,0.32757212847033207,989.0666666666666,0.1499999999999999,0.1160000000000001
2.75,3.542,10.4,10.6,0.91,104.2,0.06,133.5,1.21,87,21.59,0,6.74,22.216,3.583,39.19042,-92.20853,246.5,2019-09-03,2019-09-03T11:21:34Z,042,0.34206586826347307,989.0666666666666,0.1070000000000002,0.09399999999999986
2.38,3.649,9.4,9.6,0.82,103.8,0.07,140.9,1.06,92,21.06,0,6.71,22.073,3.677,39.19042,-92.20853,246.4,2019-09-03,2019-09-03T11:21:35Z,042,0.35234077299945565,989.0666666666666,0.08400000000000007,0.06700000000000017
2.15,3.791,7.6,7.7,0.67,96.7,0.07,156.5,0.91,102,20.2,0,6.65,21.448,3.801,39.19042,-92.20853,246.5,2019-09-03,2019-09-03T11:21:38Z,042,0.36615405552531305,989.0666666666666,0.03400000000000025,0.041999999999999815
