dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
2019-06-12T15:05:42Z,1.2933333333333334,0.5273333333333333,80,6.68,110.36666666666667,0.08,172.96666666666667,0.21666666666666667,112,52.803333333333335,7.49,24.413666666666668,0.5353333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:05:42Z,145,0.05092088550172383,990.9333333333334
2019-06-12T15:05:45Z,1.2666666666666666,0.5640000000000001,79.76666666666667,6.663333333333333,110.33333333333333,0.08,173,0.21666666666666667,112.33333333333333,55.306666666666665,7.49,24.380666666666666,0.5716666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:05:45Z,145,0.05445926329159862,990.9777777777778
2019-06-12T15:05:48Z,1.17,0.654,79.4,6.64,110.4,0.08,172.93333333333334,0.18666666666666668,112,54.14,7.483333333333333,24.355333333333334,0.6636666666666666,NA,NA,NA,2019-06-12,2019-06-12T15:05:48Z,145,0.06312375249500998,990.9777777777778
2019-06-12T15:05:51Z,1.1466666666666667,0.726,79.06666666666666,6.61,110.36666666666667,0.08,172.93333333333334,0.2,112,54.943333333333335,7.48,24.333,0.7323333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:05:51Z,145,0.07004173471239339,990.9777777777778
2019-06-12T15:05:54Z,1.1199999999999999,0.7816666666666667,78.8,6.593333333333333,110.26666666666667,0.08,172.83333333333334,0.16,112,54.263333333333335,7.48,24.303333333333335,0.7866666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:05:54Z,145,0.07548539285066232,991.0666666666666
2019-06-12T15:05:57Z,1.0566666666666666,0.838,78.4,6.56,110.4,0.08,172.7,0.17,112,54.766666666666666,7.47,24.278333333333332,0.852,NA,NA,NA,2019-06-12,2019-06-12T15:05:57Z,145,0.08088368717111233,991.0222222222222
2019-06-12T15:06:00Z,1.01,0.9513333333333334,78.06666666666666,6.54,110.43333333333334,0.08,172.5,0.14333333333333334,112,56.12,7.47,24.253666666666668,0.958,NA,NA,NA,2019-06-12,2019-06-12T15:06:00Z,145,0.0917936853565596,990.9777777777778
2019-06-12T15:06:03Z,1.02,1.021,77.7,6.51,110.43333333333334,0.08,172.6,0.12666666666666665,112,55.52333333333333,7.466666666666667,24.231,1.0336666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:06:03Z,145,0.09853021230266738,991.0222222222222
2019-06-12T15:06:06Z,1.04,1.1123333333333334,77.4,6.49,110.43333333333334,0.08,172.63333333333333,0.13666666666666666,112,52.943333333333335,7.46,24.215,1.1213333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:06:06Z,145,0.10737615677735439,991.0222222222222
2019-06-12T15:06:09Z,1.08,1.171,77.1,6.466666666666667,110.53333333333333,0.08,172.53333333333333,0.12333333333333334,112,53.06333333333333,7.46,24.199,1.172,NA,NA,NA,2019-06-12,2019-06-12T15:06:09Z,145,0.11302395209580839,990.9777777777778
