chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
0.25,0.147,110.6,8.5,162.1,0.13,272.1,-0.05,177,0.17,7.92,29.019,0.145,37.13808,-90.77505,151,2019-09-06,2019-09-06T11:45:23Z,036,0.014153511159499184,1001.4666666666667
0.37,0.176,116,8.92,161.8,0.13,272.6,0.04,177,0.1,8.07,28.997,0.185,37.13808,-90.77505,150.8,2019-09-06,2019-09-06T11:45:26Z,036,0.016943385955362003,1001.3333333333334
0.33,0.213,119.3,9.17,161.8,0.13,272.7,0.03,177,0,8.17,28.985,0.239,37.13809,-90.77505,151.1,2019-09-06,2019-09-06T11:45:28Z,036,0.02054980947196516,1001.4666666666667
0.34,0.261,120.8,9.29,161.7,0.13,273,0,177,NA,8.21,28.956,0.276,37.13809,-90.77504,151.2,2019-09-06,2019-09-06T11:45:29Z,036,0.025108873162765378,1001.3333333333334
0.35,0.293,121.8,9.37,161.6,0.13,273.1,0.04,178,0.07,8.24,28.926,0.307,37.13809,-90.77505,151.1,2019-09-06,2019-09-06T11:45:30Z,036,0.028238976592270006,1001.4666666666667
0.33,0.336,123,9.47,161.5,0.13,273.2,0.09,178,0.22,8.26,28.892,0.339,37.13809,-90.77505,150.1,2019-09-06,2019-09-06T11:45:31Z,036,0.032389765922700056,1001.4666666666667
0.39,0.37,125.9,9.71,161.2,0.13,273.3,0.06,178,0.27,8.31,28.803,0.387,37.13809,-90.77505,149.8,2019-09-06,2019-09-06T11:45:35Z,036,0.035655960805661406,1001.4666666666667
0.43,0.411,126.4,9.75,161.2,0.13,273.3,0.03,178,0.23,8.32,28.783,0.421,37.13809,-90.77505,149.8,2019-09-06,2019-09-06T11:45:36Z,036,0.03960261295590637,1001.4666666666667
0.46,0.46,127.1,9.81,161.1,0.13,273.4,0.1,178,0.37,8.33,28.726,0.483,37.13809,-90.77505,149.5,2019-09-06,2019-09-06T11:45:38Z,036,0.04436581382689167,1001.4666666666667
0.48,0.521,127.4,9.84,160.9,0.13,273.5,0.07,178,0.4,8.33,28.663,0.532,37.13809,-90.77505,149.5,2019-09-06,2019-09-06T11:45:39Z,036,0.050217746325530756,1001.4666666666667
0.55,0.608,128.4,9.94,160.8,0.13,273.8,0.09,178,0.35,8.35,28.594,0.619,37.13809,-90.77505,150.2,2019-09-06,2019-09-06T11:45:43Z,036,0.05865541643984758,1001.4666666666667
0.59,0.648,128.5,9.95,160.8,0.13,273.7,0.07,178,0.48,8.35,28.539,0.66,37.13809,-90.77505,150,2019-09-06,2019-09-06T11:45:44Z,036,0.06246597713663582,1001.4666666666667
0.63,0.68,128.8,9.98,160.8,0.13,273.7,0.05,178,0.47,8.35,28.522,0.685,37.13809,-90.77505,150.6,2019-09-06,2019-09-06T11:45:45Z,036,0.06559608056614044,1001.3333333333334
0.64,0.745,129.5,10.04,160.4,0.13,274.2,0.07,178,0.43,8.37,28.483,0.758,37.13809,-90.77504,151,2019-09-06,2019-09-06T11:45:51Z,036,0.07178824169842134,1001.4666666666667
0.69,0.784,129.7,10.06,160.2,0.13,274.2,0.08,178,0.61,8.37,28.485,0.797,37.13809,-90.77504,151.2,2019-09-06,2019-09-06T11:45:53Z,036,0.07559880239520958,1001.4666666666667
0.66,0.837,129.8,10.07,160.1,0.13,274.3,0.16,178,0.49,8.37,28.479,0.845,37.13809,-90.77504,151.2,2019-09-06,2019-09-06T11:45:55Z,036,0.08070223189983669,1001.3333333333334
0.73,0.87,129.9,10.08,160,0.13,274.4,0.07,178,0.53,8.37,28.471,0.877,37.13809,-90.77504,151.3,2019-09-06,2019-09-06T11:45:57Z,036,0.08383233532934131,1001.4666666666667
0.71,0.911,129.9,10.08,159.9,0.13,274.5,0.13,178,0.73,8.37,28.459,0.928,37.13809,-90.77504,151.1,2019-09-06,2019-09-06T11:45:59Z,036,0.08777898747958629,1001.3333333333334
0.79,0.986,129.9,10.09,159.9,0.13,274.8,0.2,179,0.74,8.37,28.377,1.005,37.13809,-90.77504,151.2,2019-09-06,2019-09-06T11:46:02Z,036,0.09505988023952096,1001.3333333333334
0.82,1.027,129.9,10.1,159.8,0.13,274.8,0.15,179,0.8,8.37,28.368,1.03,37.13809,-90.77504,151.2,2019-09-06,2019-09-06T11:46:03Z,036,0.09900653238976594,1001.3333333333334
0.86,1.039,129.8,10.09,159.8,0.13,274.8,0.17,179,0.56,8.37,28.373,1.055,37.13809,-90.77504,151.3,2019-09-06,2019-09-06T11:46:04Z,036,0.10016330974414807,1001.4666666666667
0.84,1.079,129.8,10.09,159.9,0.13,274.8,0.14,179,0.62,8.37,28.336,1.091,37.1381,-90.77504,151.3,2019-09-06,2019-09-06T11:46:06Z,036,0.10404191616766467,1001.4666666666667
0.83,1.121,129.9,10.11,159.8,0.13,274.8,0.17,179,0.56,8.38,28.317,1.124,37.1381,-90.77504,151.3,2019-09-06,2019-09-06T11:46:08Z,036,0.10812465977136636,1001.4666666666667
0.86,1.134,130,10.11,159.8,0.13,274.8,0.17,179,0.55,8.38,28.314,1.148,37.1381,-90.77504,151.3,2019-09-06,2019-09-06T11:46:09Z,036,0.10928143712574852,1001.4666666666667
0.88,1.168,129.9,10.11,159.6,0.13,274.8,0.17,179,0.6,8.38,28.312,1.173,37.1381,-90.77504,151.4,2019-09-06,2019-09-06T11:46:10Z,036,0.11268372346216657,1001.4666666666667
0.92,1.207,130,10.11,159.5,0.13,274.7,0.19,179,0.5,8.38,28.317,1.218,37.1381,-90.77504,151.5,2019-09-06,2019-09-06T11:46:13Z,036,0.11642623843222646,1001.3333333333334
0.9,1.255,130,10.12,159.4,0.13,274.7,0.19,179,0.56,8.38,28.287,1.265,37.1381,-90.77504,151.5,2019-09-06,2019-09-06T11:46:16Z,036,0.12105334784975504,1001.4666666666667
0.99,1.312,130.2,10.13,159.2,0.13,274.6,0.23,178,0.68,8.38,28.272,1.326,37.1381,-90.77504,151.5,2019-09-06,2019-09-06T11:46:19Z,036,0.12649700598802396,1001.4666666666667
1,1.363,130.3,10.14,159.1,0.13,274.6,0.25,179,0.65,8.38,28.27,1.376,37.1381,-90.77504,151.4,2019-09-06,2019-09-06T11:46:21Z,036,0.13146434403919433,1001.4666666666667
0.99,1.43,130.5,10.16,159.1,0.13,274.6,0.15,178,0.72,8.38,28.268,1.44,37.1381,-90.77505,151.5,2019-09-06,2019-09-06T11:46:25Z,036,0.13792868807838868,1001.3333333333334
1,1.452,130.6,10.17,159.1,0.13,274.6,0.16,178,0.68,8.38,28.253,1.468,37.1381,-90.77505,151.5,2019-09-06,2019-09-06T11:46:26Z,036,0.13997005988023953,1001.3333333333334
1.07,1.485,130.7,10.18,159.1,0.13,274.5,0.15,178,0.61,8.38,28.244,1.495,37.1381,-90.77505,151.6,2019-09-06,2019-09-06T11:46:27Z,036,0.14323625476320087,1001.4666666666667
1.12,1.514,130.7,10.18,159,0.13,274.5,0.25,178,0.58,8.39,28.243,1.526,37.1381,-90.77505,151.7,2019-09-06,2019-09-06T11:46:28Z,036,0.14595808383233533,1001.4666666666667
1.07,1.536,130.9,10.2,158.8,0.13,274.6,0.2,178,0.7,8.39,28.243,1.549,37.1381,-90.77505,151.7,2019-09-06,2019-09-06T11:46:30Z,036,0.14806750136091454,1001.4666666666667
0.99,1.573,131.1,10.21,158.7,0.13,274.5,0.24,178,0.64,8.39,28.233,1.583,37.13811,-90.77505,151.4,2019-09-06,2019-09-06T11:46:32Z,036,0.15174197060424605,1001.4666666666667
