chlorophyll_RFU,depth_m,doSaturation_percent,ODO...local,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
0.65,3.418,39,39,3.47,110.6,0.12,263.1,0.04,171,23.91,7.34,20.899,3.432,NA,NA,NA,2019-06-03,2019-06-03T16:46:05Z,118,0.33022591181273814,981.1999999999999,0.0259999999999998,0.0129999999999999
0.65,3.444,38,38,3.4,110.7,0.12,263.2,0.02,171,24.68,7.34,20.831,3.445,NA,NA,NA,2019-06-03,2019-06-03T16:46:06Z,118,0.3326755579749592,981.1999999999999,0.010000000000000231,0.016000000000000014
0.63,3.454,36.9,36.9,3.3,110.8,0.13,263.3,0.06,171,24.73,7.33,20.797,3.461,NA,NA,NA,2019-06-03,2019-06-03T16:46:07Z,118,0.33362819814915623,981.0666666666666,0.01399999999999979,0.013000000000000345
0.66,3.468,35.8,35.8,3.21,110.9,0.13,263.4,0.06,171,24.38,7.33,20.763,3.474,NA,NA,NA,2019-06-03,2019-06-03T16:46:08Z,118,0.33498911268372344,981.0666666666666,0.014000000000000234,0.016000000000000014
0.67,3.482,34.8,34.8,3.11,110.9,0.13,263.3,0.06,171,24.84,7.33,20.716,3.49,NA,NA,NA,2019-06-03,2019-06-03T16:46:09Z,118,0.33635002721829066,981.1999999999999,0.05099999999999971,0.053999999999999826
0.64,3.552,33.4,33.4,3,111.2,0.13,263.3,0.02,171,23.36,7.32,20.434,3.552,NA,NA,NA,2019-06-03,2019-06-03T16:46:11Z,118,0.34315459989112684,981.1999999999999,0.01200000000000001,0.028999999999999915
0.62,3.564,32.8,32.8,2.96,111.2,0.13,263.3,0.04,171,22.95,7.32,20.364,3.581,NA,NA,NA,2019-06-03,2019-06-03T16:46:12Z,118,0.344311377245509,981.0666666666666,0.02499999999999991,0.010000000000000231
0.57,3.589,32.2,32.2,2.9,111.3,0.12,262.8,0.06,171,22.25,7.31,20.282,3.591,NA,NA,NA,2019-06-03,2019-06-03T16:46:13Z,118,0.34676102340773,981.1999999999999,0.018000000000000238,0.03200000000000003
0.58,3.607,31.8,31.8,2.88,111.3,0.12,262.3,0.09,170,21.95,7.31,20.207,3.623,NA,NA,NA,2019-06-03,2019-06-03T16:46:14Z,118,0.3484621665759391,981.0666666666666,0.04699999999999971,0.05099999999999971
0.63,3.654,31.4,31.4,2.85,111.4,0.12,262.1,0.09,170,21.67,7.31,20.099,3.674,NA,NA,NA,2019-06-03,2019-06-03T16:46:15Z,118,0.3529531845400109,981.1999999999999,0.04800000000000004,0.03500000000000014
0.62,3.702,31.2,31.2,2.83,111.4,0.12,261.9,0.13,170,21.37,7.31,20.049,3.709,NA,NA,NA,2019-06-03,2019-06-03T16:46:16Z,118,0.35771638541099615,981.1999999999999,0.02499999999999991,0.02300000000000013
0.57,3.727,31,31,2.81,111.4,0.12,261.9,0.11,170,21.49,7.3,19.989,3.732,NA,NA,NA,2019-06-03,2019-06-03T16:46:17Z,118,0.36009798584648883,981.1999999999999,0.013000000000000345,0.01200000000000001
0.58,3.75,30.5,30.5,2.79,111.4,0.12,262.4,0.07,171,22.21,7.3,19.76,3.752,NA,NA,NA,2019-06-03,2019-06-03T16:46:19Z,118,0.3622754491017964,981.1999999999999,0.021999999999999797,0.037000000000000366
0.59,3.772,30.2,30.2,2.76,111.5,0.12,261.9,0.05,170,22.53,7.3,19.722,3.789,NA,NA,NA,2019-06-03,2019-06-03T16:46:20Z,118,0.364452912357104,981.1999999999999,0.03000000000000025,0.016999999999999904
0.57,3.802,29.8,29.8,2.73,111.5,0.12,261.8,0.09,170,22.4,7.29,19.628,3.806,NA,NA,NA,2019-06-03,2019-06-03T16:46:21Z,118,0.36737887860642354,981.1999999999999,0.015000000000000124,0.02300000000000013
0.59,3.817,29.5,29.5,2.7,111.6,0.12,261.4,0.1,170,22.32,7.29,19.604,3.829,NA,NA,NA,2019-06-03,2019-06-03T16:46:22Z,118,0.3687397931409907,981.1999999999999,0.05099999999999971,0.0519999999999996
0.57,3.868,29,29,2.65,111.7,0.12,261.1,0.08,170,21.97,7.28,19.573,3.881,NA,NA,NA,2019-06-03,2019-06-03T16:46:23Z,118,0.37370713119216115,981.1999999999999,0.03000000000000025,0.028000000000000025
0.53,3.898,28.6,28.6,2.62,111.8,0.12,260.9,0.07,170,22.04,7.28,19.567,3.909,NA,NA,NA,2019-06-03,2019-06-03T16:46:24Z,118,0.3766330974414807,981.1999999999999,0.02699999999999969,0.028000000000000025
0.53,3.925,28.2,28.2,2.59,111.9,0.12,260.4,0.08,169,22.11,7.27,19.557,3.937,NA,NA,NA,2019-06-03,2019-06-03T16:46:25Z,118,0.3792868807838868,981.1999999999999,0.028000000000000025,0.02900000000000036
0.53,3.953,27.9,27.9,2.56,111.9,0.12,260.5,0.07,169,22.23,7.27,19.475,3.966,NA,NA,NA,2019-06-03,2019-06-03T16:46:26Z,118,0.3819406641262929,981.1999999999999,0.04100000000000037,0.040000000000000036
0.5,3.994,27.5,27.5,2.53,112,0.12,260.5,0.04,169,22.13,7.27,19.438,4.006,NA,NA,NA,2019-06-03,2019-06-03T16:46:27Z,118,0.3859553620032662,981.1999999999999,0.029999999999999805,0.028999999999999915
0.51,4.024,27.2,27.2,2.5,112.1,0.12,260.4,0.04,169,22.2,7.26,19.419,4.035,NA,NA,NA,2019-06-03,2019-06-03T16:46:28Z,118,0.38888132825258576,981.0666666666666,0.025000000000000355,0.02200000000000024
0.58,4.049,26.9,26.9,2.47,112.2,0.12,260.6,0.04,169,22.44,7.26,19.373,4.057,NA,NA,NA,2019-06-03,2019-06-03T16:46:29Z,118,0.3912629286880784,981.1999999999999,0.021999999999999353,0.021999999999999353
0.57,4.071,26.6,26.6,2.45,112.2,0.12,260.7,0.03,169,22.54,7.26,19.352,4.079,NA,NA,NA,2019-06-03,2019-06-03T16:46:30Z,118,0.39337234621665756,981.1999999999999,0.025000000000000355,0.02600000000000069
0.53,4.096,26.4,26.4,2.43,112.3,0.12,260.7,0.04,169,22.8,7.26,19.344,4.105,NA,NA,NA,2019-06-03,2019-06-03T16:46:31Z,118,0.39575394665215025,981.1999999999999,0.0259999999999998,0.028999999999999915
0.53,4.122,26.2,26.2,2.41,112.4,0.12,260.8,0.05,170,22.66,7.25,19.265,4.134,NA,NA,NA,2019-06-03,2019-06-03T16:46:32Z,118,0.398339684267828,981.1999999999999,0.028999999999999915,0.030999999999999694
0.52,4.151,26,26,2.4,112.5,0.12,261,0.05,170,22.79,7.25,19.203,4.165,NA,NA,NA,2019-06-03,2019-06-03T16:46:33Z,118,0.4011295590636908,981.1999999999999,0.0259999999999998,0.014000000000000234
0.52,4.177,25.8,25.8,2.38,112.6,0.12,261.5,0.05,170,22.77,7.25,19.087,4.179,NA,NA,NA,2019-06-03,2019-06-03T16:46:34Z,118,0.40357920522591184,981.0666666666666,0.013000000000000789,0.019999999999999574
0.55,4.19,25.5,25.5,2.36,112.7,0.12,260.8,0.05,170,23.11,7.25,19.05,4.199,NA,NA,NA,2019-06-03,2019-06-03T16:46:35Z,118,0.4048720740337507,981.1999999999999,0.021999999999999353,0.017000000000000348
0.58,4.212,25.3,25.3,2.34,112.8,0.12,260.4,0.03,169,23.43,7.24,19.013,4.216,NA,NA,NA,2019-06-03,2019-06-03T16:46:36Z,118,0.4069814915623299,981.1999999999999,0.015000000000000568,0.02200000000000024
0.63,4.227,25.1,25.1,2.33,112.8,0.12,260.1,0.04,169,23.69,7.24,18.999,4.238,NA,NA,NA,2019-06-03,2019-06-03T16:46:37Z,118,0.40841045182362545,981.1999999999999,0.02400000000000002,0.015999999999999126
0.57,4.259,24.6,24.6,2.28,113,0.12,259.5,0.04,169,22.9,7.24,18.998,4.261,NA,NA,NA,2019-06-03,2019-06-03T16:46:39Z,118,0.4116086009798585,981.1999999999999,0.0129999999999999,0.027000000000000135
0.54,4.272,24.3,24.3,2.26,113.1,0.12,259.1,0.04,168,23.54,7.24,18.97,4.288,NA,NA,NA,2019-06-03,2019-06-03T16:46:40Z,118,0.412833424060969,981.1999999999999,0.03500000000000014,0.027000000000000135
0.52,4.307,24.1,24.1,2.24,113.1,0.12,259.3,0.09,169,23.77,7.24,18.866,4.315,NA,NA,NA,2019-06-03,2019-06-03T16:46:41Z,118,0.41623571039738705,981.1999999999999,0.024999999999999467,0.032999999999999474
0.52,4.332,23.9,23.9,2.22,113.2,0.12,259.4,0.1,169,23.28,7.23,18.8,4.348,NA,NA,NA,2019-06-03,2019-06-03T16:46:42Z,118,0.41861731083287973,981.1999999999999,0.031000000000000583,0.015000000000000568
0.52,4.363,23.7,23.7,2.2,113.3,0.12,259.4,0.07,169,22.98,7.23,18.752,4.363,NA,NA,NA,2019-06-03,2019-06-03T16:46:43Z,118,0.42167936853565596,981.1999999999999,0.017999999999999794,0.030999999999999694
0.54,4.381,23.5,23.5,2.2,113.3,0.12,259.3,0.07,169,24.25,7.23,18.699,4.394,NA,NA,NA,2019-06-03,2019-06-03T16:46:44Z,118,0.42338051170386504,981.3333333333334,0.030999999999999694,0.038000000000000256
0.54,4.412,23.4,23.4,2.18,113.4,0.12,259.3,0.03,169,26.21,7.23,18.558,4.432,NA,NA,NA,2019-06-03,2019-06-03T16:46:45Z,118,0.42644256940664127,981.1999999999999,0.04999999999999982,0.04099999999999948
0.53,4.462,23.1,23.1,2.17,113.5,0.12,259.2,0.03,168,27.42,7.23,18.457,4.473,NA,NA,NA,2019-06-03,2019-06-03T16:46:46Z,118,0.4312057702776266,981.1999999999999,0.03699999999999992,0.03500000000000014
0.56,4.499,23,23,2.16,113.7,0.12,259.3,0.06,169,27.83,7.22,18.273,4.508,NA,NA,NA,2019-06-03,2019-06-03T16:46:47Z,118,0.4348121937942297,981.1999999999999,0.020000000000000462,0.0129999999999999
0.51,4.526,22,22,2.07,114,0.12,258.9,0.1,168,27.47,7.22,18.156,4.524,NA,NA,NA,2019-06-03,2019-06-03T16:46:50Z,118,0.4374659771366358,981.1999999999999,0.009999999999999787,0.04900000000000038
0.55,4.536,21.4,21.4,2.02,114.1,0.12,258.8,0.09,168,30.89,7.21,18.057,4.573,NA,NA,NA,2019-06-03,2019-06-03T16:46:51Z,118,0.43841861731083287,981.1999999999999,0.11500000000000021,0.11899999999999977
0.55,4.651,20.6,20.6,1.95,114.4,0.12,258.5,0.11,168,32.8,7.21,17.788,4.692,NA,NA,NA,2019-06-03,2019-06-03T16:46:52Z,118,0.4495100707675558,981.1999999999999,0.10000000000000053,0.07500000000000018
0.54,4.751,19.8,19.8,1.89,114.5,0.12,258.7,0.11,168,32.82,7.21,17.534,4.767,NA,NA,NA,2019-06-03,2019-06-03T16:46:53Z,118,0.4592406096897115,981.1999999999999,0.04299999999999926,0.043999999999999595
0.57,4.794,19.1,19.1,1.83,114.7,0.12,258.7,0.08,168,35.55,7.2,17.432,4.811,NA,NA,NA,2019-06-03,2019-06-03T16:46:54Z,118,0.46339139902014154,981.1999999999999,0.07100000000000062,0.097999999999999865
0.6,4.865,18.1,18.1,1.73,115,0.12,258.5,0.07,168,36.21,7.2,17.348,4.909,NA,NA,NA,2019-06-03,2019-06-03T16:46:55Z,118,0.470264017419706,981.1999999999999,0.09699999999999953,0.06500000000000039
0.56,4.962,17.2,17.2,1.65,115.2,0.12,258.5,0.07,168,36.65,7.2,17.199,4.974,NA,NA,NA,2019-06-03,2019-06-03T16:46:56Z,118,0.4797223734349483,981.1999999999999,0.041999999999999815,0.051000000000000156
0.53,5.004,16.1,16.1,1.55,115.4,0.12,257.9,0.09,168,37.94,7.19,17.137,5.025,NA,NA,NA,2019-06-03,2019-06-03T16:46:57Z,118,0.4837370713119216,981.1999999999999,0.04100000000000037,0.019999999999999574
0.55,5.041,14.3,14.3,1.38,115.8,0.12,257.4,0.09,167,38.32,7.18,16.97,5.042,NA,NA,NA,2019-06-03,2019-06-03T16:47:00Z,118,0.4873434948285248,981.1999999999999,0.011999999999999567,0.027000000000000135
0.54,5.053,14,14,1.35,115.9,0.12,257.2,0.11,167,38.14,7.18,16.961,5.069,NA,NA,NA,2019-06-03,2019-06-03T16:47:01Z,118,0.4885002721829069,981.0666666666666,0.040000000000000036,0.057000000000000384
0.57,5.093,13.7,13.7,1.32,116.1,0.12,256.8,0.13,167,38.74,7.18,16.903,5.126,NA,NA,NA,2019-06-03,2019-06-03T16:47:02Z,118,0.4923788786064235,981.1999999999999,0.07699999999999996,0.054999999999999716
0.54,5.17,13.3,13.3,1.29,116.2,0.12,256.1,0.14,166,38.68,7.18,16.829,5.181,NA,NA,NA,2019-06-03,2019-06-03T16:47:03Z,118,0.49972781709308656,981.1999999999999,0.041999999999999815,0.03599999999999959
0.52,5.212,13.2,13.2,1.28,116.4,0.12,255.9,0.11,166,36.49,7.17,16.789,5.217,NA,NA,NA,2019-06-03,2019-06-03T16:47:04Z,118,0.5038105606967882,981.0666666666666,0.0129999999999999,0.015000000000000568
0.52,5.225,13,13,1.26,116.5,0.12,256,0.07,166,35.87,7.17,16.777,5.232,NA,NA,NA,2019-06-03,2019-06-03T16:47:05Z,118,0.5051034295046272,981.1999999999999,0.019000000000000128,0.022999999999999687
0.51,5.244,12.9,12.9,1.25,116.6,0.12,256.1,0.06,166,36.06,7.17,16.704,5.255,NA,NA,NA,2019-06-03,2019-06-03T16:47:06Z,118,0.5069406641262929,981.1999999999999,0.028999999999999915,0.027000000000000135
0.51,5.273,12.7,12.7,1.24,116.7,0.12,256.4,0.1,167,35.73,7.17,16.509,5.282,NA,NA,NA,2019-06-03,2019-06-03T16:47:07Z,118,0.5097305389221557,981.1999999999999,0.02200000000000024,0.03399999999999981
0.52,5.295,12.7,12.7,1.24,116.8,0.12,256.1,0.12,166,35.39,7.17,16.388,5.316,NA,NA,NA,2019-06-03,2019-06-03T16:47:08Z,118,0.5119080021774632,981.1999999999999,0.0730000000000004,0.0680000000000005
0.51,5.368,12.8,12.8,1.26,116.8,0.12,254.1,0.09,165,35.49,7.17,16.236,5.384,NA,NA,NA,2019-06-03,2019-06-03T16:47:09Z,118,0.5189847577572129,981.1999999999999,0.040000000000000036,0.030999999999999694
0.52,5.408,13.1,13.1,1.28,116.8,0.12,252.9,0.05,164,34.92,7.17,16.188,5.415,NA,NA,NA,2019-06-03,2019-06-03T16:47:10Z,118,0.5228633641807294,981.1999999999999,0.022999999999999687,0.03000000000000025
0.53,5.431,13.4,13.4,1.32,116.9,0.12,252.7,0.07,164,34.55,7.17,16.208,5.445,NA,NA,NA,2019-06-03,2019-06-03T16:47:11Z,118,0.5250408274360371,981.1999999999999,0.030999999999999694,0.019000000000000128
0.53,5.465,14,14,1.38,117,0.12,252.8,0.09,164,33.66,7.17,16.133,5.464,NA,NA,NA,2019-06-03,2019-06-03T16:47:13Z,118,0.5283750680457268,981.0666666666666,0.009000000000000341,0.024999999999999467
0.54,5.474,14.2,14.2,1.4,117.1,0.12,251.9,0.08,164,34.37,7.17,16.129,5.489,NA,NA,NA,2019-06-03,2019-06-03T16:47:14Z,118,0.5292596624931954,981.1999999999999,0.04699999999999971,0.04999999999999982
0.55,5.521,14.5,14.5,1.43,117.2,0.12,250.8,0.08,163,35.66,7.16,15.97,5.539,NA,NA,NA,2019-06-03,2019-06-03T16:47:15Z,118,0.5337506804572674,981.1999999999999,0.04699999999999971,0.04300000000000015
0.54,5.568,14.7,14.7,1.45,117.2,0.12,249.1,0.1,162,35.67,7.16,15.901,5.582,NA,NA,NA,2019-06-03,2019-06-03T16:47:16Z,118,0.5383777898747959,981.1999999999999,0.03500000000000014,0.02400000000000002
0.55,5.603,15,15,1.48,117.3,0.12,249,0.11,162,35.9,7.16,15.907,5.606,NA,NA,NA,2019-06-03,2019-06-03T16:47:17Z,118,0.5417800762112139,981.1999999999999,0.016000000000000014,0.025000000000000355
0.53,5.619,15.1,15.1,1.49,117.4,0.12,249.1,0.09,162,36.41,7.16,15.91,5.631,NA,NA,NA,2019-06-03,2019-06-03T16:47:18Z,118,0.5432770821992379,981.1999999999999,0.02800000000000047,0.027000000000000135
0.53,5.647,15.3,15.3,1.51,117.5,0.12,248.8,0.09,162,36.97,7.16,15.874,5.658,NA,NA,NA,2019-06-03,2019-06-03T16:47:19Z,118,0.5460669569951008,981.1999999999999,0.024999999999999467,0.022999999999999687
0.53,5.672,15.4,15.4,1.52,117.6,0.12,248.8,0.1,162,36.69,7.15,15.854,5.681,NA,NA,NA,2019-06-03,2019-06-03T16:47:20Z,118,0.5484485574305934,981.1999999999999,0.04800000000000004,0.08499999999999996
0.52,5.72,15.4,15.4,1.53,117.8,0.12,248.2,0.15,161,37.3,7.15,15.849,5.766,NA,NA,NA,2019-06-03,2019-06-03T16:47:21Z,118,0.5530756668481219,981.1999999999999,0.08000000000000007,0.03300000000000036
0.52,5.8,15.5,15.5,1.53,117.9,0.12,247.6,0.12,161,39.2,7.15,15.758,5.799,NA,NA,NA,2019-06-03,2019-06-03T16:47:22Z,118,0.5608328796951552,981.1999999999999,0.01100000000000012,0.017999999999999794
0.52,5.811,15.4,15.4,1.53,118,0.12,247.4,0.05,161,39.39,7.15,15.735,5.817,NA,NA,NA,2019-06-03,2019-06-03T16:47:23Z,118,0.5618535655960806,981.1999999999999,0.0389999999999997,0.06700000000000017
0.55,5.85,15.3,15.3,1.52,118.2,0.12,247.1,0.07,161,41.08,7.14,15.727,5.884,NA,NA,NA,2019-06-03,2019-06-03T16:47:24Z,118,0.5656641262928689,981.1999999999999,0.06600000000000072,0.02999999999999936
0.57,5.916,15.2,15.2,1.51,118.5,0.12,247.1,0.1,161,41.79,7.14,15.695,5.914,NA,NA,NA,2019-06-03,2019-06-03T16:47:25Z,118,0.5720604246053348,981.3333333333334,0.008000000000000007,0.0129999999999999
0.57,5.921,12.9,12.9,1.28,120.7,0.12,247.8,0.15,161,46.87,7.1,15.636,5.924,NA,NA,NA,2019-06-03,2019-06-03T16:47:38Z,118,0.572468698965705,981.1999999999999,0.0129999999999999,0.01699999999999946
0.96,5.929,12.5,12.5,1.24,121.1,0.12,247.8,0.26,161,58.88,7.09,15.601,5.928,NA,NA,NA,2019-06-03,2019-06-03T16:47:41Z,118,0.5732852476864454,981.0666666666666,0.004999999999999893,0.014000000000000234
1.8,5.937,11.5,11.5,1.14,121.2,0.12,248.3,1.66,161,262.1,7.07,15.567,5.939,NA,NA,NA,2019-06-03,2019-06-03T16:47:45Z,118,0.5740337506804573,981.1999999999999,0.016000000000000014,0.03000000000000025
1.07,5.953,11.3,11.3,1.12,121.1,0.12,248.3,0.81,161,414.01,7.06,15.555,5.969,NA,NA,NA,2019-06-03,2019-06-03T16:47:46Z,118,0.5755988023952096,981.1999999999999,0.03599999999999959,0.030999999999999694
0.59,5.989,11.1,11.1,1.11,121,0.12,248.4,0.63,161,482.05,7.06,15.551,6,NA,NA,NA,2019-06-03,2019-06-03T16:47:47Z,118,0.5791371801850843,981.1999999999999,0.020999999999999908,0.01100000000000012
0.67,6.01,10.9,10.9,1.09,120.6,0.12,248.6,0.67,162,505.89,7.06,15.512,6.011,NA,NA,NA,2019-06-03,2019-06-03T16:47:48Z,118,0.5811785519869352,981.0666666666666,0.017000000000000348,0.0259999999999998
2.1,6.043,10.7,10.7,1.07,119.1,0.12,249.2,1.4,162,1429.73,7.04,15.438,6.042,NA,NA,NA,2019-06-03,2019-06-03T16:47:50Z,118,0.5843086554164398,981.1999999999999,0.006999999999999673,0.016000000000000014
1.8,6.05,10.5,10.5,1.05,118.3,0.12,249.2,1.7,162,3653.46,7.04,15.435,6.058,NA,NA,NA,2019-06-03,2019-06-03T16:47:51Z,118,0.5849891126837234,981.1999999999999,0.017999999999999794,0.017999999999999794
