chlorophyll_RFU,depth_m,doSaturation_percent,ODO...local,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,TSS.mg.L,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
1.06,0.004,63.3,63.3,5.39,155.1,0.14,303.3,0.17,197,32.9,0,7.54,23.359,0.008,NA,NA,NA,2019-06-03,2019-06-03T11:14:13Z,121,4.082743603701688e-4,991.7333333333332,0.034,0.047
1.06,0.038,63.3,63.3,5.39,155.2,0.14,303.3,0.17,197,32.22,0,7.54,23.369,0.055,NA,NA,NA,2019-06-03,2019-06-03T11:14:14Z,121,0.0036744692433315186,991.7333333333332,0.045000000000000005,0.04699999999999999
1.23,0.162,63.3,63.3,5.39,155.2,0.14,303.3,0.1,197,34.36,0,7.54,23.37,0.177,NA,NA,NA,2019-06-03,2019-06-03T11:14:18Z,121,0.015650517147523135,991.7333333333332,0.057999999999999996,0.07700000000000001
1.28,0.22,63.3,63.3,5.39,155.2,0.14,303.4,0.18,197,33.65,0,7.54,23.361,0.254,NA,NA,NA,2019-06-03,2019-06-03T11:14:19Z,121,0.021230266739248774,991.6,0.060000000000000026,0.03199999999999997
1.31,0.28,63.3,63.3,5.39,155.2,0.14,303.6,0.2,197,32.8,0,7.54,23.353,0.286,NA,NA,NA,2019-06-03,2019-06-03T11:14:20Z,121,0.027082199237887863,991.7333333333332,0.023999999999999966,0.03200000000000003
1.31,0.304,63.2,63.2,5.38,155.2,0.14,303.5,0.2,197,33.42,0,7.54,23.351,0.318,NA,NA,NA,2019-06-03,2019-06-03T11:14:21Z,121,0.02932770821992379,991.7333333333332,0.09300000000000003,0.122
1.32,0.397,63.2,63.2,5.38,155.3,0.14,303.4,0.21,197,34.7,0,7.54,23.346,0.44,NA,NA,NA,2019-06-03,2019-06-03T11:14:22Z,121,0.038309744148067496,991.7333333333332,0.07899999999999996,0.03699999999999998
1.35,0.476,63.1,63.1,5.38,155.3,0.14,303.5,0.19,197,34.68,0,7.54,23.331,0.477,NA,NA,NA,2019-06-03,2019-06-03T11:14:23Z,121,0.04593086554164399,991.7333333333332,0.026000000000000023,0.03300000000000003
1.32,0.539,62.8,62.8,5.35,155.4,0.14,303.5,0.18,197,34.66,0,7.54,23.305,0.55,NA,NA,NA,2019-06-03,2019-06-03T11:14:27Z,121,0.052054980947196516,991.6,0.027999999999999914,0.03599999999999992
1.32,0.62,62.6,62.6,5.34,155.5,0.14,303.4,0.15,197,33.85,0,7.54,23.312,0.619,NA,NA,NA,2019-06-03,2019-06-03T11:14:30Z,121,0.059880239520958084,991.6,0.016000000000000014,0.030000000000000027
