chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
1.5,0.001,87,6.82,99.4,0.09,185.9,0.51,121,20.17,8.04,27.883,0,NA,NA,NA,2019-07-09,2019-07-09T09:35:28Z,185,6.804572672836147e-5,978.6666666666666
1.57,0.049,87.2,6.83,99.9,0.09,187.2,0.44,122,21.14,8.03,27.922,0.077,NA,NA,NA,2019-07-09,2019-07-09T09:35:34Z,185,0.004695155144256941,978.5333333333333
1.58,0.122,87.1,6.82,99.7,0.09,187,0.51,122,21.27,8.04,27.924,0.146,NA,NA,NA,2019-07-09,2019-07-09T09:35:35Z,185,0.011771910724006532,978.6666666666666
1.64,0.195,87,6.82,99.6,0.09,185.9,0.51,121,21.12,8.04,27.927,0.22,NA,NA,NA,2019-07-09,2019-07-09T09:35:36Z,185,0.018780620577027764,978.6666666666666
1.67,0.257,87,6.81,99.6,0.09,185.8,0.5,121,20.93,8.04,27.932,0.273,NA,NA,NA,2019-07-09,2019-07-09T09:35:37Z,185,0.02476864452912357,978.6666666666666
1.64,0.312,86.9,6.8,99.6,0.09,186,0.49,121,20.44,8.04,27.927,0.334,NA,NA,NA,2019-07-09,2019-07-09T09:35:40Z,185,0.030076211213935767,978.6666666666666
1.65,0.353,86.7,6.8,99.7,0.09,185.8,0.4,121,20.52,8.04,27.928,0.389,NA,NA,NA,2019-07-09,2019-07-09T09:35:41Z,185,0.03402286336418073,978.5333333333333
1.64,0.454,86.7,6.79,99.7,0.09,185.8,0.36,121,20.66,8.04,27.927,0.498,NA,NA,NA,2019-07-09,2019-07-09T09:35:42Z,185,0.04375340228633642,978.5333333333333
1.64,0.565,86.7,6.79,99.8,0.09,185.9,0.44,121,20.32,8.04,27.927,0.599,NA,NA,NA,2019-07-09,2019-07-09T09:35:43Z,185,0.05450462710941753,978.5333333333333
1.65,0.652,86.6,6.79,99.7,0.09,185.9,0.48,121,20.32,8.04,27.926,0.665,NA,NA,NA,2019-07-09,2019-07-09T09:35:44Z,185,0.062874251497006,978.6666666666666
1.72,0.694,86.6,6.78,99.7,0.09,185.9,0.48,121,20.85,8.04,27.923,0.714,NA,NA,NA,2019-07-09,2019-07-09T09:35:45Z,185,0.06688894937397931,978.5333333333333
1.75,0.743,86.5,6.78,99.6,0.09,185.9,0.5,121,21.48,8.04,27.921,0.756,NA,NA,NA,2019-07-09,2019-07-09T09:35:46Z,185,0.07165215024496462,978.6666666666666
1.7,0.779,86.5,6.78,99.6,0.09,186,0.44,121,21.11,8.04,27.921,0.787,NA,NA,NA,2019-07-09,2019-07-09T09:35:47Z,185,0.0750544365813827,978.4
1.65,0.804,86.5,6.78,99.6,0.09,185.8,0.41,121,20.45,8.04,27.921,0.812,NA,NA,NA,2019-07-09,2019-07-09T09:35:48Z,185,0.07750408274360371,978.6666666666666
1.62,0.831,86.4,6.77,99.6,0.09,185.6,0.4,121,20.55,8.04,27.921,0.844,NA,NA,NA,2019-07-09,2019-07-09T09:35:49Z,185,0.08015786608600979,978.6666666666666
