MULakeNumber,Lake name,Date,Time,Parameter,SecchiDepth_m,Comments
169,Gopher,5/31/2023,2:24:00 PM,Secchi,0.45,
169,Gopher,5/31/2023,2:24:00 PM,Secchi ,0.37,
183,Hazel Hill,5/31/2023,3:54:00 PM,Secchi,1.45,
183,Hazel Hill,5/31/2023,3:54:00 PM,Secchi ,1.3,
165,Jackrabbit,5/31/2023,1:35:00 PM,Secchi,0.45,
165,Jackrabbit,5/31/2023,1:35:00 PM,Secchi ,0.35,
70,North,5/31/2023,10:36:00 AM,Secchi,0.75,Time not written of field sheet. Time taken from YSI profile.
70,North,5/31/2023,10:36:00 AM,Secchi ,0.7,Time not written of field sheet. Time taken from YSI profile.
120,Winnebago,5/31/2023,12:15:00 PM,Secchi,1.45,
120,Winnebago,5/31/2023,12:15:00 PM,Secchi ,1.3,
150,Blind Pony,6/1/2023,7:30:00 AM,Secchi,2.2,
150,Blind Pony,6/1/2023,7:30:00 AM,Secchi ,2.1,
87,Brookfield,6/1/2023,3:31:00 PM,Secchi,1.77,
87,Brookfield,6/1/2023,3:31:00 PM,Secchi ,1.66,
121,Higginsville,6/1/2023,9:13:00 AM,Secchi,0.89,
121,Higginsville,6/1/2023,9:13:00 AM,Secchi ,0.72,
45,Nehai Tonkayea ,6/1/2023,5:00:00 PM,Secchi,2.4,
45,Nehai Tonkayea ,6/1/2023,5:00:00 PM,Secchi ,2.19,
74,Watkins Mill,6/1/2023,11:18:00 AM,Secchi,1.53,
74,Watkins Mill,6/1/2023,11:18:00 AM,Secchi ,1.38,
455,West Arrowhead,6/1/2023,1:05:00 PM,Secchi,0.62,
455,West Arrowhead,6/1/2023,1:05:00 PM,Secchi ,0.53,
440,Crow Pond ,6/2/2023,10:29:00 AM,Secchi,1.1,
440,Crow Pond ,6/2/2023,10:29:00 AM,Secchi ,1.05,
3,Bowling Green ,6/5/2023,10:42:00 AM,Secchi,1.45,
3,Bowling Green ,6/5/2023,10:42:00 AM,Secchi ,1.3,
454,Cedar Hill Lake 1,6/5/2023,3:45:00 PM,Secchi,1.16,
454,Cedar Hill Lake 1,6/5/2023,3:45:00 PM,Secchi ,1,
149,Lake of the Ozarks ,6/5/2023,12:36:00 PM,Secchi,2.2,
149,Lake of the Ozarks ,6/5/2023,12:36:00 PM,Secchi ,2.1,
5,Lincoln,6/5/2023,12:26:00 PM,Secchi,2.3,
5,Lincoln,6/5/2023,12:26:00 PM,Secchi ,2.2,
197,Prarie,6/5/2023,2:06:00 PM,Secchi,0.96,
197,Prarie,6/5/2023,2:06:00 PM,Secchi ,0.83,
14,Tishomingo,6/5/2023,5:10:00 PM,Secchi,3.5,
14,Tishomingo,6/5/2023,5:10:00 PM,Secchi ,3.3,
18,Capri,6/6/2023,10:30:00 AM,Secchi,4.04,
18,Capri,6/6/2023,10:30:00 AM,Secchi ,3.97,
186,Carl DiSalvo ,6/6/2023,12:52:00 PM,Secchi,0.4,
186,Carl DiSalvo ,6/6/2023,12:52:00 PM,Secchi ,0.35,
36,Clearwater,6/6/2023,3:16:00 PM,Secchi,1.2,
36,Clearwater,6/6/2023,3:16:00 PM,Secchi ,1.17,
21,Goose Creek ,6/6/2023,8:12:00 AM,Secchi,4.3,
