"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","C.uS.cm","pH","ORP.mV","FNU","BGA.PC.RFU","BGA.PC.ug.L","BGA.PC.c.mL","Chl.RFU","Chl.ug.L","PAR1.ppfd","PAR2.ppfd","DEP.m"
"4","8/15/2019","9:01:27",28.734,741.2,111.4,8.6,167.7,179.7,8.83,144.5,5.48,2.434,2.46,NA,1.801,7.22,NA,NA,0.082
"5","8/15/2019","9:01:28",28.733,741.2,111.4,8.61,167.8,179.7,8.82,144.7,5.58,2.438,2.47,NA,1.754,7.03,NA,NA,0.125
"6","8/15/2019","9:01:29",28.734,741.2,111.5,8.61,167.7,179.7,8.82,144.8,5.41,2.567,2.6,NA,1.813,7.27,NA,NA,0.187
"7","8/15/2019","9:01:30",28.733,741.2,111.5,8.62,167.7,179.7,8.82,144.6,5.27,2.558,2.59,NA,1.922,7.72,NA,NA,0.195
"8","8/15/2019","9:01:31",28.732,741.2,111.7,8.63,167.7,179.7,8.82,144.5,5.34,2.582,2.61,NA,1.95,7.83,NA,NA,0.229
"9","8/15/2019","9:01:32",28.73,741.2,111.8,8.63,167.7,179.6,8.82,144.3,5.35,2.57,2.6,NA,2.003,8.05,NA,NA,0.265
"10","8/15/2019","9:01:33",28.726,741.2,111.8,8.64,167.7,179.6,8.82,144.1,5.37,2.56,2.59,NA,2.112,8.49,NA,NA,0.302
"11","8/15/2019","9:01:34",28.726,741.2,112,8.65,167.6,179.6,8.82,143.9,5.42,2.605,2.64,NA,2.107,8.47,NA,NA,0.347
"12","8/15/2019","9:01:35",28.726,741.2,112.1,8.66,167.6,179.5,8.83,143.7,5.36,2.649,2.68,NA,2.11,8.49,NA,NA,0.39
"13","8/15/2019","9:01:36",28.725,741.2,112.1,8.66,167.6,179.5,8.83,143.4,5.34,2.627,2.66,NA,2.163,8.7,NA,NA,0.459
"14","8/15/2019","9:01:37",28.724,741.2,112.2,8.67,167.6,179.5,8.83,143.3,5.28,2.593,2.62,NA,2.218,8.92,NA,NA,0.522
"15","8/15/2019","9:01:38",28.723,741.2,112.2,8.66,167.7,179.6,8.84,142.8,5.37,2.59,2.62,NA,2.216,8.91,NA,NA,0.557
"16","8/15/2019","9:01:39",28.721,741.2,112.3,8.67,167.7,179.6,8.84,142.4,5.49,2.599,2.63,NA,2.198,8.84,NA,NA,0.565
"17","8/15/2019","9:01:40",28.72,741.2,112.3,8.68,167.7,179.6,8.85,142.1,5.43,2.595,2.63,NA,2.227,8.96,NA,NA,0.588
"18","8/15/2019","9:01:41",28.721,741.2,112.2,8.67,167.6,179.6,8.85,142.2,5.32,2.551,2.58,NA,2.233,8.98,NA,NA,0.612
"19","8/15/2019","9:01:42",28.723,741.2,112.2,8.67,167.7,179.6,8.85,142,5.31,2.594,2.63,NA,2.254,9.07,NA,NA,0.639
"20","8/15/2019","9:01:43",28.724,741.2,112.2,8.67,167.7,179.6,8.86,141.3,5.45,2.638,2.67,NA,2.231,8.98,NA,NA,0.663
"21","8/15/2019","9:01:44",28.723,741.2,112.2,8.67,167.6,179.5,8.87,141.2,5.42,2.613,2.64,NA,2.265,9.12,NA,NA,0.687
"22","8/15/2019","9:01:45",28.722,741.2,112.2,8.67,167.6,179.5,8.88,140.3,5.21,2.64,2.67,NA,2.317,9.33,NA,NA,0.705
"23","8/15/2019","9:01:46",28.721,741.2,112.2,8.67,167.6,179.5,8.88,139.7,5.37,2.662,2.69,NA,2.268,9.13,NA,NA,0.733
"24","8/15/2019","9:01:47",28.719,741.2,112.2,8.67,167.6,179.6,8.9,139,5.6,2.67,2.7,NA,2.247,9.04,NA,NA,0.747
"25","8/15/2019","9:01:48",28.721,741.2,112.2,8.67,167.6,179.5,8.91,138,5.54,2.675,2.71,NA,2.216,8.92,NA,NA,0.766
"26","8/15/2019","9:01:49",28.722,741.2,112.2,8.67,167.6,179.5,8.92,137.2,5.45,2.627,2.66,NA,2.242,9.02,NA,NA,0.779
"27","8/15/2019","9:01:50",28.721,741.2,112.2,8.67,167.6,179.5,8.92,136.9,5.45,2.607,2.64,NA,2.273,9.15,NA,NA,0.796
"28","8/15/2019","9:01:51",28.721,741.1,112.2,8.67,167.6,179.6,8.92,137.1,5.54,2.531,2.56,NA,2.271,9.14,NA,NA,0.807
"29","8/15/2019","9:01:52",28.721,741.1,112.2,8.67,167.7,179.6,8.91,137.1,5.54,2.507,2.54,NA,2.232,8.98,NA,NA,0.827
"30","8/15/2019","9:01:53",28.722,741.2,112.2,8.67,167.6,179.5,8.91,137.1,5.4,2.526,2.56,NA,2.198,8.84,NA,NA,0.836
"31","8/15/2019","9:01:54",28.721,741.2,112.1,8.66,167.7,179.6,8.91,137.3,5.47,2.556,2.59,NA,2.193,8.82,NA,NA,0.859
"32","8/15/2019","9:01:55",28.72,741.2,112.1,8.67,167.7,179.6,8.9,137.9,5.52,2.509,2.54,NA,2.236,9,NA,NA,0.868
"33","8/15/2019","9:01:56",28.721,741.2,112.1,8.66,167.6,179.5,8.9,137.5,5.4,2.489,2.52,NA,2.284,9.19,NA,NA,0.884
"34","8/15/2019","9:01:57",28.72,741.2,112.1,8.66,167.6,179.6,8.91,136.9,5.21,2.448,2.48,NA,2.213,8.9,NA,NA,0.888
