Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
6/12/2019,13:18:01,23.492,745.5,99.2,8.43,2.8,2.7,7.19,313.5,81.4,0.584,0.57,,0.131,0.42,,,0.006
6/12/2019,13:18:02,23.473,745.6,99.2,8.43,2.7,2.7,7.19,313.4,81.27,0.584,0.57,,0.121,0.38,,,0.005
6/12/2019,13:18:03,23.457,745.5,99.2,8.43,2.7,2.6,7.19,313.1,81.26,0.583,0.57,,0.128,0.41,,,0.005
6/12/2019,13:18:04,23.444,745.7,99.2,8.44,2.7,2.6,7.19,313,76.95,0.599,0.59,,0.136,0.44,,,0.005
6/12/2019,13:18:05,25.487,745.6,100.9,8.28,11.8,11.9,8.25,296.7,3.41,0.589,0.58,,0.196,0.69,,,0.005
6/12/2019,13:18:06,25.55,745.6,101.3,8.28,266.5,269.3,8.38,297.6,0.52,0.582,0.57,,0.302,1.12,,,0.005
6/12/2019,13:18:07,25.559,745.6,101.9,8.33,267.7,270.6,8.43,297.4,0.72,0.578,0.57,,0.426,1.62,,,0.006
6/12/2019,13:18:08,25.56,745.6,102,8.34,268.2,271.1,8.44,296.7,0.44,0.576,0.57,,0.562,2.18,,,0.009
6/12/2019,13:18:09,25.551,745.6,102.4,8.37,268.4,271.2,8.46,295.9,0.38,0.575,0.56,,0.714,2.8,,,0.012
6/12/2019,13:18:10,25.549,745.5,102.8,8.41,268.3,271.2,8.48,294.9,0.47,0.589,0.58,,0.866,3.41,,,0.018
6/12/2019,13:18:11,25.55,745.6,103.1,8.43,268.3,271.2,8.49,294,0.53,0.582,0.57,,1.944,7.81,,,0.027
6/12/2019,13:18:12,25.548,745.5,103.4,8.46,268.3,271.1,8.5,293.4,0.59,0.598,0.59,,2.611,10.53,,,0.037
6/12/2019,13:18:13,25.54,745.5,103.7,8.47,268.3,271.1,8.5,292.9,0.63,0.613,0.6,,2.473,9.96,,,0.049
6/12/2019,13:18:14,25.534,745.4,103.9,8.5,268.3,271,8.51,292.3,0.66,0.626,0.62,,2.774,11.19,,,0.065
6/12/2019,13:18:15,25.528,745.6,104.1,8.52,268.2,271,8.52,291.8,0.67,0.649,0.64,,3.438,13.89,,,0.872
6/12/2019,13:18:16,25.521,745.5,104.3,8.53,268.2,270.9,8.52,291.3,0.71,0.672,0.66,,3.763,15.22,,,0.894
6/12/2019,13:18:17,25.515,745.6,104.6,8.55,268.2,270.8,8.53,290.9,0.75,0.696,0.69,,4.623,18.72,,,0.972
6/12/2019,13:18:18,25.508,745.5,104.8,8.57,268.1,270.7,8.53,290.5,0.79,0.721,0.71,,4.286,17.35,,,1.01
6/12/2019,13:18:19,25.502,745.6,105,8.59,268.1,270.7,8.54,290.2,0.84,0.759,0.75,,4.304,17.43,,,1.068
6/12/2019,13:18:20,25.495,745.5,105.2,8.61,268.1,270.6,8.54,289.9,0.86,0.797,0.79,,4.641,18.8,,,1.118
6/12/2019,13:18:21,25.488,745.5,105.5,8.63,268.1,270.6,8.55,289.6,0.86,0.836,0.83,,3.575,14.46,,,1.171
6/12/2019,13:18:22,25.476,745.6,105.9,8.67,268,270.5,8.55,289.3,0.9,0.871,0.87,,4.129,16.71,,,1.222
6/12/2019,13:18:23,25.465,745.5,106.3,8.7,268,270.4,8.55,289.1,0.93,0.881,0.88,,4.129,16.71,,,1.264
6/12/2019,13:18:24,25.451,745.4,106.6,8.73,268,270.3,8.56,288.9,0.97,0.906,0.9,,4.055,16.41,,,1.295
6/12/2019,13:18:25,25.439,745.5,106.9,8.76,268,270.2,8.56,288.7,0.99,0.93,0.93,,3.13,12.64,,,1.329
6/12/2019,13:18:26,25.428,745.5,107.3,8.79,268,270.2,8.56,288.5,1.01,0.95,0.95,,3.173,12.81,,,1.359
