Date,Time,Site,Unit ID,User ID,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
5/17/2019,11:15:03,cow,4,,23.225,738.3,100.3,8.57,138.5,7.23,118.2,4.21,0.105,0.13,0.354,1.34,0
5/17/2019,11:15:04,cow,4,,23.227,738.3,100.6,8.59,138.4,7.26,118.2,4.74,0.046,0.07,0.375,1.42,0
5/17/2019,11:15:05,cow,4,,23.237,738.2,100.8,8.6,138.2,7.32,117.3,4.3,0.076,0.11,0.348,1.31,0
5/17/2019,11:15:06,cow,4,,23.227,738.3,100.9,8.61,138.1,7.4,115.6,4.06,0.118,0.15,0.346,1.31,0
5/17/2019,11:15:07,cow,4,,23.201,738.3,101,8.63,138,7.48,115,3.8,0.122,0.15,0.416,1.59,0.007
5/17/2019,11:15:08,cow,4,,23.194,738.3,101.2,8.64,137.9,7.55,114.3,3.69,0.148,0.18,0.384,1.45,0.008
5/17/2019,11:15:09,cow,4,,23.202,738.2,101.4,8.66,138,7.61,113.2,3.79,0.163,0.19,0.326,1.22,0.004
5/17/2019,11:15:10,cow,4,,23.202,738.2,101.4,8.66,138.1,7.66,112.7,3.77,0.294,0.32,0.413,1.57,0.008
5/17/2019,11:15:11,cow,4,,23.192,738.2,101.5,8.67,139.7,7.71,112.5,3.81,0.245,0.27,0.432,1.65,0.022
5/17/2019,11:15:12,cow,4,,23.162,738.3,101.6,8.68,141.3,7.75,112.9,3.89,0.051,0.08,0.37,1.4,0.035
5/17/2019,11:15:13,cow,4,,23.156,738.3,101.7,8.69,141.4,7.79,112.9,3.88,0.043,0.07,0.432,1.65,0.04
5/17/2019,11:15:14,cow,4,,23.161,738.3,101.8,8.7,141.4,7.82,112.4,3.93,0.125,0.15,0.414,1.58,0.045
5/17/2019,11:15:15,cow,4,,23.148,738.3,101.9,8.71,141.4,7.86,112.1,3.97,0.113,0.14,0.353,1.33,0.081
5/17/2019,11:15:16,cow,4,,23.128,738.3,101.9,8.72,141.3,7.9,111.6,3.88,0.077,0.11,0.357,1.35,0.115
5/17/2019,11:15:17,cow,4,,23.121,738.2,102,8.72,141.2,7.94,111.4,4.45,0.15,0.18,0.396,1.5,0.142
5/17/2019,11:15:18,cow,4,,23.101,738.3,102,8.73,141.1,7.96,111.3,4.21,0.167,0.2,0.389,1.48,0.174
5/17/2019,11:15:19,cow,4,,23.099,738.3,102.1,8.74,141.1,7.99,111.3,4.3,0.096,0.12,0.423,1.61,0.203
5/17/2019,11:15:20,cow,4,,23.107,738.3,102.2,8.75,141.1,8.02,111.1,4.17,0.062,0.09,0.515,1.98,0.233
5/17/2019,11:15:21,cow,4,,23.101,738.3,102.3,8.75,141.1,8.04,110.7,3.73,0.096,0.12,0.503,1.93,0.254
5/17/2019,11:15:22,cow,4,,23.089,738.3,102.2,8.75,141.1,8.06,110.4,3.83,0.081,0.11,0.469,1.8,0.28
5/17/2019,11:15:23,cow,4,,23.089,738.2,102.2,8.75,141.1,8.07,110.2,3.99,0.183,0.21,0.524,2.02,0.292
5/17/2019,11:15:24,cow,4,,23.089,738.3,102.3,8.76,141,8.09,110,4.13,0.136,0.16,0.545,2.1,0.311
5/17/2019,11:15:25,cow,4,,23.079,738.1,102.4,8.76,140.9,8.11,110.1,3.96,0.009,0.04,0.519,2,0.328
5/17/2019,11:15:26,cow,4,,23.074,738.3,102.5,8.77,140.9,8.13,110.2,3.84,0.123,0.15,0.519,2,0.358
5/17/2019,11:15:27,cow,4,,23.075,738.3,102.5,8.78,140.9,8.15,109.9,4.27,0.088,0.12,0.495,1.9,0.385
5/17/2019,11:15:28,cow,4,,23.076,738.2,102.5,8.78,140.9,8.16,109.7,4.2,0.064,0.09,0.507,1.95,0.425
5/17/2019,11:15:29,cow,4,,23.069,738.3,102.6,8.78,140.9,8.18,109.6,3.82,0.108,0.14,0.542,2.09,0.455
