Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
6/12/2019,14:01:48,25.426,745.2,107.7,8.83,105.3,106.1,8.71,330.8,0.47,0.712,0.71,,2.36,9.5,,,0
6/12/2019,14:01:49,25.421,745.2,108.3,8.88,105.1,106,8.71,331.2,0.52,0.718,0.71,,2.585,10.42,,,0
6/12/2019,14:01:50,25.441,745.1,109,8.93,132.5,133.7,8.71,331.5,0.5,0.732,0.73,,2.976,12.01,,,0
6/12/2019,14:01:51,25.471,745.1,109.4,8.96,252.9,255.2,8.71,331.6,0.5,0.75,0.74,,2.921,11.79,,,0
6/12/2019,14:01:52,25.495,745.2,109.9,8.99,259.6,262.1,8.7,331.6,0.52,0.763,0.76,,2.771,11.18,,,0
6/12/2019,14:01:53,25.514,745.1,110.3,9.02,262.7,265.3,8.7,331.7,0.5,0.77,0.76,,2.655,10.7,,,0
6/12/2019,14:01:54,25.535,745.1,110.7,9.05,264.3,266.9,8.7,331.8,0.49,0.78,0.78,,2.61,10.52,,,0
6/12/2019,14:01:55,25.552,745.1,111,9.08,265.1,267.8,8.7,331.9,0.47,0.79,0.78,,2.593,10.45,,,0
6/12/2019,14:01:56,25.568,745.1,111.3,9.1,265.4,268.3,8.7,331.9,0.47,0.802,0.8,,2.58,10.4,,,0
6/12/2019,14:01:57,25.576,745.1,111.6,9.12,265.7,268.7,8.7,331.9,0.47,0.815,0.81,,2.605,10.5,,,0
6/12/2019,14:01:58,25.587,745.1,111.9,9.14,266,268.9,8.7,331.9,0.49,0.823,0.82,,2.618,10.55,,,0.005
6/12/2019,14:01:59,25.596,745.1,112.1,9.16,266.2,269.2,8.7,331.9,0.48,0.842,0.84,,2.63,10.6,,,0.014
6/12/2019,14:02:00,25.604,745.1,112.4,9.18,266.3,269.3,8.7,331.9,0.48,0.864,0.86,,2.643,10.65,,,0.025
6/12/2019,14:02:01,25.618,745.1,112.9,9.22,266.3,269.5,8.7,331.8,0.47,0.881,0.88,,2.656,10.71,,,0.038
6/12/2019,14:02:02,25.638,745.1,113.5,9.26,266.3,269.5,8.69,331.8,0.47,0.896,0.89,,2.679,10.8,,,0.049
6/12/2019,14:02:03,25.649,745.1,113.8,9.29,266.3,269.6,8.69,331.8,0.45,0.908,0.91,,2.688,10.84,,,0.059
6/12/2019,14:02:04,25.657,745.1,114.2,9.32,266.5,269.8,8.69,331.7,0.44,0.913,0.91,,2.685,10.83,,,0.069
6/12/2019,14:02:05,25.662,745.1,114.6,9.35,266.9,270.3,8.69,331.7,0.43,0.912,0.91,,2.705,10.91,,,0.081
6/12/2019,14:02:06,25.668,745.1,114.9,9.37,267,270.4,8.69,331.7,0.4,0.917,0.91,,2.704,10.9,,,0.091
6/12/2019,14:02:07,25.67,745.1,115.1,9.39,267.1,270.5,8.69,331.6,0.4,0.92,0.92,,2.96,11.95,,,0.1
6/12/2019,14:02:08,25.669,745.1,115.3,9.41,267.1,270.5,8.69,331.6,0.42,0.928,0.93,,2.836,11.44,,,0.11
6/12/2019,14:02:09,25.668,745.1,115.5,9.42,267.1,270.5,8.69,331.5,0.43,0.932,0.93,,2.63,10.6,,,0.118
6/12/2019,14:02:10,25.669,745.1,115.7,9.44,267.1,270.5,8.69,331.5,0.44,0.931,0.93,,2.801,11.3,,,0.125
6/12/2019,14:02:11,25.668,745.1,115.8,9.45,267.1,270.5,8.69,331.5,0.44,0.933,0.93,,2.801,11.3,,,0.134
6/12/2019,14:02:12,25.667,745.1,115.9,9.46,267.1,270.5,8.69,331.4,0.46,0.939,0.94,,2.809,11.33,,,0.141
