"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","C.uS.cm","pH","ORP.mV","FNU","BGA.PC.RFU","BGA.PC.ug.L","BGA.PC.c.mL","Chl.RFU","Chl.ug.L","PAR1.ppfd","PAR2.ppfd","DEP.m"
"4","10/16/2019","15:01:08",17.902,743.1,94.5,8.96,177.6,153.5,14.51,231.7,6.52,0.988,0.99,NA,1.413,5.64,NA,NA,0
"5","10/16/2019","15:01:09",17.902,743,94.5,8.96,177.6,153.5,14.5,231.9,6.41,0.995,0.99,NA,1.45,5.79,NA,NA,0.017
"6","10/16/2019","15:01:10",17.902,743,94.6,8.97,177.6,153.5,14.5,232.1,6.29,0.996,1,NA,1.447,5.78,NA,NA,0.066
"7","10/16/2019","15:01:11",17.901,743.1,94.6,8.97,177.6,153.5,14.5,232.4,6.43,1.028,1.03,NA,1.453,5.81,NA,NA,0.098
"8","10/16/2019","15:01:12",17.901,743.1,94.5,8.96,177.6,153.5,14.49,232.7,6.81,1.034,1.03,NA,1.523,6.09,NA,NA,0.101
"9","10/16/2019","15:01:13",17.9,743.1,94.6,8.97,177.6,153.5,14.49,232.9,6.62,1.039,1.04,NA,1.558,6.23,NA,NA,0.108
"10","10/16/2019","15:01:14",17.901,743.2,94.6,8.97,177.6,153.5,14.49,233.1,6.45,1.084,1.08,NA,1.536,6.14,NA,NA,0.121
"11","10/16/2019","15:01:15",17.904,743.2,94.6,8.97,177.6,153.5,14.48,233.3,6.54,1.031,1.03,NA,1.541,6.17,NA,NA,0.144
"12","10/16/2019","15:01:16",17.902,743.1,94.6,8.97,177.6,153.5,14.48,233.6,6.13,1.083,1.08,NA,1.582,6.33,NA,NA,0.169
"13","10/16/2019","15:01:17",17.9,743.1,94.6,8.97,177.6,153.5,14.47,233.9,6.12,1.097,1.1,NA,1.648,6.6,NA,NA,0.206
"14","10/16/2019","15:01:18",17.898,743.2,94.6,8.97,177.6,153.5,14.47,234,6.25,1.05,1.05,NA,1.702,6.82,NA,NA,0.235
"15","10/16/2019","15:01:19",17.894,743.1,94.6,8.97,177.6,153.5,14.48,234.2,6.17,1.113,1.11,NA,1.732,6.95,NA,NA,0.26
"16","10/16/2019","15:01:20",17.889,743.2,94.6,8.97,177.6,153.5,14.48,234.5,6.09,1.107,1.11,NA,1.764,7.07,NA,NA,0.283
