Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
6/12/2019,13:29:47,20.385,745.4,92.5,8.35,1.2,1.1,9.91,221.3,0.53,0.14,0.12,,0.099,0.29,,,0
6/12/2019,13:29:48,25.255,745.5,100.1,8.28,6,6,9.19,269.5,0.7,0.179,0.16,,0.217,0.77,,,0
6/12/2019,13:29:49,25.491,745.5,101.2,8.29,248.7,251,8.89,289,0.53,0.212,0.2,,0.42,1.6,,,0
6/12/2019,13:29:50,25.587,745.4,103.5,8.46,263.9,266.8,8.76,297.2,0.42,0.252,0.24,,0.626,2.44,,,0
6/12/2019,13:29:51,25.615,745.5,104.3,8.52,266,269.1,8.73,297.6,0.39,0.285,0.27,,0.831,3.27,,,0
6/12/2019,13:29:52,25.585,745.5,105.2,8.59,266.1,269.1,8.71,299.4,0.38,0.308,0.29,,2.241,9.02,,,0.005
6/12/2019,13:29:53,25.572,745.5,105.9,8.65,266.1,269,8.7,300.7,0.36,0.325,0.31,,2.307,9.29,,,0.01
6/12/2019,13:29:54,25.572,745.5,106.6,8.71,266.2,269.1,8.69,301.2,0.37,0.355,0.34,,3.138,12.67,,,0.016
6/12/2019,13:29:55,25.585,745.4,107.2,8.76,266.5,269.5,8.69,301.4,0.36,0.394,0.38,,3.047,12.3,,,0.03
6/12/2019,13:29:56,25.593,745.5,107.7,8.8,266.6,269.6,8.68,301.5,0.35,0.433,0.42,,3.031,12.24,,,0.047
6/12/2019,13:29:57,25.596,745.5,108.2,8.84,266.7,269.7,8.68,301.5,0.35,0.492,0.48,,3.018,12.18,,,0.062
6/12/2019,13:29:58,25.598,745.4,112,9.15,266.7,269.7,8.68,301.5,0.36,0.551,0.54,,4.152,16.8,,,0.079
6/12/2019,13:29:59,25.6,745.4,112.2,9.17,266.7,269.8,8.68,301.5,0.37,0.62,0.61,,4.632,18.76,,,0.097
6/12/2019,13:30:00,25.599,745.4,112.9,9.22,266.7,269.8,8.68,301.6,0.43,0.693,0.69,,3.962,16.03,,,0.118
6/12/2019,13:30:01,25.598,745.4,113,9.23,266.7,269.8,8.68,301.5,0.47,0.758,0.75,,4.163,16.85,,,0.133
6/12/2019,13:30:02,25.597,745.4,113.3,9.25,266.7,269.8,8.68,301.5,0.49,0.813,0.81,,3.744,15.14,,,0.147
6/12/2019,13:30:03,25.596,745.5,113.4,9.27,266.7,269.8,8.68,301.5,0.48,0.867,0.86,,5.321,21.57,,,0.16
6/12/2019,13:30:04,25.595,745.5,113.6,9.28,266.7,269.8,8.68,301.5,0.5,0.946,0.94,,5.175,20.97,,,0.176
6/12/2019,13:30:05,25.595,745.5,113.8,9.29,266.7,269.8,8.68,301.5,0.56,1.02,1.02,,4.969,20.13,,,0.189
6/12/2019,13:30:06,25.596,745.5,113.9,9.3,266.8,269.8,8.68,301.5,0.61,1.07,1.07,,5.042,20.43,,,0.203
6/12/2019,13:30:07,25.596,745.4,114,9.31,266.8,269.9,8.68,301.5,0.66,1.12,1.12,,6.288,25.51,,,0.217
6/12/2019,13:30:08,25.591,745.5,114.2,9.32,266.8,269.8,8.68,301.5,0.72,1.179,1.18,,6.498,26.36,,,0.236
6/12/2019,13:30:09,25.585,745.4,114.3,9.34,266.9,269.8,8.68,301.5,0.76,1.224,1.23,,5.477,22.2,,,0.252
6/12/2019,13:30:10,25.58,745.4,114.4,9.35,266.9,269.8,8.68,301.5,0.83,1.287,1.29,,5.65,22.91,,,0.268
6/12/2019,13:30:11,25.573,745.4,114.5,9.36,266.9,269.8,8.68,301.5,0.89,1.346,1.35,,5.676,23.01,,,0.284
6/12/2019,13:30:12,25.567,745.5,114.7,9.37,266.9,269.8,8.68,301.5,0.96,1.398,1.41,,5.957,24.16,,,0.304
6/12/2019,13:30:13,25.559,745.5,114.8,9.38,266.9,269.8,8.68,301.5,1.03,1.444,1.45,,6.783,27.52,,,0.322
6/12/2019,13:30:14,25.553,745.5,114.9,9.4,267,269.8,8.68,301.6,1.07,1.49,1.5,,6.343,25.73,,,1.052
6/12/2019,13:30:15,25.544,745.4,115.1,9.41,267,269.8,8.68,301.6,1.1,1.53,1.54,,6.266,25.42,,,1.127
6/12/2019,13:30:16,25.535,745.5,115.3,9.43,267.1,269.8,8.68,301.6,1.13,1.557,1.57,,6.266,25.42,,,1.211
6/12/2019,13:30:17,25.523,745.5,115.5,9.44,267.1,269.8,8.68,301.6,1.16,1.581,1.59,,4.459,18.06,,,1.275
6/12/2019,13:30:18,25.511,745.4,115.6,9.46,267.1,269.7,8.68,301.6,1.23,1.579,1.59,,4.675,18.93,,,1.276
6/12/2019,13:30:19,25.5,745.4,115.8,9.47,267.2,269.7,8.68,301.7,1.26,1.578,1.59,,4.417,17.88,,,1.295
6/12/2019,13:30:20,25.487,745.4,115.9,9.48,267.2,269.7,8.68,301.7,1.26,1.589,1.6,,5.979,24.25,,,1.33
6/12/2019,13:30:21,25.477,745.4,115.9,9.49,267.3,269.7,8.68,301.8,1.29,1.594,1.61,,4.125,16.69,,,1.357
6/12/2019,13:30:22,25.465,745.4,115.9,9.49,267.3,269.7,8.68,301.9,1.29,1.59,1.6,,5.323,21.57,,,1.389
6/12/2019,13:30:23,25.455,745.4,115.9,9.49,267.4,269.7,8.68,301.9,1.28,1.567,1.58,,4.276,17.31,,,1.417
6/12/2019,13:30:24,25.444,745.4,115.9,9.49,267.4,269.7,8.68,302,1.25,1.533,1.54,,2.825,11.4,,,1.439
6/12/2019,13:30:25,25.434,745.4,115.8,9.48,267.5,269.7,8.67,302.1,1.25,1.503,1.51,,3.541,14.32,,,1.491
6/12/2019,13:30:26,25.424,745.5,115.6,9.47,267.6,269.7,8.67,302.2,1.22,1.466,1.47,,3.163,12.77,,,1.53
6/12/2019,13:30:27,25.413,745.5,115.4,9.45,267.7,269.8,8.67,302.3,1.17,1.418,1.43,,3.373,13.63,,,1.565
6/12/2019,13:30:28,25.405,745.4,115.1,9.43,267.7,269.8,8.67,302.4,1.11,1.369,1.38,,3.944,15.96,,,1.599
6/12/2019,13:30:29,25.399,745.5,114.8,9.41,267.8,269.9,8.66,302.6,1.09,1.308,1.31,,3.764,15.22,,,1.627
6/12/2019,13:30:30,25.393,745.4,114.4,9.38,267.9,269.9,8.66,302.7,1.05,1.263,1.27,,3.087,12.46,,,1.656
6/12/2019,13:30:31,25.386,745.5,110.8,9.09,268,270,8.66,302.8,1.02,1.216,1.22,,2.5,10.08,,,1.677
6/12/2019,13:30:32,25.382,745.5,110.4,9.05,268.1,270,8.65,302.9,0.98,1.157,1.16,,2.952,11.91,,,1.694
6/12/2019,13:30:33,25.378,745.4,109.9,9.01,268.1,270,8.65,303,0.92,1.099,1.1,,2.952,11.91,,,1.709
6/12/2019,13:30:34,25.374,745.4,109.6,8.99,268.1,270.1,8.65,303.1,0.87,1.05,1.05,,2.949,11.9,,,1.725
6/12/2019,13:30:35,25.369,745.5,109.4,8.98,268.2,270.1,8.65,303.1,0.84,1.012,1.01,,2.949,11.9,,,1.736
6/12/2019,13:30:36,25.366,745.5,109.3,8.96,268.3,270.1,8.64,303.2,0.8,0.962,0.96,,2.968,11.98,,,1.747
6/12/2019,13:30:37,25.362,745.4,109.2,8.95,268.3,270.2,8.64,303.3,0.77,0.92,0.92,,2.964,11.97,,,1.756
6/12/2019,13:30:38,25.36,745.5,109,8.94,268.3,270.2,8.64,303.4,0.74,0.89,0.89,,2.924,11.8,,,1.766
6/12/2019,13:30:39,25.359,745.4,108.9,8.93,268.3,270.2,8.64,303.4,0.75,0.857,0.85,,2.896,11.69,,,1.774
6/12/2019,13:30:40,25.358,745.4,108.8,8.92,268.4,270.2,8.63,303.5,0.73,0.828,0.82,,2.693,10.86,,,1.781
6/12/2019,13:30:41,25.357,745.4,108.6,8.91,268.4,270.2,8.63,303.5,0.73,0.814,0.81,,2.725,10.99,,,1.787
6/12/2019,13:30:42,25.357,745.4,108.6,8.91,268.4,270.2,8.63,303.6,0.74,0.797,0.79,,2.239,9.01,,,1.794
6/12/2019,13:30:43,25.357,745.4,108.4,8.9,268.4,270.2,8.63,303.6,0.74,0.786,0.78,,2.807,11.32,,,1.801
