Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
7/11/2019,11:16:10,23.897,747.7,103.4,8.73,14.2,13.9,4.25,258.3,15.63,0.547,0.54,,0.094,0.27,,,0.041
7/11/2019,11:16:11,23.891,747.8,103.8,8.76,14.2,13.9,5.31,234.9,168.47,0.776,0.77,,0.502,1.93,,,0.041
7/11/2019,11:16:12,26.437,747.7,115.2,9.2,14,14.5,6.15,243.8,600.01,0.923,0.92,,0.679,2.65,,,0.041
7/11/2019,11:16:13,27.265,747.8,126.8,10.23,14.2,14.9,6.69,241.3,1.34,1.36,1.37,,1.26,5.02,,,0.04
7/11/2019,11:16:14,29.557,747.8,126.3,9.63,100.9,109.7,6.92,244.5,1.36,1.227,1.23,,1.757,7.05,,,0.041
7/11/2019,11:16:15,29.467,747.8,131.6,10.05,266.3,288.7,7.34,246.7,1.32,0.803,0.8,,1.94,7.79,,,0.041
7/11/2019,11:16:16,29.756,747.8,140.2,10.64,292.5,319.1,7.63,247.6,1.23,0.773,0.77,,2.069,8.32,,,0.048
7/11/2019,11:16:17,29.861,747.8,144.5,10.94,292.8,320,7.88,248,1.34,0.829,0.83,,2.206,8.88,,,0.131
7/11/2019,11:16:18,29.854,747.8,148.2,11.22,293.1,320.3,7.99,248.1,1.26,0.861,0.86,,2.307,9.29,,,0.23
7/11/2019,11:16:19,29.841,747.8,150.5,11.4,293.1,320.2,8.08,247.5,1.23,0.812,0.81,,2.454,9.88,,,0.306
7/11/2019,11:16:20,29.825,747.8,151.9,11.51,292.9,319.9,8.14,246.6,1.3,0.895,0.89,,2.616,10.54,,,0.389
7/11/2019,11:16:21,29.805,747.8,154.4,11.7,292.6,319.4,8.16,246.8,1.4,0.967,0.96,,2.602,10.49,,,0.509
7/11/2019,11:16:22,29.778,747.8,157.3,11.93,292.6,319.3,8.23,246.8,1.54,1.033,1.03,,2.695,10.87,,,0.559
7/11/2019,11:16:23,29.749,747.8,159.7,12.11,292.8,319.3,8.3,246.4,1.81,1.158,1.16,,3.119,12.6,,,0.612
7/11/2019,11:16:24,29.675,747.7,161.8,12.28,292.8,318.9,8.34,245.7,1.86,1.214,1.22,,3.326,13.44,,,0.682
7/11/2019,11:16:25,29.597,747.8,163.3,12.42,292.7,318.5,8.38,244.9,1.86,1.323,1.33,,3.412,13.79,,,0.731
7/11/2019,11:16:26,29.569,747.8,164.6,12.52,292.9,318.4,8.41,245.2,1.89,1.372,1.38,,3.55,14.35,,,0.873
7/11/2019,11:16:27,29.523,747.8,165.2,12.58,293,318.4,8.43,245.8,1.88,1.275,1.28,,3.552,14.36,,,0.953
7/11/2019,11:16:28,29.517,747.7,165.7,12.62,293,318.3,8.45,245.5,1.87,1.231,1.24,,3.485,14.09,,,1.014
7/11/2019,11:16:29,29.508,747.7,166.1,12.65,293.1,318.4,8.46,245.2,1.85,1.335,1.34,,3.546,14.34,,,1.094
7/11/2019,11:16:30,29.493,747.8,166.2,12.67,293.3,318.5,8.47,244.7,1.9,1.493,1.5,,3.653,14.77,,,1.136
7/11/2019,11:16:31,29.465,747.8,166.4,12.68,293.8,318.9,8.49,243.8,1.96,1.447,1.46,,3.835,15.51,,,1.248
7/11/2019,11:16:32,29.43,747.8,166.3,12.68,294.3,319.2,8.5,243.8,1.97,1.447,1.46,,3.934,15.92,,,1.289
7/11/2019,11:16:33,29.412,747.8,166.1,12.67,294.6,319.5,8.5,243.8,2.2,1.516,1.53,,3.781,15.29,,,1.353
7/11/2019,11:16:34,29.373,747.8,165.5,12.63,295.1,319.8,8.5,243.8,2.37,1.546,1.56,,3.654,14.78,,,1.431
7/11/2019,11:16:35,29.338,747.7,164.7,12.58,295.6,320.1,8.5,243.5,2.21,1.605,1.62,,3.727,15.07,,,1.502
7/11/2019,11:16:36,29.317,747.7,163.6,12.5,295.8,320.2,8.5,243.1,2.13,1.586,1.6,,3.809,15.41,,,1.542
7/11/2019,11:16:37,29.309,747.8,162.6,12.43,295.8,320.2,8.5,242.9,2.11,1.642,1.65,,3.7,14.96,,,1.613
7/11/2019,11:16:38,29.303,747.8,161.3,12.33,295.9,320.2,8.5,242.6,2.11,1.627,1.64,,3.791,15.33,,,1.662
7/11/2019,11:16:39,29.303,747.8,160.2,12.25,295.9,320.2,8.5,242.3,2.2,1.625,1.64,,3.962,16.03,,,1.738
7/11/2019,11:16:40,29.302,747.7,159.1,12.16,296,320.3,8.51,241.7,2.2,1.676,1.69,,3.878,15.69,,,1.787
7/11/2019,11:16:41,29.3,747.8,158.3,12.1,296,320.3,8.51,241.6,2.19,1.548,1.56,,3.707,14.99,,,1.885
