Date,Time,X.C,mmHg,DO..,DO.mg.L,SPC.uS.cm,C.uS.cm,pH,ORP.mV,FNU,BGA.PC.RFU,BGA.PC.ug.L,BGA.PC.c.mL,Chl.RFU,Chl.ug.L,PAR1.ppfd,PAR2.ppfd,DEP.m
10/16/2019,15:19:33,17.412,743,94,9.01,177.7,151.9,12.93,359.6,6.8,1.162,1.16,NA,2.024,8.13,NA,NA,0
10/16/2019,15:19:34,17.422,743.1,93.8,8.99,179.6,153.6,12.93,359.5,7.09,1.163,1.17,NA,2.042,8.21,NA,NA,0.002
10/16/2019,15:19:35,17.431,743,93.6,8.97,179.8,153.8,12.93,359.4,7.17,1.175,1.18,NA,2.062,8.29,NA,NA,0.058
10/16/2019,15:19:36,17.429,743,93.5,8.95,179.8,153.8,12.93,359.3,7.13,1.19,1.19,NA,2.119,8.52,NA,NA,0.101
10/16/2019,15:19:37,17.411,743,93.2,8.92,179.8,153.8,12.93,359,7.18,1.161,1.16,NA,2.161,8.69,NA,NA,0.132
10/16/2019,15:19:38,17.368,743,93.1,8.92,180,153.7,12.93,358.8,6.9,1.264,1.27,NA,2.271,9.14,NA,NA,0.159
10/16/2019,15:19:39,17.3,743.1,92.9,8.91,180,153.5,12.94,358.6,6.82,1.384,1.39,NA,2.349,9.46,NA,NA,0.21
10/16/2019,15:19:40,17.239,743.1,92.5,8.89,180,153.3,12.94,358.3,6.99,1.422,1.43,NA,2.361,9.51,NA,NA,0.242
10/16/2019,15:19:41,17.23,743.2,92.4,8.89,180.1,153.4,12.95,358,6.96,1.409,1.42,NA,2.367,9.53,NA,NA,0.263
10/16/2019,15:19:42,17.228,743,92.4,8.88,180.1,153.4,12.95,357.5,6.81,1.37,1.38,NA,2.318,9.33,NA,NA,0.27
10/16/2019,15:19:43,17.228,743.1,92.3,8.88,180,153.2,12.95,357.1,6.96,1.392,1.4,NA,2.343,9.43,NA,NA,0.289
10/16/2019,15:19:44,17.236,743,92.4,8.88,179.8,153.2,12.95,356.8,7.01,1.356,1.36,NA,2.401,9.67,NA,NA,0.299
10/16/2019,15:19:45,17.24,743,92.3,8.87,179.7,153.1,12.95,356.3,7.01,1.335,1.34,NA,2.354,9.48,NA,NA,0.309
10/16/2019,15:19:46,17.241,743,92.2,8.86,179.7,153.1,12.95,356,7.05,1.368,1.37,NA,2.319,9.34,NA,NA,0.32
10/16/2019,15:19:47,17.24,743.1,92,8.85,179.7,153.1,12.95,355.7,7.04,1.381,1.39,NA,2.436,9.81,NA,NA,0.348
10/16/2019,15:19:48,17.237,743.1,91.9,8.84,179.7,153.1,12.95,355.4,6.75,1.375,1.38,NA,2.452,9.88,NA,NA,0.363
10/16/2019,15:19:49,17.233,743,91.9,8.83,179.7,153.1,12.95,355,6.79,1.397,1.4,NA,2.433,9.8,NA,NA,0.382
10/16/2019,15:19:50,17.222,743.1,91.9,8.83,179.7,153,12.96,354.6,6.9,1.479,1.49,NA,2.565,10.34,NA,NA,0.401
10/16/2019,15:19:51,17.213,743,91.8,8.83,179.7,153,12.96,354.2,6.97,1.464,1.47,NA,2.499,10.07,NA,NA,0.426
10/16/2019,15:19:52,17.211,743.1,91.8,8.83,179.7,153,12.96,353.7,7.14,1.419,1.43,NA,2.484,10.01,NA,NA,0.441
10/16/2019,15:19:53,17.203,743.1,91.7,8.82,179.8,153,12.96,353.3,7.47,1.371,1.38,NA,2.587,10.43,NA,NA,0.459
10/16/2019,15:19:54,17.199,743,91.7,8.82,179.8,153,12.96,352.9,7.49,1.382,1.39,NA,2.492,10.04,NA,NA,0.48
10/16/2019,15:19:55,17.197,743.1,91.6,8.81,179.7,152.9,12.97,352.4,6.97,1.467,1.48,NA,2.421,9.75,NA,NA,0.499
10/16/2019,15:19:56,17.155,743,91.5,8.81,179.9,152.9,12.97,352.1,6.95,1.454,1.46,NA,2.477,9.98,NA,NA,0.521
10/16/2019,15:19:57,17.073,743.1,91.6,8.83,180.2,152.9,12.97,351.6,6.91,1.443,1.45,NA,2.566,10.34,NA,NA,0.54
10/16/2019,15:19:58,17.047,743.1,91.7,8.84,180.3,152.9,12.98,351.1,6.71,1.525,1.53,NA,2.636,10.63,NA,NA,0.558
10/16/2019,15:19:59,17.058,743.1,91.6,8.84,180.2,152.9,12.98,350.7,6.82,1.475,1.48,NA,2.598,10.47,NA,NA,0.576
10/16/2019,15:20:00,17.066,743.1,91.2,8.8,180.2,152.9,12.98,350.2,7.12,1.388,1.39,NA,2.594,10.45,NA,NA,0.599
10/16/2019,15:20:01,17.037,743.1,91.1,8.79,180.2,152.8,12.98,350,7.26,1.424,1.43,NA,2.619,10.56,NA,NA,0.617
10/16/2019,15:20:02,16.99,743,91,8.79,180.2,152.6,12.98,349.7,7.13,1.537,1.55,NA,2.67,10.77,NA,NA,0.635
10/16/2019,15:20:03,16.965,743,90.9,8.79,180.2,152.6,12.99,349.3,7.39,1.64,1.65,NA,2.759,11.13,NA,NA,0.653
10/16/2019,15:20:04,16.96,743.1,90.8,8.78,180.3,152.6,12.99,349,7.37,1.653,1.67,NA,2.892,11.67,NA,NA,0.666
10/16/2019,15:20:05,16.967,743.1,90.7,8.77,180.2,152.5,12.99,348.6,7.22,1.585,1.6,NA,2.957,11.94,NA,NA,0.682
10/16/2019,15:20:06,16.958,743.1,90.7,8.77,180,152.3,12.99,348.4,7.24,1.571,1.58,NA,2.967,11.98,NA,NA,0.705
10/16/2019,15:20:07,16.927,743.2,90.6,8.76,179.9,152.1,13,348.1,6.96,1.657,1.67,NA,2.972,12,NA,NA,0.734
10/16/2019,15:20:08,16.906,743.1,90.5,8.76,179.7,151.9,13,347.9,6.97,1.668,1.68,NA,2.885,11.64,NA,NA,0.752
10/16/2019,15:20:09,16.869,743,90.5,8.76,179.3,151.5,13,347.6,6.98,1.66,1.67,NA,2.835,11.44,NA,NA,0.789
10/16/2019,15:20:10,16.713,743.1,90.4,8.77,179.1,150.8,13,347.4,7.09,1.712,1.73,NA,2.687,10.84,NA,NA,0.812
10/16/2019,15:20:11,16.606,743.1,90.2,8.78,178.8,150.1,13,347.2,7.31,1.698,1.71,NA,2.614,10.54,NA,NA,0.841
10/16/2019,15:20:12,16.586,743.1,90,8.77,178.4,149.8,13.01,347,7.19,1.585,1.6,NA,2.586,10.42,NA,NA,0.883
10/16/2019,15:20:13,16.572,743.1,90,8.77,178.3,149.6,13.01,346.7,7.17,1.601,1.61,NA,2.508,10.11,NA,NA,0.907
