Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
5/29/2019,11:14:34,24.811,740.3,124.3,10.3,214.5,213.7,8.67,225.1,7.18,0.606,0.6,,3.424,13.84,,,0
5/29/2019,11:14:35,24.806,740.4,127.6,10.58,224,223.2,8.67,224.8,7.13,0.622,0.61,,3.136,12.66,,,0
5/29/2019,11:14:36,24.803,740.4,128.6,10.66,228.6,227.7,8.67,224.8,7.13,0.641,0.63,,3.39,13.7,,,0
5/29/2019,11:14:37,24.795,740.5,130.1,10.78,230.2,229.3,8.68,224.7,7.09,0.669,0.66,,3.473,14.04,,,0
5/29/2019,11:14:38,24.796,740.3,131.3,10.89,230.6,229.7,8.68,224.4,7.11,0.691,0.68,,3.632,14.68,,,0
5/29/2019,11:14:39,24.819,740.4,132.4,10.98,230.6,229.8,8.68,224.2,7.1,0.691,0.68,,3.662,14.81,,,0.006
5/29/2019,11:14:40,24.849,740.3,133.3,11.04,230.6,229.9,8.68,223.8,7.08,0.716,0.71,,3.726,15.07,,,0.012
5/29/2019,11:14:41,24.891,740.3,138,11.42,230.4,229.9,8.69,223.6,7.07,0.748,0.74,,3.781,15.29,,,0.017
5/29/2019,11:14:42,24.92,740.6,138.9,11.49,230.2,229.9,8.69,223.4,7.06,0.779,0.77,,3.841,15.54,,,0.026
5/29/2019,11:14:43,24.931,740.4,139.3,11.52,230.1,229.8,8.69,223.2,7.09,0.806,0.8,,4.597,18.62,,,0.044
5/29/2019,11:14:44,24.936,740.4,139.2,11.51,230,229.8,8.69,222.9,7.08,0.835,0.83,,5,20.26,,,0.882
5/29/2019,11:14:45,24.914,740.3,139.4,11.53,230,229.7,8.69,222.7,7.03,0.826,0.82,,4.788,19.4,,,0.865
