chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
0.08,0,117.5,9.43,266.7,0,0.12,252.2,0.02,164,0.95,6.54,26.589,0.002,37.89856,-90.62939,263.2,989.9,2020-06-17,2020-06-17T09:22:14Z,018
0.12,0.309,117.7,9.44,265.8,0.03,0.12,252.5,0.03,164,0.88,6.95,26.613,0.343,37.89857,-90.6294,263.6,989.8,2020-06-17,2020-06-17T09:22:26Z,018
0.07,0.464,117.7,9.44,265.2,0.045,0.12,252.6,0.16,164,0.83,7.01,26.615,0.499,37.89857,-90.6294,263.3,989.8,2020-06-17,2020-06-17T09:22:28Z,018
0.1,0.546,117.8,9.44,265,0.053,0.12,252.6,0.14,164,1.05,7.05,26.614,0.601,37.89857,-90.6294,263.2,989.9,2020-06-17,2020-06-17T09:22:29Z,018
0.12,0.709,117.8,9.44,264.6,0.069,0.12,252.6,0.04,164,1,7.1,26.608,0.752,37.89857,-90.6294,262.8,989.8,2020-06-17,2020-06-17T09:22:31Z,018
0.1,0.943,117.9,9.45,263.9,0.092,0.12,252.6,0.02,164,1.16,7.18,26.591,0.988,37.89857,-90.62941,262.2,989.8,2020-06-17,2020-06-17T09:22:36Z,018
0.11,1.052,117.8,9.45,263.2,0.103,0.12,252.6,0.03,164,1.01,7.22,26.588,1.082,37.89857,-90.62941,262.5,989.7,2020-06-17,2020-06-17T09:22:38Z,018
0.11,1.234,118,9.47,262.5,0.121,0.12,252.7,0,164,0.77,7.29,26.582,1.263,37.89857,-90.62941,262.9,989.8,2020-06-17,2020-06-17T09:22:42Z,018
0.13,1.368,118.1,9.48,262.1,0.134,0.12,252.6,0.07,164,0.91,7.31,26.577,1.397,37.89857,-90.62941,263,989.8,2020-06-17,2020-06-17T09:22:44Z,018
0.13,1.434,118.1,9.48,261.8,0.14,0.12,252.6,0.1,164,0.94,7.33,26.574,1.457,37.89857,-90.62941,263,989.8,2020-06-17,2020-06-17T09:22:45Z,018
