dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber,depthDiff_m,verticalPositionDiff_m
2020-06-30T10:36:15Z,0.41333333333333333,15.112,0.3,0.02,127.03333333333333,1.4783333333333333,0.12,250.3,0.056666666666666664,163,3.56,7.13,23.800333333333334,15.114666666666666,38.20472,-92.62761,197.66666666666666,985.8333333333333,2020-06-30,2020-06-30T10:36:15Z,149,0.07533333333333303,0.09266666666666623
2020-06-30T10:36:18Z,0.41333333333333333,15.187333333333333,0.3,0.02,126.83333333333333,1.4853333333333334,0.12,250,-0.0033333333333333335,162.66666666666666,3.4466666666666668,7.13,23.783333333333335,15.207333333333333,38.20471333333333,-92.62761,197.76666666666668,985.7333333333333,2020-06-30,2020-06-30T10:36:18Z,149,0.10133333333333283,0.08466666666666711
2020-06-30T10:36:21Z,0.38333333333333336,15.288666666666666,0.2,0.02,126.66666666666667,1.4953333333333334,0.12,249.66666666666666,-0.02,162,3.6466666666666665,7.123333333333333,23.766333333333332,15.292,38.20472,-92.6276,199.16666666666666,985.7333333333333,2020-06-30,2020-06-30T10:36:21Z,149,0.029666666666667396,0.033666666666666956
2020-06-30T10:36:24Z,0.36666666666666664,15.318333333333333,0.2,0.02,126.43333333333334,1.4983333333333333,0.12,249.6,-0.01,162,3.5766666666666667,7.12,23.754,15.325666666666667,38.20471666666667,-92.62760666666667,199.03333333333333,985.8333333333334,2020-06-30,2020-06-30T10:36:24Z,149,0.10866666666666625,0.1156666666666677
2020-06-30T10:36:27Z,0.37666666666666665,15.427,0.2,0.02,126.26666666666667,1.5093333333333332,0.12,249.83333333333334,-0.030000000000000002,162.33333333333334,3.6,7.12,23.742,15.441333333333334,38.20471,-92.62761,198.93333333333334,985.8666666666667,2020-06-30,2020-06-30T10:36:27Z,149,0.13833333333333364,0.1399999999999988
2020-06-30T10:36:30Z,0.37333333333333335,15.565333333333333,0.2,0.02,126.06666666666666,1.5226666666666666,0.12,250.16666666666666,-0.02333333333333333,163,3.5733333333333333,7.12,23.711333333333332,15.581333333333333,38.20471,-92.62760666666667,199.2,985.8,2020-06-30,2020-06-30T10:36:30Z,149,0.1509999999999998,0.1726666666666663
2020-06-30T10:36:33Z,0.37666666666666665,15.716333333333333,0.2,0.02,125.86666666666667,1.5376666666666667,0.12,250.1,-0.026666666666666665,163,3.63,7.12,23.665333333333333,15.754,38.20471333333333,-92.62761,199.23333333333332,985.7333333333333,2020-06-30,2020-06-30T10:36:33Z,149,0.2376666666666658,0.21666666666666679
2020-06-30T10:36:36Z,0.38666666666666666,15.953999999999999,0.2,0.02,125.7,1.5606666666666666,0.12,250.3,-0.02666666666666667,163,3.4833333333333334,7.12,23.575666666666667,15.970666666666666,38.20472,-92.62761,199.5,985.8333333333334,2020-06-30,2020-06-30T10:36:36Z,149,0.16733333333333356,0.1789999999999985
2020-06-30T10:36:39Z,0.3833333333333333,16.121333333333332,0.2,0.02,125.4,1.577,0.12,250.36666666666667,-0.03333333333333333,163,3.5466666666666664,7.12,23.507,16.149666666666665,38.20472,-92.62761,199.2,985.7333333333333,2020-06-30,2020-06-30T10:36:39Z,149,0.11433333333333451,0.0870000000000033
2020-06-30T10:36:45Z,0.36333333333333334,16.247333333333334,0.2,0.02,124.93333333333334,1.5896666666666666,0.12,250.6,-0.0033333333333333353,163,3.5033333333333334,7.12,23.444,16.246333333333332,38.20472,-92.62761,199.13333333333333,985.7333333333333,2020-06-30,2020-06-30T10:36:45Z,149,0.0730000000000004,0.08466666666666711
