chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
0.85,0.184,91.9,7.12,145.7,0.018,0.11,227.3,1.07,148,7.27,8.03,28.705,0.188,40.35162,-94.77871,318.6,972.5,2020-07-14,2020-07-14T12:20:03Z,181
1.11,0.258,84.6,6.53,152.6,0.025,0.11,229.8,0.95,149,6.47,8.09,28.68,0.282,40.35162,-94.77871,319.9,972.5,2020-07-14,2020-07-14T12:20:15Z,181
1.11,0.335,84.4,6.52,153.1,0.033,0.11,229.7,0.99,149,6.47,8.09,28.668,0.419,40.35162,-94.77871,319.9,972.4,2020-07-14,2020-07-14T12:20:16Z,181
1.29,0.551,84.2,6.51,153.4,0.054,0.11,229.8,1.14,149,6.44,8.09,28.639,0.605,40.35162,-94.77871,320,972.5,2020-07-14,2020-07-14T12:20:17Z,181
1.35,0.677,84.1,6.5,153.5,0.066,0.11,229.9,1.14,149,6.12,8.09,28.609,0.689,40.35162,-94.77871,320,972.6,2020-07-14,2020-07-14T12:20:18Z,181
1.32,0.736,84,6.5,153.6,0.072,0.11,229.9,1.08,149,6.44,8.09,28.587,0.766,40.35162,-94.77871,320.3,972.4,2020-07-14,2020-07-14T12:20:19Z,181
1.28,0.795,83.9,6.5,153.7,0.078,0.11,229.8,1.08,149,6.45,8.1,28.575,0.822,40.35161,-94.77872,320.5,972.6,2020-07-14,2020-07-14T12:20:20Z,181
1.31,0.876,83.8,6.49,153.7,0.086,0.11,229.8,1.09,149,6.41,8.1,28.537,0.918,40.35161,-94.77872,320.6,972.5,2020-07-14,2020-07-14T12:20:21Z,181
1.37,0.954,83.7,6.49,153.7,0.093,0.11,229.8,1.16,149,6.56,8.1,28.513,0.974,40.35161,-94.77872,320.6,972.5,2020-07-14,2020-07-14T12:20:22Z,181
1.5,1.011,83.6,6.49,153.8,0.099,0.11,229.7,1.31,149,6.55,8.1,28.495,1.049,40.35161,-94.77872,320.5,972.5,2020-07-14,2020-07-14T12:20:23Z,181
1.6,1.091,83.3,6.46,153.9,0.107,0.11,229.8,1.31,149,6.67,8.1,28.451,1.122,40.35161,-94.77872,320.5,972.5,2020-07-14,2020-07-14T12:20:24Z,181
1.58,1.155,83.1,6.45,153.9,0.113,0.11,229.8,1.24,149,6.38,8.1,28.403,1.157,40.35162,-94.77872,320.6,972.4,2020-07-14,2020-07-14T12:20:25Z,181
1.57,1.182,82.9,6.44,153.8,0.115,0.11,229.8,1.21,149,6.35,8.1,28.38,1.211,40.35162,-94.77872,320.6,972.5,2020-07-14,2020-07-14T12:20:26Z,181
1.58,1.252,82.6,6.42,153.9,0.122,0.11,230,1.25,149,6.71,8.1,28.32,1.28,40.35162,-94.77872,320.6,972.5,2020-07-14,2020-07-14T12:20:27Z,181
1.61,1.319,82.2,6.4,153.9,0.129,0.11,230,1.23,150,6.53,8.09,28.297,1.334,40.35162,-94.77872,320.7,972.6,2020-07-14,2020-07-14T12:20:28Z,181
1.57,1.371,82,6.38,153.8,0.134,0.11,230,1.26,150,6.21,8.09,28.282,1.392,40.35162,-94.77872,320.8,972.5,2020-07-14,2020-07-14T12:20:29Z,181
1.56,1.449,81.6,6.36,153.9,0.142,0.11,230,1.28,149,6.56,8.09,28.265,1.469,40.35162,-94.77872,320.8,972.6,2020-07-14,2020-07-14T12:20:30Z,181
1.51,1.52,81.3,6.33,154,0.149,0.11,230,1.24,150,6.72,8.08,28.237,1.556,40.35161,-94.77872,321,972.6,2020-07-14,2020-07-14T12:20:31Z,181
1.45,1.608,80.9,6.3,154.1,0.157,0.11,230.1,1.25,150,6.59,8.08,28.21,1.626,40.35161,-94.77872,321.1,972.4,2020-07-14,2020-07-14T12:20:32Z,181
1.52,1.672,80.5,6.28,154.2,0.163,0.11,230.1,1.26,150,6.83,8.07,28.197,1.695,40.35161,-94.77872,321.1,972.5,2020-07-14,2020-07-14T12:20:33Z,181
1.54,1.741,80.1,6.24,154.2,0.17,0.11,230.2,1.25,150,6.91,8.07,28.19,1.757,40.35161,-94.77872,321.2,972.5,2020-07-14,2020-07-14T12:20:34Z,181
1.54,1.805,79.7,6.21,154.2,0.176,0.11,230.2,1.22,150,6.68,8.07,28.179,1.823,40.35161,-94.77872,321.1,972.5,2020-07-14,2020-07-14T12:20:35Z,181
1.52,1.855,79.2,6.17,154.2,0.181,0.11,230.3,1.25,150,6.65,8.06,28.171,1.873,40.35161,-94.77872,321.1,972.5,2020-07-14,2020-07-14T12:20:36Z,181
1.49,1.91,78.7,6.14,154.1,0.187,0.11,230.5,1.28,150,6.59,8.06,28.15,1.929,40.35161,-94.77872,321.1,972.6,2020-07-14,2020-07-14T12:20:37Z,181
1.42,1.958,77.9,6.08,154.1,0.191,0.11,230.6,1.26,150,6.73,8.05,28.134,1.978,40.35161,-94.77872,321.1,972.5,2020-07-14,2020-07-14T12:20:38Z,181
1.43,2.032,77.3,6.03,154.2,0.198,0.11,230.7,1.26,150,6.75,8.05,28.122,2.046,40.35161,-94.77872,321.1,972.6,2020-07-14,2020-07-14T12:20:39Z,181
1.47,2.08,76.5,5.98,154.2,0.203,0.11,230.8,1.31,150,6.53,8.04,28.112,2.098,40.35161,-94.77872,321.2,972.5,2020-07-14,2020-07-14T12:20:40Z,181
1.51,2.141,75.9,5.93,154.3,0.209,0.11,230.8,1.25,150,6.48,8.03,28.105,2.163,40.35161,-94.77872,321.2,972.6,2020-07-14,2020-07-14T12:20:41Z,181
1.43,2.202,75.3,5.88,154.3,0.215,0.11,230.8,1.16,150,6.44,8.03,28.096,2.219,40.35161,-94.77872,321.3,972.5,2020-07-14,2020-07-14T12:20:42Z,181
