chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
1.58,-0.005,99,8.12,92.8,0,0.07,142.6,2.64,93,11.7,7.68,26.15,0.012,38.90614,-92.12302,251.5,986.6,2020-09-02,2020-09-02T14:21:24Z,017
2.32,0.035,96.8,7.82,91.6,0.003,0.07,159.5,4.67,104,11.26,7.68,26.293,0.046,38.90614,-92.12302,251.4,986.7,2020-09-02,2020-09-02T14:21:25Z,017
2.58,0.049,94.9,7.65,93.1,0.005,0.08,161.4,4.97,105,11.09,7.69,26.331,0.066,38.90614,-92.12302,251.5,986.6,2020-09-02,2020-09-02T14:21:27Z,017
2.5,0.083,93.6,7.55,94.8,0.008,0.08,161.6,5.09,105,11.2,7.69,26.33,0.095,38.90614,-92.12302,252.2,986.5,2020-09-02,2020-09-02T14:21:29Z,017
2.53,0.128,92.9,7.49,95.2,0.012,0.08,161.8,5.16,105,11.07,7.71,26.336,0.127,38.90614,-92.12302,252,986.7,2020-09-02,2020-09-02T14:21:30Z,017
2.64,0.05,90.9,7.32,96.7,0.005,0.08,162.1,5.14,105,11.05,7.8,26.35,0.07,38.90614,-92.12302,250.6,986.8,2020-09-02,2020-09-02T14:21:36Z,017
2.67,0.098,90.7,7.31,96.7,0.01,0.08,162.1,5.23,105,10.98,7.81,26.349,0.103,38.90614,-92.12302,250.6,986.8,2020-09-02,2020-09-02T14:21:37Z,017
2.68,0.117,90.4,7.28,96.8,0.011,0.08,162.1,5.24,105,10.96,7.83,26.35,0.147,38.90614,-92.12302,251.4,986.7,2020-09-02,2020-09-02T14:21:39Z,017
2.7,0.178,90.3,7.28,96.7,0.017,0.08,162.1,5.39,105,10.95,7.85,26.349,0.188,38.90614,-92.12302,251.4,986.6,2020-09-02,2020-09-02T14:21:40Z,017
2.92,0.244,89.5,7.22,94.8,0.024,0.08,161.8,5.91,105,11.47,7.93,26.324,0.259,38.90613,-92.12302,251.3,986.6,2020-09-02,2020-09-02T14:21:51Z,017
2.8,0.289,89.5,7.21,95,0.028,0.08,161.8,6.24,105,11.31,7.93,26.322,0.327,38.90613,-92.12302,251.3,986.6,2020-09-02,2020-09-02T14:21:52Z,017
2.81,0.38,89.3,7.2,95.6,0.037,0.08,161.9,6.42,105,11.07,7.93,26.316,0.424,38.90613,-92.12302,251.4,986.7,2020-09-02,2020-09-02T14:21:53Z,017
2.82,0.486,89.3,7.2,95.8,0.048,0.08,162,6.47,105,11.09,7.93,26.309,0.546,38.90613,-92.12302,251.6,986.5,2020-09-02,2020-09-02T14:21:54Z,017
2.79,0.643,89.1,7.19,95.9,0.063,0.08,162.1,6.44,105,11.4,7.94,26.3,0.656,38.90614,-92.12302,251.8,986.6,2020-09-02,2020-09-02T14:21:55Z,017
2.87,0.694,88.9,7.17,95.7,0.068,0.08,162.1,6.43,105,11.33,7.95,26.292,0.721,38.90614,-92.12302,251.8,986.5,2020-09-02,2020-09-02T14:21:56Z,017
