chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
0.42,0.035,121.8,9.2,51.7,0.003,0.08,175.4,0.14,114,2.66,8.61,29.987,0.115,39.66275,-92.9958,223,989.4,2022-06-23,2022-06-23T14:27:49Z,139
0.44,0.044,126.3,9.55,53.1,0.004,0.08,175.3,0.12,114,2.64,8.62,29.989,0.21,39.66275,-92.9958,222.9,989.3,2022-06-23,2022-06-23T14:27:52Z,139
0.45,0.05,126.9,9.59,59.2,0.005,0.08,175.3,0.12,114,2.62,8.62,29.99,0.27,39.66275,-92.9958,222.9,989.3,2022-06-23,2022-06-23T14:27:53Z,139
0.45,0.056,127.1,9.6,60.4,0.006,0.08,175.3,0.12,114,2.58,8.62,29.992,0.341,39.66275,-92.9958,222.9,989.4,2022-06-23,2022-06-23T14:27:54Z,139
0.5,0.079,127.5,9.63,61.2,0.008,0.08,175.3,0.12,114,2.54,8.63,29.991,0.469,39.66275,-92.9958,223.1,989.5,2022-06-23,2022-06-23T14:27:56Z,139
0.52,0.092,127.6,9.64,61.6,0.009,0.08,175.3,0.13,114,2.52,8.63,29.988,0.56,39.66275,-92.9958,223.2,989.3,2022-06-23,2022-06-23T14:27:57Z,139
0.84,0.164,128.3,9.71,61.1,0.016,0.08,175.3,0.17,114,2.44,8.8,29.877,0.78,39.66275,-92.9958,223.3,989.4,2022-06-23,2022-06-23T14:28:01Z,139
1.97,0.913,133.6,10.13,60.7,0.089,0.08,175.2,0.21,114,2.44,8.83,29.773,0.888,39.66275,-92.9958,223.3,989.4,2022-06-23,2022-06-23T14:28:03Z,139
2.06,1.079,133,10.12,61,0.105,0.08,174.9,0.27,114,2.43,8.78,29.556,1.079,39.66275,-92.9958,223.2,989.4,2022-06-23,2022-06-23T14:28:06Z,139
2.01,1.13,132,10.06,61.3,0.11,0.08,174.8,0.28,114,2.44,8.62,29.465,1.168,39.66275,-92.99581,223.2,989.4,2022-06-23,2022-06-23T14:28:07Z,139
1.79,1.219,126.6,9.66,69,0.119,0.08,174.8,0.29,114,2.47,8.55,29.371,1.326,39.66275,-92.99581,223.2,989.4,2022-06-23,2022-06-23T14:28:08Z,139
1.67,1.288,122.8,9.39,70.7,0.126,0.08,174.8,0.31,114,2.5,8.5,29.284,1.442,39.66275,-92.99581,223.2,989.5,2022-06-23,2022-06-23T14:28:09Z,139
1.67,1.344,120.6,9.23,72.3,0.131,0.08,174.8,0.33,114,2.54,8.48,29.182,1.509,39.66275,-92.99581,223.3,989.4,2022-06-23,2022-06-23T14:28:10Z,139
1.7,1.389,118.8,9.11,72.6,0.136,0.08,174.8,0.34,114,2.58,8.45,29.096,1.57,39.66275,-92.99581,223.3,989.4,2022-06-23,2022-06-23T14:28:11Z,139
1.72,1.434,117.9,9.06,73.4,0.14,0.08,174.8,0.36,114,2.62,8.43,29.023,1.673,39.66275,-92.99581,223.3,989.4,2022-06-23,2022-06-23T14:28:12Z,139
1.75,1.491,116.6,8.97,74.2,0.146,0.08,174.9,0.37,114,2.69,8.41,28.956,1.846,39.66275,-92.99581,223.3,989.5,2022-06-23,2022-06-23T14:28:13Z,139
1.24,1.684,101.2,7.82,85.1,0.165,0.08,175.7,0.4,114,3.03,8.15,28.666,2.062,39.66275,-92.99581,223.6,989.3,2022-06-23,2022-06-23T14:28:18Z,139
2.1,1.718,99.8,7.72,86,0.168,0.08,175.9,0.39,114,3.07,8.13,28.622,2.142,39.66275,-92.99581,223.6,989.5,2022-06-23,2022-06-23T14:28:19Z,139
1.52,1.761,94.2,7.29,86.3,0.172,0.08,176,0.39,114,3.12,8.11,28.584,2.284,39.66275,-92.99581,223.6,989.4,2022-06-23,2022-06-23T14:28:20Z,139
