chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
0.52,0.098,117.9,9.03,230.8,0.01,0.09,199.8,0.4,130,0.32,8.59,29.204,0.094,36.60879,-93.31413,275.6,985.4,2022-08-01,2022-08-01T12:01:33Z,098
0.52,0.213,118.1,9.05,231.1,0.021,0.09,200,0.38,130,0.28,8.59,29.216,0.256,36.6088,-93.31413,275.1,985.4,2022-08-01,2022-08-01T12:01:37Z,098
0.47,0.328,118.2,9.05,231.2,0.032,0.09,199.9,0.41,130,0.34,8.59,29.217,0.358,36.6088,-93.31413,275.4,985.4,2022-08-01,2022-08-01T12:01:38Z,098
0.53,0.721,118.3,9.06,232,0.07,0.09,200,0.39,130,0.43,8.58,29.222,0.754,36.60881,-93.31411,276,985.3,2022-08-01,2022-08-01T12:01:48Z,098
0.5,0.795,118.3,9.06,232.1,0.078,0.09,200,0.43,130,0.42,8.58,29.222,0.815,36.60881,-93.31411,275.9,985.4,2022-08-01,2022-08-01T12:01:49Z,098
0.52,0.853,118.3,9.06,232.1,0.083,0.09,200.1,0.4,130,0.42,8.58,29.222,0.898,36.60882,-93.31411,276,985.4,2022-08-01,2022-08-01T12:01:50Z,098
0.51,0.946,118.3,9.06,232.2,0.092,0.09,200.1,0.37,130,0.51,8.58,29.22,0.96,36.60882,-93.3141,276.3,985.3,2022-08-01,2022-08-01T12:01:51Z,098
0.49,1.011,118.3,9.06,232.3,0.099,0.09,200,0.38,130,0.55,8.58,29.219,1.059,36.60882,-93.3141,276.3,985.4,2022-08-01,2022-08-01T12:01:52Z,098
0.54,1.168,118.3,9.06,232.4,0.114,0.09,200,0.34,130,0.38,8.58,29.214,1.215,36.60883,-93.3141,276.5,985.4,2022-08-01,2022-08-01T12:01:54Z,098
0.58,1.283,118.4,9.07,232.4,0.125,0.09,200.1,0.34,130,0.42,8.58,29.203,1.33,36.60883,-93.3141,276.6,985.3,2022-08-01,2022-08-01T12:01:55Z,098
