chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber,depthDiff_m,verticalPositionDiff_m
0.63,0.001,121.9,9.28,200.1,0,0.1,214.3,0.44,139,3.89,8.77,29.57,0.007,39.39789,-94.55147,256.7,985.9,2022-07-12,2022-07-12T11:15:15Z,072,0.08499999999999999,0.13599999999999998
0.69,0.086,122.3,9.3,200.4,0.008,0.11,234.5,0.59,152,4.05,8.77,29.615,0.143,39.39789,-94.55147,256.7,986.1,2022-07-12,2022-07-12T11:15:16Z,072,0.11000000000000001,0.093
0.84,0.196,122.5,9.31,200.4,0.019,0.11,241.5,0.54,157,4.05,8.77,29.613,0.236,39.39789,-94.55147,256.7,985.9,2022-07-12,2022-07-12T11:15:17Z,072,0.16699999999999998,0.179
0.89,0.363,122.9,9.36,200.3,0.035,0.11,243.7,0.52,158,4.26,8.78,29.55,0.415,39.39789,-94.55147,256.8,985.9,2022-07-12,2022-07-12T11:15:18Z,072,0.11199999999999999,0.11600000000000005
0.97,0.475,123.1,9.38,200.2,0.046,0.11,243.9,0.57,159,4.3,8.78,29.512,0.531,39.39789,-94.55147,256.7,986.1,2022-07-12,2022-07-12T11:15:19Z,072,0.20000000000000007,0.20299999999999996
1.19,0.675,123.4,9.41,200.1,0.066,0.11,243.8,0.62,158,4.49,8.78,29.409,0.734,39.39789,-94.55147,256.7,986,2022-07-12,2022-07-12T11:15:20Z,072,0.1519999999999999,0.14
1.28,0.827,123.6,9.44,200,0.081,0.11,243.8,0.68,158,4.46,8.79,29.344,0.874,39.39789,-94.55147,256.7,986,2022-07-12,2022-07-12T11:15:21Z,072,0.1060000000000001,0.132
1.39,0.933,123.8,9.46,200,0.091,0.11,243.7,0.79,158,4.48,8.79,29.259,1.006,39.39789,-94.55147,256.7,986.1,2022-07-12,2022-07-12T11:15:22Z,072,0.21399999999999997,0.16900000000000004
1.45,1.147,124.1,9.51,200.1,0.112,0.11,243.4,0.84,158,4.28,8.79,29.136,1.175,39.39789,-94.55148,256.6,986.1,2022-07-12,2022-07-12T11:15:23Z,072,0.14700000000000002,0.19900000000000007
1.47,1.294,124.3,9.54,200.2,0.126,0.11,243.4,0.88,158,4.4,8.79,29.041,1.374,39.39789,-94.55148,256.6,986.1,2022-07-12,2022-07-12T11:15:24Z,072,0.18599999999999994,0.1589999999999998
1.38,1.48,124,9.53,200.4,0.145,0.11,243.4,0.86,158,4.48,8.79,29.029,1.533,39.39789,-94.55148,256.5,986,2022-07-12,2022-07-12T11:15:25Z,072,0.18599999999999994,0.22100000000000009
1.35,1.666,123.6,9.5,200.5,0.163,0.11,243.4,0.78,158,4.54,8.78,29.012,1.754,39.39789,-94.55148,256.5,986.1,2022-07-12,2022-07-12T11:15:26Z,072,0.125,0.09400000000000008
1.33,1.791,123.2,9.47,200.7,0.175,0.11,243.5,0.82,158,4.48,8.77,28.962,1.848,39.39789,-94.55148,256.5,986,2022-07-12,2022-07-12T11:15:27Z,072,0.20100000000000007,0.18899999999999983
1.18,1.992,121.9,9.38,201.2,0.195,0.11,243.7,0.82,158,4.47,8.75,28.92,2.037,39.39789,-94.55148,256.4,986,2022-07-12,2022-07-12T11:15:28Z,072,0.14100000000000001,0.16400000000000015
