chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber,depthDiff_m,verticalPositionDiff_m
1.01,0.202,103.2,8.21,147,0.02,0.1,215.2,0.67,140,1.57,8.65,27.053,0.208,39.52171,-91.64633,175.7,990.8,2022-08-29,2022-08-29T12:01:07Z,145,0.044999999999999984,0.059000000000000025
1.06,0.247,103.2,8.21,146.8,0.024,0.1,215.1,0.65,140,1.46,8.65,27.061,0.267,39.52171,-91.64633,175.9,990.7,2022-08-29,2022-08-29T12:01:08Z,145,0.04799999999999999,0.056999999999999995
1.07,0.295,103.2,8.21,146.5,0.029,0.1,215.1,0.57,140,1.47,8.65,27.07,0.324,39.52171,-91.64633,176,990.7,2022-08-29,2022-08-29T12:01:09Z,145,0.05499999999999999,0.04199999999999998
1.12,0.35,103.2,8.21,146.1,0.034,0.1,215.1,0.63,140,1.44,8.65,27.072,0.366,39.5217,-91.64633,175.8,990.8,2022-08-29,2022-08-29T12:01:10Z,145,0.062,0.069
1.22,0.412,103.1,8.2,145.9,0.04,0.1,215.2,0.72,140,1.6,8.65,27.044,0.435,39.5217,-91.64633,175.9,990.7,2022-08-29,2022-08-29T12:01:11Z,145,0.10100000000000003,0.10800000000000004
1.28,0.513,102.9,8.19,145.7,0.05,0.1,215.3,0.73,140,1.57,8.65,27.016,0.543,39.5217,-91.64632,176,990.8,2022-08-29,2022-08-29T12:01:12Z,145,0.06999999999999995,0.07399999999999995
1.37,0.643,102.7,8.18,145.2,0.063,0.1,215.2,0.84,140,1.57,8.65,26.976,0.642,39.5217,-91.64632,176.5,990.7,2022-08-29,2022-08-29T12:01:14Z,145,0.051999999999999935,0.08499999999999996
1.46,0.695,102.7,8.18,145,0.068,0.1,215.3,0.8,140,1.67,8.65,26.949,0.727,39.5217,-91.64632,176.7,990.8,2022-08-29,2022-08-29T12:01:15Z,145,0.08300000000000007,0.08300000000000007
1.74,0.856,102.7,8.19,144.1,0.084,0.1,215.1,0.85,140,1.71,8.66,26.92,0.855,39.5217,-91.64632,176.6,990.9,2022-08-29,2022-08-29T12:01:19Z,145,0.08399999999999996,0.125
1.76,0.94,102.7,8.19,143.8,0.092,0.1,215.1,0.95,140,1.72,8.66,26.912,0.98,39.5217,-91.64632,176.8,990.7,2022-08-29,2022-08-29T12:01:20Z,145,0.09699999999999998,0.08800000000000008
1.79,1.055,102.7,8.19,143.3,0.103,0.1,215.1,0.92,140,1.6,8.66,26.899,1.06,39.5217,-91.64632,176.2,990.8,2022-08-29,2022-08-29T12:01:23Z,145,0.03400000000000003,0.06400000000000006
1.84,1.089,102.7,8.19,143,0.106,0.1,215.1,0.91,140,1.7,8.66,26.901,1.124,39.5217,-91.64632,176,990.8,2022-08-29,2022-08-29T12:01:24Z,145,0.08699999999999997,0.10299999999999998
1.9,1.176,102.7,8.19,142.8,0.115,0.1,215,0.95,140,1.82,8.65,26.897,1.227,39.5217,-91.64631,175.8,990.9,2022-08-29,2022-08-29T12:01:25Z,145,0.11499999999999999,0.097999999999999865
1.92,1.291,102.7,8.2,142.6,0.126,0.1,215.1,0.94,140,1.8,8.65,26.887,1.325,39.5217,-91.64631,175.8,990.8,2022-08-29,2022-08-29T12:01:26Z,145,0.08800000000000008,0.06899999999999995
1.92,1.379,102.7,8.19,142.4,0.135,0.1,215.1,0.92,140,1.71,8.65,26.883,1.394,39.52169,-91.64631,175.8,990.7,2022-08-29,2022-08-29T12:01:27Z,145,0.07899999999999996,0.09800000000000009
1.94,1.458,102.6,8.19,142.2,0.142,0.1,215.1,1.04,140,1.68,8.65,26.883,1.492,39.52169,-91.64631,175.8,990.7,2022-08-29,2022-08-29T12:01:28Z,145,0.10200000000000009,0.1439999999999999
2.03,1.56,102.6,8.19,142,0.152,0.1,215.1,1.06,140,1.75,8.65,26.881,1.636,39.52169,-91.64631,175.8,990.8,2022-08-29,2022-08-29T12:01:29Z,145,0.16700000000000004,0.14300000000000002
2,1.727,102.5,8.18,141.8,0.169,0.1,215,1.04,140,1.77,8.66,26.877,1.779,39.52169,-91.6463,175.6,990.8,2022-08-29,2022-08-29T12:01:30Z,145,0.14500000000000002,0.123
1.92,1.872,102.4,8.17,141.5,0.183,0.1,215,1.05,140,1.73,8.66,26.875,1.902,39.52169,-91.6463,175.6,990.8,2022-08-29,2022-08-29T12:01:31Z,145,0.1409999999999998,0.16300000000000003
1.89,2.013,102.4,8.17,141.3,0.197,0.1,215.1,1.08,140,1.68,8.66,26.874,2.065,39.52169,-91.6463,175.4,990.8,2022-08-29,2022-08-29T12:01:32Z,145,0.08800000000000008,0.03600000000000003
1.96,2.101,102.3,8.17,141.1,0.205,0.1,215.1,1.06,140,1.74,8.66,26.875,2.101,39.52169,-91.6463,175.3,990.7,2022-08-29,2022-08-29T12:01:33Z,145,0.03699999999999992,0.052999999999999936
