chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber,depthDiff_m,verticalPositionDiff_m
0.85,0.03,57,4.51,182.7,0.003,0.09,201.8,1.42,131,5.41,7.66,27.308,0.031,39.03547,-93.36586,216.5,990.8,2022-07-27,2022-07-27T07:56:10Z,150,0.006999999999999999,0.020999999999999998
0.89,0.037,57,4.52,182.6,0.004,0.09,201.4,1.55,131,5.82,7.66,27.308,0.052,39.03547,-93.36585,216.5,990.8,2022-07-27,2022-07-27T07:56:11Z,150,0.04700000000000001,0.061000000000000006
0.89,0.084,57.1,4.52,182.6,0.008,0.09,201.3,1.54,131,5.46,7.66,27.309,0.113,39.03547,-93.36585,216.5,990.8,2022-07-27,2022-07-27T07:56:12Z,150,0.06999999999999999,0.06699999999999999
0.88,0.154,57.1,4.52,182.8,0.015,0.09,201.3,1.37,131,5.84,7.66,27.312,0.18,39.03547,-93.36585,216.4,990.8,2022-07-27,2022-07-27T07:56:13Z,150,0.099,0.11299999999999999
0.83,0.253,57.2,4.53,182.8,0.025,0.09,201.1,1.43,131,6.17,7.66,27.313,0.293,39.03547,-93.36585,216.4,990.9,2022-07-27,2022-07-27T07:56:14Z,150,0.10499999999999998,0.11300000000000004
0.78,0.358,57.2,4.53,182.8,0.035,0.09,201.7,1.63,131,5.4,7.66,27.315,0.406,39.03547,-93.36585,216.3,990.8,2022-07-27,2022-07-27T07:56:15Z,150,0.11499999999999999,0.08599999999999997
0.82,0.473,57.2,4.53,182.9,0.046,0.09,201.6,1.41,131,4.55,7.66,27.319,0.492,39.03547,-93.36585,216.2,990.8,2022-07-27,2022-07-27T07:56:16Z,150,0.04800000000000004,0.03300000000000003
0.84,0.521,57.2,4.53,183,0.051,0.09,200.7,1.27,130,4.53,7.65,27.32,0.525,39.03548,-93.36586,216.2,990.8,2022-07-27,2022-07-27T07:56:17Z,150,0.04799999999999993,0.08899999999999997
0.9,0.569,57.2,4.53,183,0.056,0.09,200.9,1.4,131,5.53,7.65,27.324,0.614,39.03548,-93.36586,216.2,990.7,2022-07-27,2022-07-27T07:56:18Z,150,0.10200000000000009,0.09099999999999997
0.87,0.671,57.2,4.53,183,0.066,0.09,201.8,1.35,131,5.96,7.65,27.329,0.705,39.03548,-93.36586,216.3,990.8,2022-07-27,2022-07-27T07:56:19Z,150,0.09699999999999998,0.10400000000000009
