Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
149_2018_09_06.csv,149,2018,09,06,csv,Yes,2023-06-25,2018-09-06,20.705833333333334,38.19139523469388,-92.53585168367347,197.7393537414966,996.0377777777778,-0.01,-0.006944444444444445,4828,403,245,149_2018_09_06_Level1.csv
149_2018_09_26.csv,149,2018,09,26,csv,Yes,2023-06-25,2018-09-26,22.974999999999998,38.204571484375,-92.62700286458333,196.62074652777778,999.8226851851852,-0.01,-0.01,2847,950,384,149_2018_09_26_Level1.csv
150_2018_06_13.csv,150,2018,06,13,csv,Yes,2023-06-25,2018-06-13,4.625,NA,NA,NA,991.1999999999999,0.21,0.22166666666666668,129,129,98,150_2018_06_13_Level1.csv
150_2018_06_13_P.csv,150,2018,06,13,P,Yes,2023-06-25,2018-06-13,4.625,NA,NA,NA,991.1999999999999,0.21,0.22166666666666668,129,129,98,150_2018_06_13_P_Level1.csv
150_2018_07_06_P.csv,150,2018,07,06,P,Yes,2023-06-25,2018-07-06,4.503,NA,NA,NA,1001.4153846153846,0.17,0.17,163,163,78,150_2018_07_06_P_Level1.csv
150_2018_07_11_P.csv,150,2018,07,11,P,Yes,2023-06-25,2018-07-11,4.515,NA,NA,NA,990.74375,0.25,0.25,93,93,64,150_2018_07_11_P_Level1.csv
150_2018_08_01_P.csv,150,2018,08,01,P,Yes,2023-06-25,2018-08-01,4.606166666666667,NA,NA,NA,989.9352826510722,0.27,0.2873611111111111,816,69,57,150_2018_08_01_P_Level1.csv
161_2018_05_22.csv,161,2018,05,22,csv,Yes,2023-06-25,2018-05-22,5.181,NA,NA,NA,986.9310924369748,0.22,0.22333333333333333,234,234,119,161_2018_05_22_Level1.csv
161_2018_06_12.csv,161,2018,06,12,csv,Yes,2023-06-25,2018-06-12,5.193,NA,NA,NA,983.7319298245613,0.15,0.165,128,128,95,161_2018_06_12_Level1.csv
161_2018_07_10.csv,161,2018,07,10,csv,Yes,2023-06-25,2018-07-10,4.624,NA,NA,NA,989.985046728972,0.25,0.25,126,126,107,161_2018_07_10_Level1.csv
161_2018_07_31.csv,161,2018,07,31,csv,Yes,2023-06-25,2018-07-31,6.191833333333333,NA,NA,NA,987.9677559912855,0.25,0.2554166666666667,1337,112,102,161_2018_07_31_Level1.csv
179_2018_06_20_P.csv,179,2018,06,20,P,Yes,2023-06-25,2018-06-20,8.639,NA,NA,NA,969.1113438045375,0.07,0.07333333333333333,211,211,191,179_2018_06_20_P_Level1.csv
179_2018_07_18_P.csv,179,2018,07,18,P,Yes,2023-06-25,2018-07-18,6.471,NA,NA,NA,976.7638242894058,0.12,0.12166666666666666,151,151,129,179_2018_07_18_P_Level1.csv
179_2018_08_08_P.csv,179,2018,08,08,P,Yes,2023-06-25,2018-08-08,7.478166666666667,NA,NA,NA,977.0912621359223,0.17,0.17430555555555555,1399,118,103,179_2018_08_08_P_Level1.csv
179_2018_09_12.csv,179,2018,09,12,csv,Yes,2023-06-25,2018-09-12,9.008,40.34974856410256,-95.13307035897436,296.8333333333333,982.3986324786325,-0.01,-0.011666666666666667,366,366,195,179_2018_09_12_Level1.csv
180_2018_06_20_P.csv,180,2018,06,20,P,Yes,2023-06-25,2018-06-20,9.257,NA,NA,NA,971.8496644295302,0.15,0.15,189,189,149,180_2018_06_20_P_Level1.csv
180_2018_07_18_P.csv,180,2018,07,18,P,Yes,2023-06-25,2018-07-18,8.075,NA,NA,NA,978.918820861678,0.09,0.09333333333333334,191,191,147,180_2018_07_18_P_Level1.csv
180_2018_08_08_P.csv,180,2018,08,08,P,Yes,2023-06-25,2018-08-08,8.842916666666667,NA,NA,NA,979.8595387840671,0.19,0.19791666666666669,1409,118,106,180_2018_08_08_P_Level1.csv
180_2018_09_12.csv,180,2018,09,12,csv,Yes,2023-06-25,2018-09-12,8.995,NA,NA,NA,982.3964102564103,-0.01,-0.011666666666666667,366,366,260,180_2018_09_12_Level1.csv
181_2018_06_20_P.csv,181,2018,06,20,P,Yes,2023-06-25,2018-06-20,10.753,NA,NA,NA,970.7433333333333,0.09,0.095,210,210,160,181_2018_06_20_P_Level1.csv
181_2018_07_18_P.csv,181,2018,07,18,P,Yes,2023-06-25,2018-07-18,10.847,NA,NA,NA,977.969430894309,0.04,0.04,228,228,205,181_2018_07_18_P_Level1.csv
181_2018_08_08_P.csv,181,2018,08,08,P,Yes,2023-06-25,2018-08-08,10.770166666666666,NA,NA,NA,978.1429738562092,0.17,0.17152777777777778,1792,150,136,181_2018_08_08_P_Level1.csv
