MULakeNumber,site_latitude,site_longitude
003,39.34149333282925,-91.1530222564769
005,39.0211393663103,-90.92002121569502
011,38.358557212553194,-91.53873872515143
012,38.5679854508257,-91.79074674608307
013,38.60129281481481,-92.30233803703705
014,38.31519951703886,-90.598564804082
018,37.89854191839735,-90.6294678375011
019,37.89568602111851,-90.6217962336892
021,37.98186088247506,-90.32275930570579
030,36.93059461179911,-90.28486798700355
032,36.65865248370248,-90.95477765984931
033,36.636470618205536,-91.05273980630596
036,37.13885440188656,-90.77463495970815
037,37.49799680365297,-90.83453636986302
038,37.591445403225805,-90.5648816935484
039,37.72901536714822,-90.91333111712017
042,39.190299159070726,-92.20880500643462
043,39.157433211371725,-92.71336182391605
044,39.165475708721246,-92.73082432048653
045,39.59108844534883,-92.89048951100492
046,39.569585367168735,-92.64075434346489
048,39.75833849958752,-92.51569063844846
049,39.748874663621265,-92.49423835274231
051,40.500109084364816,-93.024682841825
057,40.18056188886367,-91.8281598564995
070,38.68696830609225,-94.3585371916277
072,39.39962174221953,-94.55061251798394
074,39.39413520968361,-94.26218256656564
085,40.48721256735268,-93.55312641742833
087,39.79612510057057,-93.02742500912746
088,39.662882288743305,-92.99621358889776
089,38.26703541758466,-93.40601194666189
090,38.304220334109395,-93.94339301380182
091,38.00644070923466,-94.04796867901558
092,37.900552737458106,-93.31731790698221
093,37.68526248887413,-93.76182112454532
094,37.480289809290184,-94.26070566326317
094-EA-05-00,37.48220560636857,-94.24331957723577
094-EA-05-02,37.482964251656306,-94.24586920946221
094-MD-04-00,37.482969237542626,-94.25171114330047
094-NA-05-00,37.485745180868186,-94.25080721652691
094-SA-03-00,37.47958849218606,-94.25313517407459
096,37.31362182713152,-93.20147950216207
098,36.59484697228573,-93.31366653217394
110,37.995773208145565,-91.69103641728692
111,38.10279202421124,-91.4558346469133
112,37.89807693514243,-90.64295028144188
114,40.0063929308709,-91.97578956476973
115,39.70844320688558,-91.86214779456353
117,38.906386713563414,-92.12258558548602
118,38.83511559717222,-94.38237992615616
119,39.40072612615741,-92.84289626494565
120,38.813382722267875,-94.35342590072285
121,39.06254264276467,-93.66959031749187
123,39.807081419345856,-92.05115829034757
133,40.17288347271421,-92.65406627014646
139,39.67991417842649,-92.9746456596891
140,39.76245187210934,-94.26139772498279
143,40.28703418699187,-94.0255706097561
145,39.51989281333075,-91.64964560822249
146,37.41834639344262,-90.6181418852459
149,38.206380505537595,-92.62740498171317
149-GG-20-04,38.10113076923077,-92.65719907692308
149-NA-32-10,38.01908145833333,-92.82750208333331
150,39.034054966755264,-93.36696600616364
162,38.98996888111888,-93.78043629370627
163,40.0210732944338,-94.43717715793667
165,38.888991429009934,-94.32393817925976
167,38.88517799130775,-94.31769280467181
168,38.87986604170004,-94.32299526286951
169,38.87402963768292,-94.31508582828728
170,38.86996167842868,-94.33970148939626
179,40.427092379015974,-94.85756760721299
180,40.354161792273274,-95.11687786063527
181,40.350878346199195,-94.77769366922739
182,40.49794785226231,-91.76692529653567
183,38.84578892838168,-93.77748988620233
184,38.59101883625418,-92.8064521247967
185,40.39691240100595,-94.08321779847722
186,37.73085954488316,-90.63408497147877
197,38.70941187666625,-90.6905592887665
210,38.993973295454545,-92.4888334090909
211,39.76290278713659,-94.25829500823983
213,39.77379008311739,-94.27196939609394
216,38.965606538461536,-91.73466455128204
219,38.99406804007928,-92.48903113436762
228,39.99827986152806,-93.84273203826909
232,39.151123047787536,-92.38522984545139
236,38.94724981981982,-91.90898648648648
241,38.896172764086295,-92.2939714581196
248,38.778873745704466,-92.6013804467354
258,38.47764913793103,-92.39735646551723
265,38.463536172289466,-94.60768449340145
269,37.59180272835785,-90.6577780202485
274,38.750112758307665,-91.08147381995764
276,38.75550139332877,-92.20631259796127
308,38.95068522978462,-92.30708699314987
411,38.8955147113538,-92.35311994103114
420,38.47442768602583,-91.39038790660251
423,38.47343010623239,-91.26764941188536
432,38.66446086582693,-94.33905546255907
433,38.66198867339638,-94.34587841893766
438,38.90141151445699,-92.34237572578408
440,38.893720675849536,-91.73739358606211
446-01-00,44.22442625985434,-93.55670113006484
446-02-00,44.221616805555556,-93.56584368055556
454,38.333799385263326,-90.6544906366229
455,39.476677545326154,-94.31687956301931
