MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,site_latitude,site_longitude
111,Indian Hills,38.1075,-91.4575,38.10279202421124,-91.4558346469133
112,Shayne,37.8976,-90.6413,37.89807693514243,-90.64295028144188
113,Pape (Concordia),38.9331,-93.5814,NA,NA
114,Henry Sever,40.0058,-91.975,40.0063929308709,-91.97578956476973
115,Hunnewell,39.7072,-91.8619,39.70844320688558,-91.86214779456353
116,Jacomo,38.9931,-94.3078,NA,NA
117,Little Dixie,38.9056,-92.1222,38.906386713563414,-92.12258558548602
118,Raintree,38.835,-94.3817,38.83511559717222,-94.38237992615616
119,Sterling Price,39.4,-92.8433,39.40072612615741,-92.84289626494565
120,Winnebago,38.8181,-94.3561,38.813382722267875,-94.35342590072285
121,Higginsville,39.0617,-93.67,39.06254264276467,-93.66959031749187
122,Lewistown,40.0978,-91.8189,NA,NA
123,Shelbyville,39.8064,-92.0511,39.807081419345856,-92.05115829034757
124,Wyconda,40.3991,-91.9075,NA,NA
127,Clarence (East),39.7488,-92.2284,NA,NA
128,Clarence (West),39.7486,-92.2362,NA,NA
129,LaBelle City (East),40.0911,-91.8997,NA,NA
130,LaPlata (East),40.0117,-92.43,NA,NA
131,Hazel Creek,40.3,-92.6278,NA,NA
132,Lancaster City (South),40.5158,-92.5481,NA,NA
133,Forest,40.1714,-92.6548,40.17288347271421,-92.65406627014646
134,Jamesport City,39.9906,-93.8111,NA,NA
135,Trenton (Upper East),40.0795,-93.5775,NA,NA
137,Green City,40.2644,-92.9201,NA,NA
139,Marceline (North),39.7225,-92.9195,39.67597369701117,-93.08865986351948
140,Cameron (Century),39.7624,-94.2615,39.76245187210934,-94.26139772498279
141,Showme,40.4397,-92.2177,NA,NA
143,Bethany (South),40.2864,-94.0244,40.28703418699187,-94.0255706097561
144,Pinewoods,36.918,-90.7722,NA,NA
145,Mark Twain,39.5223,-91.6467,39.51989281333075,-91.64964560822249
146,Crane,37.4236,-90.6272,37.41834639344262,-90.6181418852459
148,Blue Springs,39.0141,-94.3371,NA,NA
149,Lake of the Ozarks,38.2039,-92.6236,38.206380505537595,-92.62740498171317
150,Blind Pony,39.0317,-93.3681,39.034054966755264,-93.36696600616364
152,Lafayette,37.8925,-90.5942,NA,NA
155,Weatherby,39.2283,-94.7031,NA,NA
157,Holden City,38.7611,-94.0344,NA,NA
158,Amarugia Highlands W.A.,38.5394,-94.4347,NA,NA
