Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
003_2022_05_31.csv,003,2022,05,31,csv,Yes,2023-08-07,2022-05-31,15.551,NA,NA,NA,985.8747863247863,-0.275,-0.25527777777777777,272,91,78,003_2022_05_31_Level1.csv
003_2022_06_21.csv,003,2022,06,21,csv,Yes,2023-08-07,2022-06-21,13.755,39.34163985815603,-91.15297312056737,240.20070921985817,991.9134751773049,0.3,0.30833333333333335,166,166,141,003_2022_06_21_Level1.csv
003_2022_07_18.csv,003,2022,07,18,csv,Yes,2023-08-07,2022-07-18,16.53666666666667,39.341345555555556,-91.15287916666666,239.00069444444443,986.8430555555556,0.06,0.056666666666666664,251,84,72,003_2022_07_18_Level1.csv
003_2022_08_08.csv,003,2022,08,08,csv,Yes,2023-08-07,2022-08-08,12.546,39.341596898734174,-91.1531408227848,238.5759493670886,987.7132911392405,0.13,0.12333333333333334,202,202,158,003_2022_08_08_Level1.csv
005_2022_05_31.csv,005,2022,05,31,csv,Yes,2023-08-07,2022-05-31,14.544,NA,NA,NA,994.5830985915493,-0.14,-0.12666666666666668,160,160,142,005_2022_05_31_Level1.csv
005_2022_06_21.csv,005,2022,06,21,csv,Yes,2023-08-07,2022-06-21,14.388,39.02084295081967,-90.92017945355191,168.60601092896175,999.5874316939891,0.21,0.21,236,236,183,005_2022_06_21_Level1.csv
005_2022_07_18.csv,005,2022,07,18,csv,Yes,2023-08-07,2022-07-18,13.555666666666667,39.02099675,-90.92028499999999,169.3775,994.5566666666667,0.08,0.07611111111111112,273,92,80,005_2022_07_18_Level1.csv
005_2022_08_08.csv,005,2022,08,08,csv,Yes,2023-08-07,2022-08-08,14.558,39.021038125000004,-90.9201575625,166.03375,995.97,0.2,0.20833333333333331,201,201,160,005_2022_08_08_Level1.csv
011_2022_06_16.csv,011,2022,06,16,csv,Yes,2023-08-07,2022-06-16,6.846,NA,NA,NA,990.8493150684931,0.24,0.25,168,168,73,011_2022_06_16_Level1.csv
011_2022_07_06.csv,011,2022,07,06,csv,Yes,2023-08-07,2022-07-06,14.545,38.35868885714286,-91.53852742857143,233.27857142857144,986.5914285714285,0.11,0.11,213,213,140,011_2022_07_06_Level1.csv
011_2022_07_29.csv,011,2022,07,29,csv,Yes,2023-08-07,2022-07-29,14.445,38.35888693548387,-91.53929588709677,232.44032258064516,992.0370967741935,0.2,0.20666666666666667,131,131,124,011_2022_07_29_Level1.csv
