Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,Level1FileName
039_2019_05_30.csv,039,2019,05,30,csv,Yes,2023-06-19,2019-05-30,14.852,NA,NA,NA,974.1564625850341,6.03,5.986666666666666,039_2019_05_30_Level1.csv
039_2019_06_19.csv,039,2019,06,19,csv,Yes,2023-06-19,2019-06-19,17.466,NA,NA,NA,968.8181818181819,3.76,3.775,039_2019_06_19_Level1.csv
039_2019_07_17.csv,039,2019,07,17,csv,Yes,2023-06-19,2019-07-17,14.848,NA,NA,NA,976.9060428849903,1.34,1.44,039_2019_07_17_Level1.csv
042_2019_07_24.csv,042,2019,07,24,csv,Yes,2023-06-19,2019-07-24,4.997,39.19016433962264,-92.20887113207547,245.76037735849056,996.3748427672956,0.21,0.215,042_2019_07_24_Level1.csv
042_2019_08_03.csv,042,2019,08,03,csv,Yes,2023-06-19,2019-08-03,4.699,39.1903135,-92.20901425,245.56,992.33,-0.03,-0.023333333333333334,042_2019_08_03_Level1.csv
042_2019_09_03.csv,042,2019,09,03,csv,Yes,2023-06-19,2019-09-03,5.122,39.19042280701755,-92.2085347368421,247.17543859649123,989.059649122807,0.11,0.11833333333333333,042_2019_09_03_Level1.csv
048_2019_05_22.csv,048,2019,05,22,csv,Yes,2023-06-19,2019-05-22,10.276,NA,NA,NA,978.9277777777778,0.17,0.17,048_2019_05_22_Level1.csv
048_2019_06_12.csv,048,2019,06,12,csv,Yes,2023-06-19,2019-06-12,11.693,NA,NA,NA,987.3775280898876,0.08,0.08,048_2019_06_12_Level1.csv
057_2019_06_11.csv,057,2019,06,11,csv,Yes,2023-06-19,2019-06-11,6.484,NA,NA,NA,996.5035087719298,0.09,0.08166666666666667,057_2019_06_11_Level1.csv
057_2019_07_09.csv,057,2019,07,09,csv,Yes,2023-06-19,2019-07-09,7.712,NA,NA,NA,990.050936329588,-0.02,-0.015,057_2019_07_09_Level1.csv
057_2019_07_31.csv,057,2019,07,31,csv,Yes,2023-06-19,2019-07-31,7.025,NA,NA,NA,996.9541666666667,0.26,0.265,057_2019_07_31_Level1.csv
059_2019_05_23.csv,059,2019,05,23,csv,Yes,2023-06-19,2019-05-23,3.215,NA,NA,NA,995.2744186046511,1.01,1.045,059_2019_05_23_Level1.csv
059_2019_06_12.csv,059,2019,06,12,csv,Yes,2023-06-19,2019-06-12,3.462,NA,NA,NA,989.6432432432432,0.2,0.2,059_2019_06_12_Level1.csv
059_2019_07_10.csv,059,2019,07,10,csv,Yes,2023-06-19,2019-07-10,3.849,NA,NA,NA,990.1649717514124,0.38,0.39,059_2019_07_10_Level1.csv
059_2019_08_01.csv,059,2019,08,01,csv,Yes,2023-06-19,2019-08-01,4.339,NA,NA,NA,997.6843537414966,0.77,0.85,059_2019_08_01_Level1.csv
070_2019_06_04.csv,070,2019,06,04,csv,Yes,2023-06-19,2019-06-04,4.639,NA,NA,NA,980.7457627118645,0.12,0.12,070_2019_06_04_Level1.csv
070_2019_07_23.csv,070,2019,07,23,csv,Yes,2023-06-19,2019-07-23,5.034,NA,NA,NA,992.0594871794872,0.57,0.6,070_2019_07_23_Level1.csv
070_2019_08_13.csv,070,2019,08,13,csv,Yes,2023-06-19,2019-08-13,4.977,NA,NA,NA,982.0561403508772,0.4,0.41833333333333333,070_2019_08_13_Level1.csv
072_2019_05_22.csv,072,2019,05,22,csv,Yes,2023-06-19,2019-05-22,7.941,39.400160769230766,-94.55460076923077,260.31538461538463,980.2871794871795,5.23,5.99,072_2019_05_22_Level1.csv
072_2019_06_10.csv,072,2019,06,10,csv,Yes,2023-06-19,2019-06-10,14.743,39.39722488986784,-94.55318273127753,260.76828193832597,999.8725403817915,0.16,0.16833333333333333,072_2019_06_10_Level1.csv
072_2019_07_18.csv,072,2019,07,18,csv,Yes,2023-06-19,2019-07-18,9.602,39.39934169590643,-94.55403467836257,257.26783625730997,984.072514619883,-0.07,-0.07,072_2019_07_18_Level1.csv
072_2019_08_19.csv,072,2019,08,19,csv,Yes,2023-06-19,2019-08-19,15.059,39.399171291512914,-94.55463424354244,258.6280442804428,988.1259532595326,-0.08,-0.07500000000000001,072_2019_08_19_Level1.csv
074_2019_06_03.csv,074,2019,06,03,csv,Yes,2023-06-19,2019-06-03,7.802,NA,NA,NA,984.6484848484848,0.06,0.06,074_2019_06_03_Level1.csv
