MULakeNumber,waterBody,waterBodyLatitude_degree,waterBodyLongitude_degree,notes,elevation_m_extract
105,Austin,37.1619,-92.1853,NA,444.69
106,Roby,37.5186,-92.123,NA,373.28
107,Ziske,37.6478,-91.5072,NA,357.51
108,Turner,37.6472,-91.5139,NA,353.52
109,Loggers,37.3871,-91.2624,NA,307.27
110,Little Prairie,37.9969,-91.6917,NA,314.07
111,Indian Hills,38.1075,-91.4575,NA,270.89
112,Shayne,37.8976,-90.6413,NA,270.77
113,Pape (Concordia),38.9331,-93.5814,NA,212.75
114,Henry Sever,40.0058,-91.975,NA,200.81
115,Hunnewell,39.7072,-91.8619,NA,208.11
116,Jacomo,38.9931,-94.3078,NA,255.96
117,Little Dixie,38.9056,-92.1222,NA,254.92
118,Raintree,38.835,-94.3817,NA,294.31
119,Sterling Price,39.4,-92.8433,NA,204.64
120,Winnebago,38.8181,-94.3561,NA,279.8
121,Higginsville,39.0617,-93.67,NA,230.05
122,Lewistown,40.0978,-91.8189,NA,208.64
123,Shelbyville,39.8064,-92.0511,NA,220.62
124,Wyconda,40.3991,-91.9075,NA,211.76
127,Clarence (East),39.7488,-92.2284,NA,234.3
128,Clarence (West),39.7486,-92.2362,NA,237.06
129,LaBelle City (East),40.0911,-91.8997,NA,207.75
130,LaPlata (East),40.0117,-92.43,NA,266.17
131,Hazel Creek,40.3,-92.6278,NA,257.61
132,Lancaster City (South),40.5158,-92.5481,NA,278.85
133,Forest,40.1714,-92.6548,NA,242.76
134,Jamesport City,39.9906,-93.8111,NA,270.97
135,Trenton (Upper East),40.0795,-93.5775,NA,240.89
137,Green City,40.2644,-92.9201,NA,305.06
139,Marceline (North),39.7225,-92.9195,NA,248.99
140,Cameron (Century),39.7624,-94.2615,NA,285.9
141,Showme,40.4397,-92.2177,NA,234.2
143,Bethany (South),40.2864,-94.0244,NA,274.72
144,Pinewoods,36.918,-90.7722,NA,237.89
145,Mark Twain,39.5223,-91.6467,NA,183.88
146,Crane,37.4236,-90.6272,NA,263.88
148,Blue Springs,39.0141,-94.3371,NA,244.6
149,Lake of the Ozarks,38.2039,-92.6236,NA,169.97
149-04-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-04-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-04-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-04-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-04-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-08-00,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-08-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-08-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-08-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-08-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-08-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-16-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-16-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-16-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-16-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-16-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-18-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-18-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-18-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-18-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-28-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-28-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-28-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-28-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-28-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-39-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-39-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-39-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-39-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-39-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-45-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-45-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-45-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-45-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-60-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-60-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-60-21,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-60-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GA-02-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GA-02-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GA-02-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GA-02-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GA-02-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GG-03-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GG-03-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GG-03-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GG-03-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GG-03-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-GG-20-04,NA,38.10113076923077,-92.65719907692308,NA,199.67
149-NA-32-10,NA,38.01908145833333,-92.82750208333331,NA,199.67
149-NA-33-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-33-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-33-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-33-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-33-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-40-10,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-40-20,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-40-30,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-40-40,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
149-NA-40-50,NA,NA,NA,See MULakeNumber: 149 for lake location. Email corresponding author for exact site location,NA
150,Blind Pony,39.0317,-93.3681,NA,219.04
152,Lafayette,37.8925,-90.5942,NA,235.38
155,Weatherby,39.2283,-94.7031,NA,269.2
157,Holden City,38.7611,-94.0344,NA,243.53
158,Amarugia Highlands W.A.,38.5394,-94.4347,NA,252.52
159,Harmony Mission C.A.,38.0735,-94.4288,NA,260.81
160,Four Rivers,38.015,-94.3367,NA,225.95
161,Bushwacker,37.6717,-94.4056,NA,246.12
162,Maple Leaf,38.9889,-93.7806,NA,237.37
163,King,40.02,-94.4372,NA,290.23
164,Elmwood,40.2244,-93.1156,NA,270.03
165,Jackrabbit,38.8886,-94.3228,NA,300.88
166,Catclaw,38.8892,-94.3167,NA,300.27
167,Cottontail,38.8831,-94.3161,NA,292.82
168,Nell,38.8797,-94.3228,NA,297.73
169,Gopher,38.8733,-94.3147,NA,284.48
170,Coot,38.8694,-94.3398,NA,296.33
178,Daniel Boone,39.7896,-92.2631,NA,225.89
179,Nodaway County,40.4264,-94.8578,NA,329.29
180,Bilby Ranch,40.3481,-95.1333,NA,301.02
181,Mozingo,40.3495,-94.7776,NA,321.73
182,Fox Valley,40.4977,-91.7668,NA,189.57
183,Hazel Hill,38.8458,-93.7779,NA,221.14
184,Manito,38.5911,-92.8072,NA,267
185,Harrison County,40.3988,-94.0871,NA,292.85
186,Carl DiSalvo,37.7297,-90.6347,NA,309.62
187,Belcher Branch,39.5839,-94.7331,NA,266.47
188,Big Oak,36.6403,-89.2919,NA,88.62
189,Butler City,38.2756,-94.4286,NA,240.55
190,Charity,40.4756,-95.5842,NA,290.7
191,Indian Creek,39.8975,-93.6957,NA,246.95
192,Jo Shelby,39.7168,-93.3222,NA,212.53
193,Busch 37,38.7133,-90.7913,NA,182.87
194,Lawson City,39.4547,-94.2022,NA,311.3
195,Limpp,40.0625,-94.5381,NA,313.45
196,Lone Jack,38.8917,-94.1942,NA,283.17
197,Prairie,38.7083,-90.6903,NA,173.48
198,Ray County,39.3092,-93.9939,NA,225.14
199,Rothwell,39.4183,-92.4617,NA,247.39
200,Savannah City,39.9492,-94.863,NA,316.81
201,Upper Big,36.9544,-89.3648,NA,97.95
202,Whiteside,39.1722,-91.0111,NA,229.68
203,Willow Brook,39.8722,-94.3811,NA,276.89
204,Worth County,40.3994,-94.5247,NA,327.79
210,NA,38.993973295454545,-92.4888334090909,NA,238.13
211,Cameron (Sunrise),39.7627,-94.2583,NA,287.63
212,Grindstone,39.773,-94.2942,NA,274.44
213,Cameron (Eagle),39.7739,-94.2722,NA,277.55
214,Bennitt,39.2448,-92.4586,NA,237.77
215,White,39.3264,-91.8642,NA,220.8
216,Big Whetstone,38.9657,-91.7347,NA,232.14
217,Windy Whetstone,38.9594,-91.7338,NA,237.2
218,Bucklin City,39.7672,-92.8814,NA,257.88
219,Dairy 1,38.9938,-92.489,NA,238.13
220,Dairy 3,38.9896,-92.4727,NA,239.17
221,Edina (Section 7),40.1844,-92.164,NA,234.84
222,Ewing,40.0211,-91.7171,NA,181.29
223,Greenly Farms,40.0171,-92.1924,NA,243.61
224,Happy Holler,40.0256,-94.7336,NA,287.12
225,Higbee Railroad,39.3052,-92.5193,NA,263.46
226,Higbee City,39.3109,-92.4961,NA,250.77
227,Horseshoe,38.9447,-91.7184,NA,238.93
228,Jamesport Community,39.9987,-93.8423,NA,251.11
229,King City (West),40.0641,-94.5127,NA,315.02
230,King City (East),40.0619,-94.5085,NA,315.02
231,LaPlata (West),40.0186,-92.4653,NA,268.86
