chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
4.3,0.046,89.5,7.79,188.3,0.005,0.14,288.4,0.78,187,7.75,7.02,22.165,0.053,38.68728,-94.3584,279.8,986.6,2021-05-25,2021-05-25T11:08:56Z,070
4.12,0.183,88.2,7.68,179.8,0.018,0.14,288.5,0.74,188,8.05,7.27,22.148,0.203,38.68727,-94.35838,279.8,986.6,2021-05-25,2021-05-25T11:09:21Z,070
3.91,0.248,88.1,7.68,179.5,0.024,0.14,288.5,0.73,187,7.91,7.28,22.135,0.295,38.68727,-94.35838,279.8,986.6,2021-05-25,2021-05-25T11:09:22Z,070
4.11,0.335,88,7.67,179.4,0.033,0.14,288.5,0.66,188,7.83,7.28,22.115,0.356,38.68727,-94.35838,279.8,986.5,2021-05-25,2021-05-25T11:09:23Z,070
4.09,0.454,87.6,7.64,179.1,0.044,0.14,288.8,0.74,188,7.85,7.29,22.078,0.491,38.68727,-94.35838,279.8,986.6,2021-05-25,2021-05-25T11:09:25Z,070
4.03,0.56,85.8,7.5,178.9,0.055,0.14,289,0.64,188,8.03,7.29,22.016,0.602,38.68727,-94.35838,279.8,986.6,2021-05-25,2021-05-25T11:09:28Z,070
3.76,0.655,85.1,7.43,179,0.064,0.14,289,0.54,188,8.03,7.29,21.97,0.675,38.68727,-94.35837,279.8,986.6,2021-05-25,2021-05-25T11:09:29Z,070
2.11,1.036,60.9,5.38,178.6,0.101,0.14,289.4,0.11,188,7.92,7.23,21.349,1.064,38.68726,-94.35836,279.3,986.7,2021-05-25,2021-05-25T11:09:56Z,070
1.64,1.388,48,4.29,178.8,0.136,0.14,289.7,-0.02,188,7.95,7.18,20.79,1.423,38.68726,-94.35836,279.3,986.6,2021-05-25,2021-05-25T11:10:18Z,070
1.59,1.582,45.5,4.08,178.8,0.155,0.14,289.5,0.01,188,8.14,7.17,20.63,1.624,38.68726,-94.35836,279.4,986.6,2021-05-25,2021-05-25T11:10:22Z,070
