dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
2021-07-21T09:13:27Z,2.4833333333333334,0.7193333333333333,119.3,9.296666666666667,160.7,0.07033333333333333,0.13,272.9,0.7366666666666667,177,1.5733333333333335,8.26,28.221,1.2686666666666666,38.21102333333333,-92.63096,198.6,996.0666666666667,2021-07-21,2021-07-21T09:13:27Z,149
2021-07-21T09:13:30Z,2.46,0.794,118.86666666666667,9.26,160.76666666666668,0.07766666666666666,0.13,272.9,0.7233333333333333,177,1.56,8.26,28.217,1.3326666666666667,38.21103,-92.63095666666666,199.03333333333333,996.0333333333333,2021-07-21,2021-07-21T09:13:30Z,149
2021-07-21T09:13:36Z,2.4233333333333333,0.9216666666666666,118.2,9.21,160.9,0.09,0.13,272.8666666666667,0.69,177,1.5466666666666666,8.25,28.211333333333332,1.3783333333333334,38.21103,-92.63096,199.06666666666666,996.1,2021-07-21,2021-07-21T09:13:36Z,149
2021-07-21T09:13:39Z,2.3933333333333335,0.9856666666666666,117.93333333333334,9.193333333333333,160.9,0.09633333333333334,0.13,272.9,0.69,177,1.54,8.25,28.209,1.5106666666666666,38.21103,-92.63096,198.76666666666668,996.0666666666667,2021-07-21,2021-07-21T09:13:39Z,149
2021-07-21T09:13:42Z,2.3933333333333335,1.2923333333333333,117.7,9.173333333333334,160.9,0.126,0.13,272.9,0.6966666666666667,177,1.52,8.25,28.205,1.6813333333333333,38.21103,-92.63096,198.8,996.0666666666667,2021-07-21,2021-07-21T09:13:42Z,149
2021-07-21T09:13:45Z,2.41,1.8313333333333333,117.4,9.153333333333334,160.93333333333334,0.179,0.13,272.9,0.6866666666666666,177,1.49,8.25,28.201,1.8353333333333333,38.21103,-92.63096,198.7,996.1,2021-07-21,2021-07-21T09:13:45Z,149
2021-07-21T09:13:48Z,2.4433333333333334,1.9666666666666668,117.1,9.13,161,0.19233333333333333,0.13,272.9,0.6766666666666667,177,1.4666666666666666,8.25,28.198,1.992,38.21103,-92.63096,198.63333333333333,996.1,2021-07-21,2021-07-21T09:13:48Z,149
2021-07-21T09:13:54Z,2.44,2.013,116.6,9.086666666666666,161,0.197,0.13,272.9,0.67,177,1.45,8.24,28.195,2.0140000000000002,38.21103,-92.63096,198.6,996.1,2021-07-21,2021-07-21T09:13:54Z,149
2021-07-21T09:13:57Z,2.4066666666666667,2.0183333333333335,116.33333333333333,9.066666666666666,161.1,0.19733333333333333,0.13,272.9,0.6566666666666667,177,1.4566666666666666,8.24,28.194666666666667,2.0523333333333333,38.21103,-92.63096,198.53333333333333,996.1333333333333,2021-07-21,2021-07-21T09:13:57Z,149
2021-07-21T09:14:00Z,2.3833333333333333,2.0376666666666665,116.13333333333333,9.053333333333335,161.1,0.199,0.13,272.96666666666664,0.6466666666666667,177,1.47,8.24,28.194,2.16,38.21103,-92.63096666666667,198.63333333333333,995.9666666666667,2021-07-21,2021-07-21T09:14:00Z,149
2021-07-21T09:14:03Z,2.3933333333333335,2.0736666666666665,115.96666666666667,9.043333333333333,161.2,0.20266666666666666,0.13,273,0.6333333333333333,177,1.4933333333333334,8.24,28.193,2.2896666666666667,38.21103,-92.63097,199,996.0666666666667,2021-07-21,2021-07-21T09:14:03Z,149
2021-07-21T09:14:06Z,2.39,2.1186666666666665,115.76666666666667,9.026666666666666,161.2,0.207,0.13,273,0.63,177,1.4866666666666666,8.24,28.19,2.4396666666666667,38.21103,-92.63097,199.2,996,2021-07-21,2021-07-21T09:14:06Z,149
2021-07-21T09:14:09Z,2.37,2.1723333333333334,115.56666666666666,9.013333333333334,161.2,0.212,0.13,273,0.63,177,1.4933333333333334,8.24,28.184333333333335,2.5816666666666666,38.21103,-92.63097,199.46666666666667,996,2021-07-21,2021-07-21T09:14:09Z,149
2021-07-21T09:14:12Z,2.36,2.2303333333333333,115.43333333333334,9,161.2,0.218,0.13,273,0.6166666666666667,177,1.5,8.24,28.175333333333334,2.7183333333333333,38.21103,-92.63097,199.83333333333334,996.0666666666667,2021-07-21,2021-07-21T09:14:12Z,149
2021-07-21T09:14:15Z,2.3433333333333333,2.5283333333333333,115.33333333333333,9,161.2,0.24733333333333332,0.13,273,0.61,177,1.48,8.24,28.162333333333333,2.8823333333333334,38.21103,-92.63097,200,996,2021-07-21,2021-07-21T09:14:15Z,149
2021-07-21T09:14:18Z,2.34,2.997,115.23333333333333,8.99,161.3,0.29266666666666663,0.13,273,0.6033333333333333,177,1.4533333333333334,8.24,28.144666666666666,2.9953333333333334,38.21103,-92.63097,199.93333333333334,996.0333333333333,2021-07-21,2021-07-21T09:14:18Z,149
