chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
1.89,0.462,43.5,3.63,58.9,0.045,0.12,257.7,0.21,167,15.51,7.6,24.501,0.477,39.76237,-94.26141,282.7,987.1,2021-07-12,2021-07-12T14:03:53Z,140
1.85,0.657,42.3,3.53,59.3,0.064,0.12,257.9,0.29,168,16.17,7.58,24.464,0.681,39.76237,-94.26141,282.8,987.1,2021-07-12,2021-07-12T14:03:57Z,140
1.71,0.916,42.8,3.57,59.8,0.09,0.12,258.1,0.12,168,16.35,7.56,24.446,0.948,39.76237,-94.26141,283,987.2,2021-07-12,2021-07-12T14:04:02Z,140
1.66,0.996,42.8,3.57,59.8,0.097,0.12,258,0.15,168,16.72,7.56,24.44,1.021,39.76237,-94.26141,283.1,987.1,2021-07-12,2021-07-12T14:04:03Z,140
1.63,1.268,43.5,3.63,60.3,0.124,0.12,258.7,0.13,168,17.77,7.54,24.388,1.304,39.76237,-94.26141,283.1,987.2,2021-07-12,2021-07-12T14:04:08Z,140
1.59,1.351,43,3.59,60.4,0.132,0.12,258.9,0.05,168,17.62,7.53,24.348,1.38,39.76237,-94.26141,283.2,987.2,2021-07-12,2021-07-12T14:04:09Z,140
1.61,1.616,39.7,3.32,60.8,0.158,0.12,258.8,0.1,168,17.46,7.51,24.337,1.639,39.76237,-94.26141,283.1,987.1,2021-07-12,2021-07-12T14:04:14Z,140
1.61,1.842,36,3.01,61.2,0.18,0.12,258.5,0.12,168,17.8,7.48,24.306,1.864,39.76237,-94.26141,282.7,987.2,2021-07-12,2021-07-12T14:04:18Z,140
1.59,1.899,34.9,2.92,61.3,0.186,0.12,258.6,0.13,168,17.97,7.48,24.283,1.926,39.76237,-94.26141,282.6,987.2,2021-07-12,2021-07-12T14:04:19Z,140
1.58,1.965,33.6,2.81,61.4,0.192,0.12,258.7,0.14,168,19.59,7.47,24.267,1.986,39.76237,-94.26141,282.6,987.1,2021-07-12,2021-07-12T14:04:20Z,140
1.92,2.528,17.9,1.52,63.2,0.247,0.12,262.9,0.18,171,46.22,7.39,23.731,2.544,39.76237,-94.26143,282.8,987.2,2021-07-12,2021-07-12T14:04:31Z,140
2.11,2.724,11.6,0.99,58.7,0.267,0.13,272.2,0.33,177,87.49,7.33,22.63,2.746,39.76237,-94.26143,282.7,987.1,2021-07-12,2021-07-12T14:04:35Z,140
